,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,0.12
total-current-assets,202.236,250.531,291.391,312.619,261.792,296.826,330.297,189.111,218.093,242.612,248.872,251.68,152.581,172.75,185.231,197.457,217.787,60.607,,,,,12.07
net-property-plant-equipment,28.713,29.414,26.824,26.328,25.045,23.265,21.021,17.205,14.94,13.142,11.147,10.391,9.034,7.032,3.699,2.702,1.829,1.253,,,,,0.06
long-term-investments,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,12.411,12.247,12.761,0.608,0.626,0.664,0.664,0.618,0.637,0.6,3.205,3.116,3.1,3.11,4.302,4.21,0.414,0.214,,,,,0.02
total-long-term-assets,46.162,48.245,52.762,26.936,25.671,29.83,31.548,17.823,15.577,13.742,27.417,47.109,21.146,12.946,14.698,14.904,5.027,1.467,,,,,0.08
total-assets,248.398,298.776,344.153,339.555,287.463,326.656,361.845,206.934,233.67,256.354,276.289,298.789,173.727,185.696,199.929,212.361,222.814,62.074,0.0,0.0,0.0,0.0,12.15
total-current-liabilities,43.605,43.211,38.091,38.012,37.451,36.094,30.412,26.599,21.187,18.04,10.223,11.45,11.847,5.844,5.319,5.098,3.1,3.327,,,,,0.51
long-term-debt,50.935,49.562,48.901,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,1.166,1.029,0.86,2.596,2.848,2.724,2.341,2.53,1.894,1.523,1.348,1.367,1.381,1.323,1.212,1.012,0.826,0.784,,,,,
total-long-term-liabilities,52.101,50.591,49.761,2.596,2.848,2.724,2.341,2.53,1.894,1.523,1.348,1.367,1.381,1.323,1.212,1.012,0.826,0.784,,,,,
total-liabilities,95.706,93.802,87.852,40.608,40.299,38.818,32.753,29.129,23.081,19.563,11.571,12.817,13.228,7.167,6.531,6.11,3.926,4.111,0.0,,0.0,0.0,0.51
common-stock-net,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,,0.0,,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-657.782,-593.326,-530.449,-476.234,-419.236,-367.535,-314.982,-265.482,-224.316,-192.524,-160.027,-134.157,-109.081,-86.995,-68.856,-53.333,-37.325,-28.334,,,,,-6.39
comprehensive-income,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,152.692,204.974,256.301,298.947,247.164,287.838,329.092,177.805,210.589,236.791,264.718,285.972,160.499,178.529,193.398,206.251,218.888,57.963,0.0,,0.0,0.0,11.63
total-liabilities-share-holders-equity,248.398,298.776,344.153,339.555,287.463,326.656,361.845,206.934,233.67,256.354,276.289,298.789,173.727,185.696,199.929,212.361,222.814,62.074,0.0,,0.0,0.0,12.15
