,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,2.414,2.281,3.995,3.831,4.834,2.347,2.208,1.412,1.39,1.252,0.922,1.01,2.0,1.437,1.3,0.851,0.127,,,,,
total-current-assets,360.228,359.492,303.884,337.913,386.357,293.27,262.718,167.997,172.161,165.817,148.802,93.371,96.62,97.907,105.58,118.148,215.485,,,,,2.2
net-property-plant-equipment,28.287,27.33,23.14,28.702,19.856,16.698,14.829,13.977,11.548,11.524,11.061,9.324,5.804,2.864,1.328,0.538,0.385,,,,,
long-term-investments,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,10.969,10.168,10.166,3.368,1.875,1.739,1.108,1.087,1.061,0.618,0.522,0.625,0.464,0.491,0.223,0.168,0.128,,,,,
total-long-term-assets,149.009,169.647,215.147,205.901,128.627,42.717,54.499,30.68,37.094,58.559,75.325,79.361,99.355,108.165,109.404,103.232,11.829,,,,,0.3
total-assets,509.237,529.139,519.031,543.814,514.984,335.987,317.217,198.677,209.255,224.376,224.127,172.732,195.975,206.072,214.984,221.38,227.314,0.0,0.0,0.0,0.0,2.51
total-current-liabilities,31.345,24.661,21.39,22.176,19.12,16.853,14.876,14.437,13.399,11.462,9.958,9.669,14.382,9.149,5.781,4.339,5.308,,,,,4.65
long-term-debt,4.32,4.654,5.483,5.854,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,1.844,1.899,1.772,2.505,0.691,0.72,1.776,,,,,,,,,,,,,,,
total-long-term-liabilities,9.497,9.886,10.588,12.79,1.807,1.912,3.001,1.211,1.205,1.217,1.271,1.326,1.367,0.748,0.602,0.233,0.198,,,,,
total-liabilities,40.842,34.547,31.978,34.966,20.927,18.765,17.877,15.648,14.604,12.679,11.229,10.995,15.749,9.897,6.383,4.572,5.506,0.0,0.0,,0.0,4.65
common-stock-net,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.0,0.0,,0.0,10.88
retained-earnings-accumulated-deficit,-151.358,-116.774,-115.317,-83.016,-87.322,-68.12,-78.714,-187.756,-171.759,-151.053,-136.58,-114.587,-94.979,-76.825,-62.388,-51.62,-46.444,,,,,-24.8
comprehensive-income,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,468.395,494.592,487.053,508.848,494.057,317.222,299.34,183.029,194.651,211.697,212.898,161.737,180.226,196.175,208.601,216.808,221.808,0.0,0.0,,0.0,-2.14
total-liabilities-share-holders-equity,509.237,529.139,519.031,543.814,514.984,335.987,317.217,198.677,209.255,224.376,224.127,172.732,195.975,206.072,214.984,221.38,227.314,0.0,0.0,,0.0,2.51
