,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,
total-current-assets,95.971,101.987,105.388,107.828,103.621,108.401,111.368,119.268,126.594,131.818,132.141,141.01,143.952,149.396,143.47,142.385,169.839,185.402,203.4,210.73,200.183,176.176,231.273,77.467,,,,125.64,
net-property-plant-equipment,3.318,3.556,3.754,3.963,4.767,5.247,4.791,5.263,5.67,5.184,5.106,5.285,5.912,6.476,6.612,6.896,6.269,4.515,3.497,3.63,3.228,3.164,3.113,2.631,,,,1.58,
long-term-investments,,,,,,,,,,,,,,,,13.335,,,,6.22,27.7,58.095,20.313,,,,,,
goodwill-intangible-assets-total,105.038,106.242,107.118,107.994,108.962,109.929,110.896,112.038,113.254,114.082,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,16.795,18.239,19.523,3.454,3.459,3.466,3.475,3.322,8.663,8.773,6.42,5.821,5.691,5.692,5.669,5.735,5.67,4.692,0.078,0.131,0.292,0.38,0.209,1.598,,,,0.12,
total-long-term-assets,150.822,155.086,159.134,145.686,152.236,155.188,157.31,160.615,131.608,131.343,15.26,16.156,15.464,17.266,17.142,30.889,15.084,11.581,5.952,12.544,33.797,63.287,25.116,6.05,,,,2.94,
total-assets,246.793,257.073,264.522,253.514,255.857,263.589,268.678,279.883,258.202,263.161,147.401,157.166,159.416,166.662,160.612,173.274,184.923,196.983,209.352,223.274,233.98,239.463,256.389,83.517,0.0,0.0,0.0,128.14,0.0
total-current-liabilities,52.111,54.303,56.492,51.178,54.759,58.487,55.623,57.011,65.133,59.089,47.493,48.723,46.373,48.258,48.087,46.001,43.081,41.737,39.914,40.171,35.723,27.819,26.213,22.523,,,,10.25,
long-term-debt,12.434,14.356,16.217,3.254,3.719,4.183,4.648,4.958,5.423,5.578,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,1.125,1.067,1.04,3.381,3.008,2.964,2.594,1.9,1.955,1.677,1.193,1.236,1.255,1.689,1.761,1.397,1.455,1.208,0.226,0.261,0.29,0.317,0.345,0.373,,,,0.25,
total-long-term-liabilities,14.383,16.26,18.201,7.665,8.434,9.87,10.817,11.315,15.79,15.258,6.572,6.481,7.955,8.186,8.663,8.919,9.993,8.846,7.305,6.913,8.285,6.097,5.93,185.344,,,,183.27,
total-liabilities,66.494,70.563,74.693,58.843,63.193,68.357,66.44,68.326,80.923,74.347,54.065,55.204,54.328,56.444,56.75,54.92,53.074,50.583,47.219,47.084,44.008,33.916,32.143,207.867,0.0,0.0,0.0,193.53,0.0
common-stock-net,0.015,0.014,0.014,0.014,0.014,0.014,0.013,0.013,0.013,0.013,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.001,0.0,0.0,0.0,0.001,0.0
retained-earnings-accumulated-deficit,-443.296,-433.96,-425.579,-415.04,-411.001,-403.736,-389.778,-375.334,-403.011,-384.523,-370.806,-355.644,-346.546,-335.143,-318.451,-297.096,-278.038,-258.031,-236.819,-217.176,-197.492,-177.292,-155.517,-131.236,,,,-69.05,
comprehensive-income,0.007,0.007,,,-0.006,-0.009,-0.02,-0.022,-0.005,-0.015,-0.019,,0.038,0.054,0.024,-0.079,0.029,0.01,0.002,-0.04,0.012,-0.04,0.001,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.03,0.0
total-share-holder-equity,180.299,186.51,189.829,194.671,192.664,195.232,202.238,211.557,177.279,188.814,93.336,101.962,105.088,110.218,103.862,118.354,131.849,146.4,162.133,176.19,189.972,205.547,224.246,-124.35,0.0,0.0,0.0,-65.38,0.0
total-liabilities-share-holders-equity,246.793,257.073,264.522,253.514,255.857,263.589,268.678,279.883,258.202,263.161,147.401,157.166,159.416,166.662,160.612,173.274,184.923,196.983,209.352,223.274,233.98,239.463,256.389,83.517,0.0,0.0,0.0,128.14,0.0
