,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,17.107,16.897,16.219,16.117,13.66,13.852,12.355,10.754,7.792,6.912,1.354,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37
total-current-assets,806.862,474.966,479.079,320.857,313.281,375.646,241.996,249.063,221.259,226.972,240.727,261.286,280.607,297.434,326.434,355.949,384.164,264.574,289.761,323.571,213.516,230.314,249.38,145.024,160.1378,168.1581,52.0722,4.5953,,,,33.05
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,785.251,785.07,777.296,783.372,704.921,126.29,127.565,132.993,138.422,148.138,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,30.889,16.145,12.996,2.299,1.62,1.62,1.548,1.221,1.157,1.129,0.859,0.63,0.511,0.528,0.372,0.358,3.137,0.231,0.351,0.489,1.086,0.827,0.132,0.149,0.1633,0.1565,0.1576,0.1971,,,,0.29
total-long-term-assets,834.624,816.606,804.832,798.3651,715.346,136.127,137.415,142.59,146.461,156.106,7.918,8.059,7.57,8.129,8.798,9.332,11.936,9.248,9.759,9.648,7.279,7.244,6.46,6.879,7.1063,7.31,7.8334,8.4771,,,,28.66
total-assets,1641.486,1291.572,1283.911,1119.222,1028.627,511.773,379.411,391.653,367.72,383.078,248.645,269.345,288.177,305.563,335.232,365.281,396.1,273.822,299.52,333.219,220.795,237.558,255.84,151.903,167.2441,175.4681,59.9056,13.0724,0.0,0.0,0.0,44.14
total-current-liabilities,183.5,173.959,143.046,166.796,114.922,86.474,72.716,82.048,71.899,67.985,45.418,49.624,48.926,42.909,43.889,45.386,31.695,23.082,23.905,32.475,17.262,11.583,9.239,13.134,13.9212,19.7885,27.327,28.1589,,,,43.14
long-term-debt,293.149,135.683,138.468,141.347,144.258,147.204,146.878,144.971,143.091,141.242,99.895,98.216,96.559,94.936,93.366,91.848,93.198,,,,,,,,,,0.0123,0.4388,,,,4.54
other-non-current-liabilities,354.355,27.216,339.67,310.298,218.801,0.153,0.209,0.243,0.269,0.292,0.311,0.335,2.515,2.094,1.976,2.046,2.056,2.159,2.295,2.277,2.237,2.219,2.259,2.227,2.2904,2.5183,2.4973,2.5497,,,,4.22
total-long-term-liabilities,794.332,628.928,627.923,601.699,527.615,157.897,156.387,153.168,149.939,145.362,102.4,100.138,99.074,97.03,95.342,93.894,95.254,2.159,2.295,2.277,2.237,2.219,2.259,2.227,2.2904,2.76,3.0013,3.7302,,,,25.2
total-liabilities,977.832,802.887,770.969,768.495,642.537,244.371,229.103,235.216,221.838,213.347,147.818,149.762,148.0,139.939,139.231,139.28,126.949,25.241,26.2,34.752,19.499,13.802,11.498,15.361,16.2116,22.5484,30.3283,31.8891,0.0,0.0,0.0,68.37
common-stock-net,0.061,0.058,0.058,0.051,0.051,0.047,0.042,0.042,0.041,0.041,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.033,0.033,0.03,0.03,0.03,0.024,0.0243,0.0243,0.0005,0.0005,0.0,0.0,0.0,0.0001
retained-earnings-accumulated-deficit,-1112.822,-1052.825,-1011.036,-938.923,-890.593,-839.624,-830.105,-814.108,-815.378,-781.64,-764.165,-735.108,-708.313,-673.145,-634.231,-592.998,-542.05,-498.827,-460.466,-422.551,-395.282,-368.0,-342.896,-328.798,-310.9123,-306.4958,-291.9092,-277.2247,,,,-250.61
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,663.654,488.685,512.942,350.727,386.09,267.402,150.308,156.437,145.882,169.731,100.827,119.583,140.177,165.624,196.001,226.001,269.151,248.581,273.32,298.467,201.296,223.756,244.342,136.542,151.0325,152.9196,29.5773,-18.8167,0.0,0.0,0.0,-24.22
total-liabilities-share-holders-equity,1641.486,1291.572,1283.911,1119.222,1028.627,511.773,379.411,391.653,367.72,383.078,248.645,269.345,288.177,305.563,335.232,365.281,396.1,273.822,299.52,333.219,220.795,237.558,255.84,151.903,167.2441,175.4681,59.9056,13.0724,0.0,0.0,0.0,44.14
