,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,0.397,0.72,0.633,0.589,0.83,1.036,1.212,1.036,0.849,0.806,1.124,0.825,1.076,1.155,1.021,0.992,0.678,0.968,0.992,1.395,1.943,1.963,2.045,1.487,2.101,1.332,1.686,1.302,2.76,4.201,4.814,4.488,5.24,4.187,3.224,2.817,3.245,2.176,2.912,2.915,,,,
other-current-assets,1.193,,,0.035,1.868,0.554,,,,,,,,,,,,,,,,0.292,1.394,2.179,,,,,,,,,,,,,,,,,,,,
total-current-assets,109.93,110.241,63.714,68.198,68.45,66.283,35.967,45.039,35.024,40.39,21.742,27.227,30.106,27.902,28.775,32.839,32.341,21.394,27.632,33.007,28.205,26.907,34.241,35.781,36.644,43.107,57.368,59.769,74.809,68.833,80.708,79.232,77.037,64.548,82.855,92.192,119.768,114.56,50.656,67.382,,,,
net-property-plant-equipment,6.241,5.312,4.535,4.759,4.531,3.883,2.62,2.815,2.81,2.969,2.752,2.155,2.301,2.403,2.756,3.109,2.821,3.155,3.499,3.995,4.374,4.853,7.396,8.446,13.809,15.52,14.792,16.65,19.892,22.073,24.001,24.176,23.321,21.611,20.239,21.452,21.018,21.332,21.251,21.581,,,,
long-term-investments,,0.419,0.484,0.588,0.652,0.676,0.697,0.671,1.163,1.305,1.051,1.142,1.527,1.115,1.459,1.549,1.231,1.942,0.712,0.688,1.031,1.453,1.446,0.795,1.067,1.017,1.939,3.623,3.578,6.062,8.867,10.348,21.02,25.769,16.296,1.65,,,,,,,,
goodwill-intangible-assets-total,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.522,4.366,5.209,6.053,6.896,7.74,8.583,9.427,10.27,11.114,11.957,12.801,13.644,14.488,15.331,16.175,17.018,17.877,18.767,19.683,20.613,21.542,22.471,23.399,3.803,3.891,3.985,4.169,0.0,0.0,0.0,0.0
other-long-term-assets,26.784,27.58,29.149,2.497,1.726,1.874,1.981,1.859,1.863,1.879,1.845,1.883,1.055,1.07,0.989,1.097,1.051,1.061,0.995,1.005,0.912,0.916,0.919,1.017,1.272,1.474,4.212,3.748,3.739,2.827,2.258,2.483,2.631,2.665,2.687,2.607,3.487,3.892,7.944,5.904,,,,
total-long-term-assets,36.266,36.552,37.409,11.085,10.15,9.674,8.539,8.586,9.077,9.394,8.889,8.421,8.405,8.954,10.413,11.808,11.999,13.898,13.789,15.115,16.587,18.336,21.718,23.059,29.792,32.499,36.274,40.196,44.227,48.839,53.893,56.69,67.585,71.587,61.693,49.108,28.308,29.115,33.18,31.654,,,,
total-assets,146.196,146.793,101.123,79.283,78.6,75.957,44.506,53.625,44.101,49.784,30.631,35.648,38.511,36.856,39.188,44.647,44.34,35.292,41.421,48.122,44.792,45.243,55.959,58.84,66.436,75.606,93.642,99.965,119.036,117.672,134.601,135.922,144.622,136.135,144.548,141.3,148.076,143.675,83.836,99.036,0.0,0.0,0.0,0.0
total-current-liabilities,14.923,17.491,18.654,18.113,17.628,16.41,21.553,24.952,17.074,13.227,13.526,12.367,11.707,12.442,16.484,14.841,12.828,11.36,11.87,13.735,11.004,10.794,13.09,11.199,9.218,11.145,17.775,16.283,20.7,19.645,33.248,28.292,34.406,24.609,30.94,27.484,36.386,30.847,37.433,50.985,,,,
long-term-debt,25.554,26.147,26.142,0.096,0.142,0.248,0.354,0.762,,,0.779,0.885,0.992,1.098,1.204,1.31,,,,1.735,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,1.223,1.222,1.32,1.416,1.626,1.775,2.002,1.863,3.096,3.267,2.466,2.231,2.23,2.282,2.458,2.497,3.888,4.027,4.154,2.528,4.213,4.214,4.9,5.044,5.183,3.783,3.868,3.943,3.994,4.126,3.649,3.455,1.87,1.8,1.595,1.381,1.415,1.324,2.612,3.881,,,,
total-long-term-liabilities,28.765,30.618,31.259,4.864,6.199,7.017,7.885,4.126,4.935,5.92,5.425,4.182,3.967,4.734,6.591,6.927,8.204,6.831,7.934,8.076,8.581,5.121,6.298,6.158,6.344,4.99,5.122,5.242,5.34,5.519,5.088,4.94,3.741,4.74,5.602,6.455,7.557,8.533,10.889,13.224,,,,
total-liabilities,43.688,48.109,49.913,22.977,23.827,23.427,29.438,29.078,22.009,19.147,18.951,16.549,15.674,17.176,23.075,21.768,21.032,18.191,19.804,21.811,19.585,15.915,19.388,17.357,15.562,16.135,22.897,21.525,26.04,25.164,38.336,33.232,38.147,29.349,36.542,33.939,43.943,39.38,48.322,64.209,0.0,0.0,0.0,0.0
common-stock-net,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,,,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-341.774,-342.117,-335.61,-330.474,-330.014,-328.026,-324.291,-315.065,-316.036,-305.809,-299.529,-292.069,-286.809,-288.246,-290.485,-283.511,-281.458,-286.852,-281.492,-275.93,-276.275,-271.713,-263.234,-256.859,-247.045,-237.783,-225.178,-215.556,-200.017,-197.708,-192.189,-184.699,-179.402,-176.661,-171.621,-168.149,-167.656,-164.923,-160.977,-159.608,,,,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,102.508,98.684,51.21,56.306,54.773,52.53,15.068,24.547,22.092,30.637,11.68,19.099,22.837,19.68,16.113,22.879,23.308,17.101,21.617,26.311,25.207,29.328,36.571,41.483,50.874,59.471,70.745,78.44,92.996,92.508,96.265,102.69,106.475,106.786,108.006,107.361,104.133,104.295,35.514,34.827,0.0,0.0,0.0,0.0
total-liabilities-share-holders-equity,146.196,146.793,101.123,79.283,78.6,75.957,44.506,53.625,44.101,49.784,30.631,35.648,38.511,36.856,39.188,44.647,44.34,35.292,41.421,48.122,44.792,45.243,55.959,58.84,66.436,75.606,93.642,99.965,119.036,117.672,134.601,135.922,144.622,136.135,144.548,141.3,148.076,143.675,83.836,99.036,0.0,0.0,0.0,0.0
