,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,455.322,468.785,478.39,485.201,489.305,491.273,183.199,192.012,62.72,67.947,40.352,41.207,41.1906,44.835,52.596,0.3636,90.227,100.547,77.973,99.346,122.191,114.324,80.392,92.241,54.742,71.84,91.869,101.385,55.942,45.495,57.998,40.286,52.022,63.721,40.757,51.52,54.803,49.379,58.928,44.574,52.94,63.007,85.976,91.221,84.948,80.981,101.273,116.997,50.51,65.924,79.348,47.627,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,,,,,,,,,,,,,0.3151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-long-term-assets,0.751,0.826,0.93,,,,,,,,,,,,,,0.226,0.278,0.564,0.305,0.331,0.358,0.384,1.409,0.433,0.464,0.481,0.458,0.466,0.503,0.519,0.631,0.53,0.497,0.417,0.366,0.461,0.151,0.151,0.358,0.068,0.068,0.103,0.103,0.076,0.076,0.076,0.076,0.082,0.087,0.087,0.132,,,
total-long-term-assets,0.932,1.037,1.17,0.227,0.244,0.255,0.279,0.301,0.111,0.12,0.005,0.003,0.3165,0.103,0.374,,0.787,0.992,1.419,1.329,1.465,1.622,1.792,2.962,1.921,2.084,1.831,1.632,1.671,1.669,1.843,2.038,1.846,1.9,2.169,2.547,3.078,3.171,3.614,4.336,4.622,5.194,5.779,6.032,5.816,6.081,5.369,5.652,5.503,5.676,5.849,7.162,,,
total-assets,456.254,469.822,479.56,485.428,489.549,491.528,183.478,192.313,62.831,68.067,40.357,41.21,41.5072,44.938,52.97,0.3636,91.014,101.539,79.392,100.675,123.656,115.946,82.184,95.203,56.663,73.924,93.7,103.017,57.613,47.164,59.841,42.324,53.868,65.621,42.926,54.067,57.881,52.55,62.542,48.91,57.562,68.201,91.755,97.253,90.764,87.062,106.642,122.649,56.013,71.6,85.197,54.789,0.0,0.0,0.0
total-current-liabilities,15.464,12.316,10.456,8.444,6.642,5.436,6.294,10.054,8.523,6.436,5.906,4.8,3.9154,3.364,8.639,49.2769,30.633,32.525,30.92,30.889,32.961,32.666,32.365,32.207,25.931,20.071,16.551,23.486,18.965,18.254,15.644,15.148,17.116,15.349,17.314,16.736,14.948,12.267,13.037,16.469,17.759,146.359,42.951,33.323,27.239,20.723,20.525,20.772,13.824,15.871,12.292,11.546,,,
long-term-debt,0.441,0.52,0.598,,,,,,,,,,,,,,0.011,0.032,2.332,4.65,6.967,9.282,11.595,13.905,16.12,18.417,20.545,4.465,6.458,8.446,10.427,12.402,12.171,13.835,11.494,11.693,13.37,0.319,0.528,0.799,1.092,1.397,1.713,2.012,2.301,2.843,2.563,2.815,3.119,3.268,3.368,3.17,,,
other-non-current-liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.545,6.294,3.829,2.217,,,,,,,,,
