,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,10.5328,7.4944,4.9557,3.2677,2.3782,1.8806,1.6209,1.4854,1.2935,1.414,1.3386,1.0763,0.8434,0.8837,0.9574,0.6902,0.8701,1.2487,0.9592,1.1821,1.0119,1.453,0.9207,1.0436,1.1476,1.5061,1.3379,1.6152,0.9551,0.8202,0.5427,0.5881,,,
other-current-assets,10.5783,7.739,9.8469,10.8347,6.5096,5.2037,5.0981,6.6043,3.0018,2.2288,2.4881,2.2991,2.6935,2.1367,1.7181,2.2339,2.1208,1.1542,1.446,1.5374,2.0201,2.6782,2.3035,2.4777,3.4197,3.6073,2.1755,0.7519,0.8518,0.8998,0.4377,0.4961,,,
total-current-assets,191.7648,216.4628,152.6312,186.7793,211.6898,167.0972,119.1652,139.5541,156.9806,103.5157,121.2735,139.4102,156.1042,174.0302,189.8366,70.6801,87.7814,72.9622,96.7077,56.2353,72.1799,41.8498,50.9681,59.4034,65.9334,40.5066,42.8958,4.635,2.2315,3.455,1.2876,1.2373,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,44.9262,24.6881,24.4557,24.0927,23.7715,3.4884,3.2207,3.0997,2.7934,2.7397,2.4974,2.406,2.1184,1.9838,1.6945,1.6153,1.3243,1.2938,1.2588,1.2286,0.8417,0.8671,0.7569,0.6656,0.4883,0.3452,0.3173,0.2396,0.1071,0.0681,0.031,0.0622,0.0,0.0,0.0
other-long-term-assets,10.9326,3.9701,4.136,0.6393,0.1505,0.9098,0.1505,0.139,0.139,0.139,0.139,0.139,0.139,0.1299,1.173,1.2349,1.2971,1.3587,1.4591,1.5523,1.5173,1.6365,1.7666,1.8861,2.0083,2.1375,0.8955,0.9856,1.0809,1.2473,0.0815,0.1125,,,
total-long-term-assets,58.1971,30.0903,29.2604,25.2047,25.0632,4.8017,3.7967,3.6758,3.3805,3.3624,3.1475,3.0618,2.718,2.5581,3.1322,3.0487,2.6781,2.7171,2.7743,2.8441,2.4286,2.5803,2.6015,2.613,2.544,2.5592,1.2966,1.2908,1.2831,1.4227,0.2004,0.2014,,,
total-assets,249.9619,246.5531,181.8916,211.9839,236.753,171.899,122.9619,143.2299,160.3611,106.8781,124.421,142.472,158.8222,176.5883,192.9688,73.7288,90.4595,75.6793,99.482,59.0795,74.6085,44.4301,53.5695,62.0164,68.4773,43.0658,44.1924,5.9259,3.5145,4.8777,1.4879,1.4387,0.0,0.0,0.0
total-current-liabilities,67.3295,41.8759,44.9727,41.0788,29.2767,21.2124,15.6596,13.3212,10.8766,13.2883,14.087,14.9826,12.4678,9.3392,9.5964,10.6657,11.6884,11.7065,11.1146,10.6904,11.0079,6.9475,6.819,7.318,6.3903,4.5989,4.2497,3.6198,4.4276,2.4879,2.6288,3.1506,,,
long-term-debt,203.8613,196.5833,76.2257,73.381,73.2611,73.1413,,,,,,,,,,,,,,,,,,,,,,3.5892,3.3417,3.0942,2.2114,,,,
other-non-current-liabilities,,,,,,,,,,,,,,,,,1.2139,0.9673,0.6516,,,,,,,,,0.1501,0.0791,,,,,,
total-long-term-liabilities,203.8613,196.5833,76.2257,73.381,73.2611,73.1413,,,,,,,,,,,1.2139,0.9673,0.6516,,,,,,,,,3.7392,3.4208,3.0942,2.2114,,,,
total-liabilities,271.1908,238.4592,121.1983,114.4598,102.5377,94.3537,15.6596,13.3212,10.8766,13.2883,14.087,14.9826,12.4678,9.3392,9.5964,10.6657,12.9023,12.6738,11.7662,10.6904,11.0079,6.9475,6.819,7.318,6.3903,4.5989,4.2497,7.359,7.8484,5.5821,4.8402,3.1506,0.0,0.0,0.0
common-stock-net,0.2413,0.2412,0.2412,0.2405,0.2365,0.2168,0.2166,0.2164,0.2164,0.204,0.1986,0.1967,0.1966,0.1965,0.1963,0.1779,0.1778,0.173,0.1727,0.1561,0.156,0.1459,0.1451,0.145,0.145,0.1312,0.1292,0.0998,0.0998,0.0958,0.0848,0.083,0.0,0.0,0.0
retained-earnings-accumulated-deficit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.358,,,,0.0,0.0,0.0
total-share-holder-equity,-21.2289,8.094,60.6932,97.5241,134.2153,77.5453,107.3023,129.9087,149.4845,93.5898,110.334,127.4894,146.3544,167.2491,183.3724,63.0631,77.5572,63.0055,87.7158,48.3891,63.6006,37.4826,46.7505,54.6984,62.087,38.4669,39.9427,-1.4331,-4.3338,-0.7044,-3.3522,-1.7119,0.0,0.0,0.0
total-liabilities-share-holders-equity,249.9619,246.5531,181.8916,211.9839,236.753,171.899,122.9619,143.2299,160.3611,106.8781,124.421,142.472,158.8222,176.5883,192.9688,73.7288,90.4595,75.6793,99.482,59.0795,74.6085,44.4301,53.5695,62.0164,68.4773,43.0658,44.1924,5.9259,3.5145,4.8777,1.4879,1.4387,0.0,0.0,0.0
