,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,1.736,,,,,
total-current-assets,250.258,289.591,315.031,202.273,233.161,267.674,117.961,150.488,173.834,201.224,132.78,151.99,172.14,183.941,154.0,161.384,67.987,,,,,0.77
net-property-plant-equipment,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,29.75,27.593,25.652,3.736,3.694,3.685,3.682,4.021,3.668,3.659,3.657,3.654,1.108,1.112,1.112,1.059,1.055,,,,,
total-long-term-assets,96.954,95.956,115.581,93.667,91.416,86.069,32.46,31.355,28.252,25.208,18.727,12.821,7.833,6.397,4.522,4.04,3.009,,,,,2.04
total-assets,347.212,385.547,430.612,295.94,324.577,353.743,150.421,181.843,202.086,226.432,151.507,164.811,179.973,190.338,158.522,165.424,70.996,0.0,0.0,0.0,0.0,2.32
total-current-liabilities,133.411,124.084,131.877,130.041,125.795,43.781,16.298,18.191,15.122,15.555,14.07,12.155,11.425,8.647,3.77,3.818,3.474,,,,,10.04
long-term-debt,30.165,30.985,31.782,9.247,8.229,6.474,4.185,3.094,2.093,2.197,1.075,0.132,0.031,0.047,0.062,0.078,0.094,,,,,
other-non-current-liabilities,1.793,1.897,2.039,2.142,1.495,1.533,1.605,1.619,1.021,2.071,2.055,0.796,0.522,0.409,0.295,0.163,0.031,,,,,
total-long-term-liabilities,99.028,101.239,94.005,92.551,84.302,162.792,16.2,16.168,13.234,14.091,12.476,9.919,9.54,7.539,0.357,0.241,0.125,,,,,
total-liabilities,232.439,225.323,225.882,222.592,210.097,206.573,32.498,34.359,28.356,29.646,26.546,22.074,20.965,16.186,4.127,4.059,3.599,0.0,0.0,,0.0,10.08
common-stock-net,538.79,538.537,538.414,375.148,374.502,373.151,311.591,310.038,309.434,309.355,215.808,215.602,215.505,215.372,185.344,185.344,22.446,0.0,0.0,,0.0,0.0
retained-earnings-accumulated-deficit,-476.589,-425.863,-383.921,-339.721,-301.834,-264.203,-228.309,-192.716,-162.301,-136.166,-111.473,-90.477,-72.023,-54.488,-42.923,-35.076,-27.977,,,,,-10.64
comprehensive-income,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,114.773,160.224,204.73,73.348,114.48,147.17,117.923,147.484,173.73,196.786,124.961,142.737,159.008,174.152,154.395,161.365,67.397,0.0,0.0,,0.0,-7.76
total-liabilities-share-holders-equity,347.212,385.547,430.612,295.94,324.577,353.743,150.421,181.843,202.086,226.432,151.507,164.811,179.973,190.338,158.522,165.424,70.996,0.0,0.0,,0.0,0.0
