,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,679.0,660.0,657.0,653.0,638.0,623.0,594.0,608.0,575.0,566.0,548.0,551.0,533.0,543.0,555.0,554.0,541.0,545.0,556.0,560.0,574.0,1099.0,1100.0,1088.0,1066.0,1054.0,1042.0,1040.0,1014.0,1036.0,947.0,937.0,898.0,897.0,853.0,797.0,716.0,688.0,546.0,548.0,552.0,571.0,608.0,655.0,646.0,674.0,674.0,674.0,643.0,674.0,650.0,648.0,627.0,705.0,713.0,740.0,612.0,936.0,958.0,1037.0
other-current-assets,198.0,176.0,181.0,169.0,187.0,180.0,166.0,151.0,192.0,189.0,186.0,190.0,182.0,198.0,192.0,297.0,294.0,274.0,291.0,361.0,263.0,453.0,424.0,394.0,343.0,325.0,341.0,348.0,341.0,302.0,258.0,302.0,284.0,308.0,350.0,292.0,385.0,389.0,288.0,297.0,321.0,283.0,294.0,343.0,337.0,400.0,408.0,522.0,467.0,383.0,373.0,340.0,377.0,412.0,361.0,377.0,288.0,242.0,206.0,183.0
total-current-assets,3189.0,3457.0,3812.0,3712.0,3848.0,3667.0,4525.0,4397.0,4169.0,3996.0,3800.0,3635.0,3635.0,3530.0,3488.0,3399.0,3686.0,3478.0,3620.0,3654.0,5509.0,4834.0,5377.0,5073.0,4983.0,4584.0,4818.0,4712.0,4629.0,4211.0,6010.0,5715.0,5569.0,5223.0,5096.0,4598.0,6169.0,5735.0,5712.0,5519.0,3961.0,2897.0,2883.0,3008.0,3182.0,5074.0,5185.0,5070.0,3671.0,3281.0,3791.0,3749.0,3958.0,4219.0,4576.0,4626.0,4447.0,4926.0,4813.0,4649.0
net-property-plant-equipment,850.0,839.0,827.0,829.0,822.0,801.0,798.0,792.0,757.0,716.0,675.0,653.0,639.0,623.0,610.0,594.0,604.0,587.0,593.0,610.0,631.0,1142.0,1139.0,1129.0,1134.0,1139.0,1147.0,1163.0,1164.0,1139.0,996.0,1007.0,1006.0,1000.0,1004.0,982.0,980.0,957.0,831.0,837.0,845.0,839.0,821.0,831.0,824.0,816.0,809.0,801.0,801.0,787.0,777.0,775.0,775.0,822.0,853.0,875.0,855.0,1148.0,1185.0,1235.0
long-term-investments,102.0,99.0,96.0,77.0,68.0,70.0,139.0,140.0,138.0,137.0,134.0,133.0,135.0,155.0,157.0,76.0,86.0,88.0,91.0,90.0,96.0,164.0,133.0,129.0,139.0,124.0,120.0,128.0,109.0,104.0,111.0,110.0,117.0,122.0,123.0,134.0,142.0,136.0,158.0,154.0,163.0,153.0,167.0,169.0,206.0,251.0,274.0,,194.0,,,,,,1602.0,1601.0,,,,
goodwill-intangible-assets-total,4700.0,3618.0,3650.0,3699.0,3464.0,3448.0,2932.0,2974.0,2968.0,2987.0,2941.0,2974.0,2933.0,2967.0,3046.0,2991.0,2811.0,2850.0,2857.0,2911.0,3156.0,3770.0,3892.0,3876.0,3963.0,3940.0,4001.0,4140.0,4111.0,4035.0,1991.0,2012.0,1996.0,2042.0,2048.0,1915.0,1950.0,1912.0,770.0,805.0,822.0,820.0,837.0,872.0,874.0,883.0,867.0,841.0,736.0,732.0,517.0,517.0,468.0,481.0,481.0,375.0,345.0,461.0,458.0,459.0
other-long-term-assets,611.0,612.0,637.0,635.0,339.0,363.0,390.0,395.0,394.0,425.0,466.0,477.0,452.0,459.0,339.0,242.0,292.0,248.0,251.0,254.0,268.0,470.0,485.0,431.0,467.0,491.0,501.0,510.0,523.0,268.0,305.0,255.0,369.0,366.0,378.0,415.0,455.0,360.0,296.0,259.0,1821.0,1864.0,1868.0,2282.0,1921.0,517.0,539.0,747.0,2152.0,2224.0,2198.0,2152.0,2168.0,2207.0,545.0,549.0,633.0,817.0,812.0,807.0
total-long-term-assets,6263.0,5168.0,5210.0,5240.0,4693.0,4682.0,4259.0,4301.0,4257.0,4265.0,4216.0,4237.0,4159.0,4204.0,4152.0,3903.0,3793.0,3773.0,3792.0,3865.0,5306.0,5546.0,5649.0,5565.0,5703.0,5694.0,5769.0,5941.0,5907.0,5546.0,3403.0,3384.0,3488.0,3530.0,3553.0,3446.0,3527.0,3365.0,2055.0,2055.0,3651.0,3676.0,3693.0,4154.0,3825.0,2467.0,2489.0,2389.0,3883.0,3743.0,3492.0,3444.0,3411.0,3510.0,3481.0,3400.0,2304.0,2426.0,2455.0,2501.0
total-assets,9452.0,8625.0,9022.0,8952.0,8541.0,8349.0,8784.0,8698.0,8426.0,8261.0,8016.0,7872.0,7794.0,7734.0,7640.0,7302.0,7479.0,7251.0,7412.0,7519.0,10815.0,10380.0,11026.0,10638.0,10686.0,10278.0,10587.0,10653.0,10536.0,9757.0,9413.0,9099.0,9057.0,8753.0,8649.0,8044.0,9696.0,9100.0,7767.0,7574.0,7612.0,6573.0,6576.0,7162.0,7007.0,7541.0,7674.0,7459.0,7554.0,7024.0,7283.0,7193.0,7369.0,7729.0,8057.0,8026.0,6751.0,7352.0,7268.0,7150.0
