,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-09-30
cash-on-hand,498.8,241.1,225.8,348.9,290.7,235.7,511.9,1260.9,371.8,330.2,259.8,342.0,,521.9,341.4,521.9,365.9,225.3,1053.5,899.0,707.8,327.9,334.9,287.8,275.5,180.4,,,,,
notes-loans-receivable,,,,,,,,154.0,154.0,154.0,154.0,,,,,,,,,,,,,,,,,,,,
inventory,325.5,337.4,319.7,322.3,143.4,184.4,213.4,340.4,341.3,339.4,358.8,350.7,,357.7,377.1,284.9,281.8,377.8,348.7,369.3,396.6,398.3,444.7,428.9,403.1,423.1,,,435.3,,
other-current-assets,175.9,,,,1136.8,1112.5,1143.0,,,,,310.9,,,1.0,0.8,299.9,,,,,,,,,,,,,,
total-current-assets,1661.2,1219.4,1241.5,1427.2,2038.2,2005.8,2304.7,2285.2,1452.5,1439.7,1447.3,1566.5,,1626.3,1544.9,1625.4,1846.1,1541.2,2219.0,2065.0,2071.0,1650.3,1633.1,1408.8,1384.9,1147.1,,,877.3,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,7496.1,7721.1,8060.2,8282.8,12260.6,12445.7,12627.8,11857.7,12005.4,12050.9,12225.1,12498.6,,12904.0,13070.6,13136.9,13315.7,11914.5,9284.801,9398.6,9514.1,2517.6,2568.9,945.3,954.1,962.9,0.0,0.0,873.1,0.0,0.0
other-long-term-assets,304.1,287.0,276.8,185.3,170.5,168.2,157.3,171.2,191.6,189.9,191.8,259.7,,290.9,288.7,284.0,251.0,408.0,369.6,364.4,330.5,255.5,255.8,218.0,220.2,224.3,,,179.0,,
total-long-term-assets,8694.899,9002.3,9314.0,9450.1,12870.4,13044.0,13211.8,12995.7,13159.4,13181.5,13328.3,13639.8,,14206.9,14358.7,14413.9,14558.0,13338.0,10595.3,10708.6,10793.8,3773.1,3822.2,2160.6,2171.7,2165.1,,,1997.3,,
total-assets,10356.1,10221.7,10555.5,10877.3,14908.6,15049.8,15516.5,15280.9,14611.9,14621.2,14775.6,15206.3,0.0,15833.2,15903.6,16039.3,16404.1,14879.2,12814.3,12773.6,12864.8,5423.4,5455.3,3569.4,3556.6,3312.2,0.0,0.0,2874.6,0.0,0.0
total-current-liabilities,1553.9,1557.5,854.0,943.7,922.6,884.5,1098.5,1050.4,1054.1,1362.4,1036.2,1307.2,,969.5,892.1,888.3,929.4,759.5,775.7,765.0,904.8,638.6,625.8,554.0,600.2,481.8,,,395.8,,
long-term-debt,5048.7,4823.0,5817.6,6069.2,6174.0,6335.1,6491.5,6420.9,5517.4,5338.5,5699.9,5880.8,,6279.0,6409.6,6409.6,6474.3,5333.1,3966.3,3942.2,3951.5,2201.3,2204.7,918.0,918.3,918.5,,,8.9,,
other-non-current-liabilities,592.5,653.1,689.2,592.3,474.3,480.8,527.1,531.5,565.8,502.2,519.7,499.5,,467.0,499.1,434.9,440.1,452.7,472.6,534.3,532.8,384.8,387.6,364.9,364.4,351.2,,,314.7,,
total-long-term-liabilities,5721.8,5589.0,6647.601,7046.3,7382.4,7690.9,7956.7,7708.5,8444.8,8162.8,8625.2,8914.8,,9654.9,9913.6,9958.4,10163.5,8821.601,6852.5,6936.8,7002.0,3456.4,3491.1,1706.1,1700.8,1672.4,,,586.9,,
total-liabilities,7275.7,7146.5,7501.6,7990.0,8305.0,8575.4,9055.2,8758.9,9498.9,9525.2,9661.4,10222.0,,10624.4,10805.7,10846.7,11092.9,9581.1,7628.2,7701.8,7906.8,4095.0,4116.9,2260.1,2301.0,2154.2,0.0,0.0,982.7,0.0,0.0
common-stock-net,18.7,18.7,18.6,18.5,18.5,18.5,18.5,18.4,23.7,23.7,23.7,23.6,,23.6,23.6,23.5,23.5,23.5,23.4,23.3,23.2,11.7,11.7,11.6,11.5,11.5,0.0,0.0,,0.0,0.0
retained-earnings-accumulated-deficit,-859.8,-857.5,-863.7,-1017.7,2701.0,2587.8,2572.9,2588.6,980.6,917.5,855.6,529.0,,567.6,368.3,250.0,38.9,-36.3,-94.3,-193.1,-285.8,66.6,90.7,79.1,33.5,1086.7,,,,,
comprehensive-income,-22.1,-20.1,-22.5,-24.3,-18.7,-21.7,-16.8,-12.9,-13.1,-8.0,-9.9,-72.5,,-65.7,-65.1,-65.3,0.9,17.7,7.9,44.4,65.7,110.5,106.4,108.7,108.5,59.8,,,84.9,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1807.0,0.0,0.0
total-share-holder-equity,3080.4,3075.2,3053.9,2887.3,6603.6,6474.4,6461.3,6522.0,5113.0,5096.0,5114.2,4984.3,,5208.8,5097.9,5192.6,5311.2,5298.1,5186.1,5071.8,4958.0,1328.4,1338.4,1309.3,1255.6,1158.0,0.0,0.0,1891.9,0.0,0.0
total-liabilities-share-holders-equity,10356.1,10221.7,10555.5,10877.3,14908.6,15049.8,15516.5,15280.9,14611.9,14621.2,14775.6,15206.3,,15833.2,15903.6,16039.3,16404.1,14879.2,12814.3,12773.6,12864.8,5423.4,5455.3,3569.4,3556.6,3312.2,0.0,0.0,2874.6,0.0,0.0
