,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,4.151,4.345,4.168,4.016,3.975,4.046,3.871,3.516,3.505,3.347,3.472,3.579,3.345,3.335,3.301,2.979,3.464,3.195,2.829,2.817,2.9,2.758,2.832,3.328,3.21,3.364,3.222,3.524,3.263,3.665,2.972,3.181,3.735,3.084,3.111,3.047,3.506,3.312,3.443,3.33,3.109,3.105,2.693,2.651,2.973,2.591,2.404,2.497,1.259,0.99,0.933,0.952,1.115,1.144,1.153,1.091,1.029,0.992
other-current-assets,8.235,7.065,6.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,69.538,71.517,70.676,81.527,78.846,81.341,59.996,60.883,57.669,58.368,56.644,58.558,54.069,51.721,53.238,67.789,65.31,59.764,39.028,55.28,50.811,44.653,31.88,35.779,38.333,45.78,39.886,39.955,90.829,86.882,81.225,54.587,50.603,41.553,40.673,37.478,40.837,38.696,38.727,37.014,38.56,32.461,38.901,46.509,54.905,64.595,47.737,47.895,80.755,51.274,65.837,76.096,65.653,55.799,47.633,41.604,29.077,22.551
net-property-plant-equipment,29.559,29.512,29.898,30.143,27.976,25.844,23.624,22.942,22.25,20.629,20.186,19.601,17.183,13.881,13.506,12.968,12.102,12.419,12.674,13.133,12.71,12.689,12.486,12.845,12.87,13.214,13.587,13.61,13.214,13.695,14.042,14.586,63.842,64.56,65.043,65.395,66.964,64.249,68.117,66.915,61.583,53.64,45.938,41.897,34.461,20.934,20.132,19.738,11.447,11.352,11.446,11.686,11.776,18.278,16.658,14.832,15.97,15.155
long-term-investments,,,,,,3.953,,,,,,,,,,,,,16.933,16.823,16.497,17.42,30.149,32.397,31.694,27.506,33.086,28.433,28.801,28.766,31.5,29.754,28.899,33.436,35.247,36.29,33.033,32.467,32.239,27.3,29.598,45.181,47.596,47.351,45.748,43.089,46.171,43.917,47.785,49.922,49.243,47.758,46.095,46.67,46.898,48.874,49.311,47.832
goodwill-intangible-assets-total,42.217,42.569,43.708,44.715,45.562,47.658,47.581,47.844,48.021,47.063,46.788,49.08,49.433,51.024,38.324,10.77,10.399,10.584,10.77,10.956,11.141,11.327,11.512,11.698,11.884,12.07,12.255,12.44,12.626,12.812,12.997,13.209,22.107,22.493,22.879,23.267,38.058,38.464,38.871,38.528,39.303,39.81,37.321,34.871,34.455,35.281,34.566,34.085,,,,5.53,,,,,,
other-long-term-assets,2.96,2.081,1.602,1.446,1.622,1.197,1.039,0.897,0.877,0.731,0.721,0.628,0.674,0.669,0.65,0.479,1.979,1.979,1.979,1.979,3.166,3.166,3.166,3.166,3.145,3.145,3.03,4.075,2.99,3.024,2.998,3.303,4.896,5.33,5.048,5.243,10.093,14.886,12.554,13.257,10.288,8.737,8.791,9.301,12.864,12.541,19.391,19.788,21.603,22.41,21.453,11.449,17.088,11.388,16.27,16.047,16.467,15.744
total-long-term-assets,80.803,79.463,79.986,82.608,81.141,81.978,74.557,75.71,74.221,72.925,71.981,74.336,72.845,70.764,58.977,30.921,30.677,30.928,48.097,49.609,49.906,51.029,63.176,66.144,65.593,61.813,67.93,64.364,66.846,67.521,70.762,102.195,122.846,129.967,131.66,132.801,150.024,151.818,151.781,148.548,143.128,149.579,141.5,144.519,140.348,120.442,126.041,123.436,84.103,86.908,85.893,81.306,78.748,80.104,82.99,82.621,88.726,86.936
total-assets,150.341,150.98,150.662,164.135,159.987,163.319,134.553,136.593,131.89,131.293,128.625,132.894,126.914,122.485,112.215,98.71,95.987,90.692,87.125,104.889,100.717,95.682,95.056,101.923,103.926,107.593,107.816,104.319,157.675,154.403,151.987,156.782,173.449,171.52,172.333,170.279,190.861,190.514,190.508,185.562,181.688,182.04,180.401,191.028,195.253,185.037,173.778,171.331,164.858,138.182,151.73,157.402,144.401,135.903,130.623,124.225,117.803,109.487
