,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,0.46
total-current-assets,513.726,612.952,426.516,499.787,565.657,622.213,615.698,685.505,400.279,431.328,213.958,220.425,159.448,178.12,197.667,170.416,188.587,201.443,52.18,48.274,,,,2.44
net-property-plant-equipment,38.31,33.525,30.615,29.627,29.72,30.25,29.074,24.363,13.416,7.774,6.081,6.188,6.578,6.565,6.537,6.661,4.805,1.393,1.295,1.482,,,,2.32
long-term-investments,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,84.872,86.303,87.532,10.71,10.733,9.455,5.898,5.869,6.423,5.619,2.68,2.123,1.823,1.835,1.806,1.821,1.896,1.372,2.435,0.169,,,,0.28
total-long-term-assets,224.199,194.226,118.147,40.337,40.453,42.9,48.77,30.232,19.839,13.393,38.69,62.37,8.401,8.4,8.343,8.482,6.701,2.765,3.73,1.651,,,,2.6
total-assets,737.925,807.178,544.663,540.124,606.11,665.113,664.468,715.737,420.118,444.721,252.648,282.795,167.849,186.52,206.01,178.898,195.288,204.208,55.91,49.925,0.0,0.0,0.0,4.13
total-current-liabilities,94.142,81.506,64.763,60.323,56.279,50.333,39.998,42.89,35.49,32.992,25.759,28.512,24.38,27.754,23.782,18.64,19.291,14.451,14.63,6.764,,,,3.15
long-term-debt,90.921,92.646,94.322,12.903,13.332,13.76,14.189,14.617,8.463,3.697,3.754,4.31,5.032,5.753,6.472,7.442,8.408,9.369,6.928,7.703,,,,2.27
other-non-current-liabilities,0.12,0.144,0.167,0.192,0.216,0.284,0.088,0.131,0.356,0.175,0.165,0.154,0.212,0.308,0.281,0.253,0.22,0.203,0.172,0.029,,,,0.06
total-long-term-liabilities,127.439,132.845,135.687,60.792,60.535,61.848,53.597,48.877,43.388,37.64,38.667,41.205,45.759,46.204,52.569,16.279,17.855,20.168,16.557,7.732,,,,2.46
total-liabilities,221.581,214.351,200.45,121.115,116.814,112.181,93.595,91.767,78.878,70.632,64.426,69.717,70.139,73.958,76.351,34.919,37.146,34.619,31.187,14.496,0.0,0.0,0.0,5.63
common-stock-net,0.049,0.049,0.044,0.044,0.044,0.044,0.044,0.043,0.039,0.039,0.033,0.033,0.027,0.027,0.027,0.027,0.027,0.027,0.002,0.002,0.0,0.0,0.0,0.001
retained-earnings-accumulated-deficit,-878.908,-784.633,-684.952,-597.545,-517.223,-444.501,-417.452,-355.589,-306.562,-268.859,-235.447,-207.47,-186.206,-169.373,-150.479,-134.975,-119.4,-106.758,-93.778,-82.206,,,,-41.92
comprehensive-income,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,516.344,592.827,344.213,419.009,489.296,552.932,570.873,623.97,341.24,374.089,188.222,213.078,97.71,112.562,129.659,143.979,158.142,169.589,24.723,35.429,0.0,0.0,0.0,-1.49
total-liabilities-share-holders-equity,737.925,807.178,544.663,540.124,606.11,665.113,664.468,715.737,420.118,444.721,252.648,282.795,167.849,186.52,206.01,178.898,195.288,204.208,55.91,49.925,0.0,0.0,0.0,4.13
