,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-01-31,2011-01-31
cash-on-hand,1432.156,1329.648,1090.161,1051.926,1010.425,918.308,761.962,758.076,724.651,663.917,518.872,510.809,479.555,457.435,346.203,339.468,437.967,428.508,397.873,392.866,350.202,345.496,288.132,273.383,,,,,16.88,
notes-loans-receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,15.361,12.045,,11.699,11.551,12.071,10.177,13.372,18.575,9.163,9.963,7.445,11.991,6.235,6.488,4.524,3.991,5.5,5.092,4.635,,,,,0.91,
total-current-assets,1620.838,1537.851,1433.414,1183.194,1152.358,1102.828,1012.421,846.069,833.355,789.112,711.865,589.829,587.093,548.374,500.964,427.338,522.75,509.775,501.837,449.516,423.005,418.782,353.732,328.448,,,,,39.66,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,117.242,118.755,120.325,121.992,123.658,125.448,127.294,129.196,131.092,133.077,135.087,137.137,139.19,141.25,143.304,144.012,18.307,18.865,9.754,10.164,10.577,10.991,11.401,11.673,0.0,0.0,,0.0,0.0,0.0
other-long-term-assets,30.715,27.117,8.254,6.978,6.277,6.352,5.806,5.386,4.938,4.676,4.057,4.101,3.49,3.675,4.703,5.378,5.072,3.775,3.856,3.959,2.206,1.212,1.145,1.22,,,,,0.33,
total-long-term-assets,239.015,238.253,220.352,214.087,212.234,214.827,217.912,200.147,202.515,206.551,205.511,198.645,200.139,203.418,204.835,197.695,68.882,58.888,43.053,43.037,41.236,16.342,16.576,16.841,,,,,1.56,
total-assets,1859.853,1776.104,1653.766,1397.281,1364.592,1317.655,1230.333,1046.216,1035.87,995.663,917.376,788.474,787.232,751.792,705.799,625.033,591.632,568.663,544.89,492.553,464.241,435.124,370.308,345.289,0.0,0.0,0.0,0.0,41.41,0.0
total-current-liabilities,382.941,412.587,401.022,236.716,294.658,326.226,306.169,214.35,255.578,269.046,246.784,167.616,208.115,207.098,186.279,136.383,134.402,137.143,135.523,107.76,103.257,101.231,86.617,70.253,,,,,26.2,
long-term-debt,15.518,13.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,7.933,7.679,8.9,8.117,7.249,7.255,6.977,6.226,6.128,5.556,4.964,5.418,4.139,3.861,3.649,2.953,3.593,2.57,2.364,1.888,1.899,1.909,3.595,1.882,,,,,0.68,
total-long-term-liabilities,31.895,28.414,14.995,22.26,19.558,16.992,17.926,13.398,13.689,17.713,17.938,14.953,14.009,14.148,14.271,14.672,3.593,2.57,2.534,3.586,3.597,3.607,3.595,4.39,,,,,1.1,
total-liabilities,414.836,441.001,416.017,258.976,314.216,343.218,324.095,227.748,269.267,286.759,264.722,182.569,222.124,221.246,200.55,151.055,137.995,139.713,138.057,111.346,106.854,104.838,90.212,74.643,0.0,0.0,,0.0,27.31,0.0
common-stock-net,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,,0.0,0.0,0.0
retained-earnings-accumulated-deficit,771.231,691.989,619.197,548.046,483.961,433.675,389.365,321.144,286.751,248.907,212.884,190.482,168.852,155.894,143.385,125.795,115.313,101.907,88.925,75.599,65.341,55.763,48.542,42.295,,,,,6.14,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0
total-share-holder-equity,1445.017,1335.103,1237.749,1138.305,1050.376,974.437,906.238,818.468,766.603,708.904,652.654,605.905,565.108,530.546,505.249,473.978,453.637,428.95,406.833,381.207,357.387,330.286,280.096,270.646,0.0,0.0,,0.0,14.1,0.0
total-liabilities-share-holders-equity,1859.853,1776.104,1653.766,1397.281,1364.592,1317.655,1230.333,1046.216,1035.87,995.663,917.376,788.474,787.232,751.792,705.799,625.033,591.632,568.663,544.89,492.553,464.241,435.124,370.308,345.289,0.0,0.0,,0.0,41.41,0.0
