,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,173.92,172.802,171.087,154.599,153.618,143.405,145.787,141.436,149.537,136.474,140.083,135.869,188.528,179.913,185.108,133.361,161.555,149.18,144.199,148.149,162.099,157.006,152.173,143.211,150.995,148.717,156.873,156.228,165.326,159.151,163.39,168.438,174.795,169.254,171.211,172.796,183.303,170.816,168.619,164.275,164.929,161.994,159.837,159.976,161.401,161.057,164.613,164.969,166.712,161.819,153.841,151.687,154.701,153.661,157.735,152.428,152.297,142.055,132.018
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
total-current-assets,399.023,397.277,390.709,374.351,363.462,347.4,342.378,356.783,356.684,340.313,333.503,330.512,369.376,371.0,367.934,359.804,383.694,374.266,374.066,381.15,385.374,385.326,367.801,372.132,363.916,358.606,353.998,348.893,344.677,337.435,351.278,356.724,370.111,368.182,358.017,350.192,367.159,348.996,353.129,325.61,316.117,292.905,288.54,293.034,315.92,306.859,299.628,279.022,275.523,263.808,264.346,249.883,266.179,255.904,259.674,255.515,252.179,242.096,230.551
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,1151.561,1154.637,1162.177,813.633,816.168,831.0,821.515,816.894,820.749,812.073,812.92,817.213,822.592,827.114,832.583,568.822,568.814,572.132,569.546,572.672,575.393,561.321,564.545,567.868,571.2,435.983,437.969,582.687,449.546,426.58,428.437,430.346,480.362,481.742,483.356,485.159,486.554,488.082,489.208,481.354,482.48,483.661,485.048,486.184,486.925,487.788,488.69,481.315,484.129,479.575,480.509,481.647,527.144,527.406,525.882,527.053,528.306,528.628,528.786
other-long-term-assets,91.091,90.16,90.975,67.909,69.649,70.368,70.45,63.334,66.713,64.759,61.86,55.517,15.31,15.339,15.439,43.384,9.688,10.157,9.983,9.545,11.854,11.772,11.074,10.34,9.121,149.653,151.419,7.171,152.077,153.929,153.391,6.948,6.874,7.095,7.576,7.518,5.243,5.595,5.676,5.994,6.488,6.73,6.925,7.478,7.723,8.595,9.263,9.935,10.767,12.768,13.285,13.561,14.036,15.21,15.145,16.991,17.982,18.62,18.796
total-long-term-assets,1359.395,1362.126,1370.128,994.787,999.5179,1016.332,1007.656,1001.178,1004.503,995.022,994.522,998.4709,961.348,967.834,974.8491,741.896,710.3529,715.1199,713.68,717.044,724.141,711.998,715.397,718.376,720.009,724.414,728.987,729.9561,744.1111,723.796,725.282,578.87,629.0811,631.983,634.386,635.581,635.705,637.749,639.237,632.803,635.3649,638.141,639.27,638.6271,633.806,631.188,625.222,614.929,616.549,611.302,610.9399,611.6879,653.621,651.674,647.391,648.268,649.731,649.708,649.569
total-assets,1758.418,1759.403,1760.837,1369.138,1362.98,1363.732,1350.034,1357.961,1361.187,1335.335,1328.025,1328.983,1330.724,1338.834,1342.783,1101.7,1094.047,1089.386,1087.746,1098.194,1109.515,1097.324,1083.198,1090.508,1083.925,1083.02,1082.985,1078.849,1088.788,1061.231,1076.56,935.594,999.192,1000.165,992.403,985.773,1002.864,986.745,992.366,958.413,951.482,931.046,927.81,931.661,949.726,938.047,924.85,893.951,892.072,875.11,875.286,861.571,919.8,907.578,907.065,903.783,901.91,891.804,880.12
total-current-liabilities,160.665,155.801,151.271,160.944,164.893,176.667,159.3,150.003,139.323,129.713,125.445,113.952,112.86,106.221,103.158,119.718,111.656,109.882,113.485,115.956,121.755,104.624,101.112,111.265,100.879,99.155,97.175,125.214,125.543,135.247,165.845,131.184,232.604,210.347,180.505,179.866,116.93,106.732,105.854,79.107,80.784,63.911,65.043,74.914,80.764,76.085,88.287,77.284,71.477,72.137,75.51,75.205,67.883,62.04,64.494,62.132,62.859,64.867,60.063
long-term-debt,780.689,796.148,803.555,438.564,442.9,432.236,442.408,471.744,494.789,484.032,487.045,488.288,490.176,508.639,511.598,269.471,260.545,258.545,257.201,240.201,246.83,244.83,241.435,214.435,224.017,233.017,224.802,160.802,168.437,145.437,138.952,88.952,9.119,30.644,71.844,85.182,171.088,170.366,173.91,182.195,182.917,184.237,186.787,182.739,217.676,224.791,219.36,219.485,239.647,237.78,256.885,264.676,296.753,296.902,297.423,302.643,266.95,269.422,277.333
other-non-current-liabilities,39.853,35.645,36.35,26.299,23.281,26.547,27.397,27.114,24.999,25.557,25.655,27.024,24.495,25.38,26.305,24.059,29.023,30.145,30.311,48.516,32.692,28.385,28.65,45.29,59.61,60.551,61.229,86.636,86.045,87.747,89.247,49.602,27.17,27.794,28.359,28.116,23.541,24.164,24.934,22.68,18.3,20.443,23.479,45.325,17.052,18.623,20.45,20.992,25.817,27.21,28.595,30.332,26.486,25.982,25.381,23.448,25.901,22.958,21.498
total-long-term-liabilities,896.8311,906.593,916.509,545.924,545.431,538.873,548.106,576.526,632.198,623.267,627.058,634.455,633.689,652.88,657.336,396.909,404.966,401.41,400.171,400.94,395.042,390.546,386.614,372.924,390.814,399.198,388.23,346.637,360.798,332.601,323.99,231.339,156.834,173.109,210.854,219.344,306.259,301.621,302.199,302.791,300.085,303.698,308.137,316.532,324.383,327.926,317.313,311.665,331.863,326.668,342.746,346.012,388.917,388.481,386.872,388.645,356.093,351.178,353.947
total-liabilities,1057.496,1062.394,1067.78,706.868,710.324,715.54,707.406,726.529,771.521,752.98,752.503,748.407,746.549,759.101,760.494,516.627,516.622,511.292,513.656,516.896,516.797,495.17,487.726,484.189,491.693,498.353,485.405,471.851,486.341,467.848,489.835,362.523,389.438,383.456,391.359,399.21,423.189,408.353,408.053,381.898,380.869,367.609,373.18,391.446,405.147,404.011,405.6,388.949,403.34,398.805,418.256,421.217,456.8,450.521,451.366,450.777,418.952,416.045,414.01
common-stock-net,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.312,0.312,0.311,0.311,0.309,0.305
retained-earnings-accumulated-deficit,461.564,460.267,460.229,464.851,448.875,448.675,445.576,440.085,398.982,397.369,396.814,406.932,405.79,404.017,406.695,414.506,412.196,408.863,406.941,406.145,400.316,403.848,399.062,395.889,391.179,389.62,384.21,377.907,371.267,366.219,360.185,354.439,379.575,371.365,362.685,354.02,347.979,339.362,332.574,325.37,320.835,319.744,318.825,314.373,316.877,307.997,295.793,284.85,273.049,264.875,257.897,247.425,271.018,267.686,264.272,259.932,257.125,249.211,238.703
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-share-holder-equity,700.922,697.009,693.057,662.27,652.656,648.192,642.628,631.432,589.666,582.355,575.522,580.576,584.175,579.733,582.289,585.073,577.425,578.094,574.09,581.298,592.718,602.154,595.472,606.319,592.232,584.667,597.58,606.998,602.447,593.383,586.725,573.071,609.754,616.709,601.044,586.563,579.675,578.392,584.313,576.515,570.613,563.437,554.63,540.215,544.579,534.036,519.25,505.002,488.732,476.305,457.03,440.354,463.0,457.057,455.699,453.006,482.958,475.759,466.11
