,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
total-current-assets,61.4094,70.8465,80.3185,90.0184,101.4048,111.8168,125.3402,129.5404,134.0824,78.0746,86.2309,83.8639,92.6354,97.4155,45.3376,33.4808,38.811,35.7754,52.7443,19.3377,24.2231,0.5132,,,,,0.2
net-property-plant-equipment,34.2204,34.2247,34.2291,34.2335,34.2379,34.2422,34.2466,34.251,34.2003,34.203,34.2063,34.2096,34.2132,34.2175,34.2219,34.2262,34.2305,34.2348,34.2337,34.2435,34.2356,34.2272,,,,,
long-term-investments,,,,,,,,5.023,10.3551,,,,,,,,1.4073,9.4438,,,,,,,,,
goodwill-intangible-assets-total,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,14.8694,15.1042,0.0,,0.0,0.0,0.0
other-long-term-assets,0.3142,0.3507,0.3862,0.0148,0.0148,0.0148,0.0148,0.0148,,,,,,,,,,,,,,,,,,,
total-long-term-assets,49.404,49.4448,49.4847,49.1177,49.1221,49.1264,49.1308,54.1581,59.4248,49.3054,49.0757,49.079,49.0826,49.0869,49.0913,49.0956,50.5072,58.5481,49.1031,49.1129,49.105,52.4432,,,,,
total-assets,110.8134,120.2913,129.8031,139.136,150.5268,160.9432,174.471,183.6986,193.5072,127.38,135.3066,132.9429,141.718,146.5024,94.4289,82.5764,89.3182,94.3235,101.8474,68.4505,73.3281,52.9564,0.0,0.0,0.0,0.0,0.2
total-current-liabilities,9.896,7.589,6.9027,3.6092,3.8703,5.018,7.9145,6.8381,8.7202,14.5876,12.986,9.6859,10.0985,6.2384,6.9695,5.32,3.211,3.8125,4.4258,3.5095,3.1791,10.0535,,,,,0.19
long-term-debt,0.157,0.2011,0.2431,,,,,,,1.3265,2.6006,3.8411,5.0487,6.2252,7.3762,8.5031,9.6061,8.6968,9.5469,,,,,,,,
other-non-current-liabilities,,,,0.029,0.0301,0.0307,0.0303,0.0299,,,,,,,,,,0.0026,0.0051,0.0077,,,,,,,
total-long-term-liabilities,45.39,45.4342,45.4762,45.2621,45.2632,45.2638,45.2634,45.263,54.6094,14.7602,16.0343,17.2748,18.4825,19.6589,20.81,21.9369,23.0398,22.1331,22.9858,13.4415,13.4338,13.6686,,,,,
total-liabilities,55.286,53.0232,52.3789,48.8713,49.1334,50.2817,53.1779,52.1011,63.3295,29.3479,29.0204,26.9607,28.581,25.8974,27.7794,27.2568,26.2509,25.9456,27.4116,16.9509,16.6129,23.7221,0.0,,0.0,0.0,0.19
common-stock-net,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0037,0.0037,0.0035,0.0035,0.0035,0.0028,0.0025,0.0025,0.0025,0.0025,0.0018,0.0018,0.0009,0.0,,0.0,0.0,0.0004
retained-earnings-accumulated-deficit,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,55.5274,67.2682,77.4243,90.2648,101.3934,110.6615,121.2931,131.5974,130.1777,98.0321,106.2863,105.9822,113.137,120.605,66.6495,55.3196,63.0673,68.3779,74.4359,51.4996,56.7152,29.2343,0.0,,0.0,0.0,0.01
total-liabilities-share-holders-equity,110.8134,120.2913,129.8031,139.136,150.5268,160.9432,174.471,183.6986,193.5072,127.38,135.3066,132.9429,141.718,146.5024,94.4289,82.5764,89.3182,94.3235,101.8474,68.4505,73.3281,52.9564,0.0,,0.0,0.0,0.2
