,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,4.911,5.157,5.646,6.21,5.546,6.22,5.438,4.366,3.074,1.636,,,,,,,,,,,,,,,,,,,,
other-current-assets,0.858,0.873,2.651,1.202,1.193,1.467,2.241,2.191,,,,0.829,,,,,,,,,,,,,,,2.46,6.68,,
total-current-assets,211.239,226.905,246.164,275.033,264.436,256.897,257.752,269.506,490.693,223.55,288.702,334.809,373.493,406.053,440.063,480.308,505.267,227.076,236.663,107.333,69.894,80.818,,,,,25.11,63.39,18.83,0.0001
net-property-plant-equipment,2.616,2.983,3.57,4.003,4.561,5.21,5.762,6.195,7.306,6.738,6.106,4.922,4.057,2.945,2.18,1.897,0.947,0.951,0.863,0.842,0.79,0.07,,,,,0.85,0.81,0.64,
long-term-investments,,,,,42.235,86.763,131.75,176.978,,,,,,,2.51,,,,8.904,,,,,,,,,,,
goodwill-intangible-assets-total,6.783,6.982,7.182,7.382,7.581,7.781,7.981,8.18,8.38,8.579,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,6.855,7.426,7.951,0.544,0.589,0.633,0.756,0.799,0.558,0.558,0.551,0.551,0.551,0.448,0.338,0.26,0.259,0.251,0.261,0.242,0.252,0.242,,,,,0.04,0.08,,
total-long-term-assets,16.254,17.391,18.703,11.929,54.966,100.387,146.249,192.152,16.244,15.875,6.657,5.473,4.608,3.393,5.028,2.157,1.206,1.202,10.028,1.084,1.042,0.312,,,,,0.89,0.89,0.64,
total-assets,227.493,244.296,264.867,286.962,319.402,357.284,404.001,461.658,506.937,239.425,295.359,340.282,378.101,409.446,445.091,482.465,506.473,228.278,246.691,108.417,70.936,81.13,0.0,0.0,0.0,0.0,25.3,63.63,18.96,0.0001
total-current-liabilities,55.594,51.829,47.68,46.429,48.053,47.709,39.374,53.427,38.125,31.774,33.004,32.725,25.307,19.572,18.915,21.18,17.941,20.558,17.727,20.559,25.247,21.083,,,,,17.09,6.78,3.38,0.03
long-term-debt,196.125,192.554,189.112,179.806,176.18,172.674,169.284,166.006,162.759,,,,,,,,,19.624,22.016,24.394,22.295,20.299,,,,,13.0,8.88,,
other-non-current-liabilities,0.024,0.047,0.071,0.095,0.118,0.142,0.165,0.189,0.213,0.331,0.26,0.379,0.402,,,,,,,,,,,,,,25.21,10.92,,
total-long-term-liabilities,196.149,192.601,189.183,179.901,176.298,172.816,169.449,166.195,162.972,0.331,0.26,0.379,0.402,,,,,19.624,22.016,24.394,22.295,20.299,,,,,38.21,19.8,,
total-liabilities,251.743,244.43,236.863,226.33,224.351,220.525,208.823,219.622,201.097,32.105,33.264,33.104,25.709,19.572,18.915,21.18,17.941,40.182,39.743,44.953,47.542,41.382,0.0,,0.0,0.0,55.31,26.58,3.38,0.03
common-stock-net,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.0,,0.0,0.0,0.0,0.0,0.0005,0.0005
retained-earnings-accumulated-deficit,-1211.899,-1181.855,-1146.381,-1103.621,-1062.523,-1012.721,-943.839,-882.284,-811.267,-753.423,-684.985,-628.568,-575.848,-529.661,-486.226,-445.764,-412.524,-384.26,-361.295,-344.238,-326.276,-308.856,,,,,-200.66,-122.35,-128.25,-0.08
comprehensive-income,0.021,-0.045,-0.281,-0.755,-0.848,-1.29,-1.483,-0.314,0.002,0.003,0.034,0.071,0.052,0.188,0.237,0.005,0.099,0.01,0.041,-0.021,-0.01,0.001,,,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.005,0.0,0.0
total-share-holder-equity,-24.25,-0.134,28.004,60.632,95.051,136.759,195.178,242.036,305.84,207.32,262.095,307.178,352.392,389.874,426.176,461.285,488.532,188.096,206.948,63.464,23.394,39.748,0.0,,0.0,0.0,-30.01,37.04,15.58,-0.03
total-liabilities-share-holders-equity,227.493,244.296,264.867,286.962,319.402,357.284,404.001,461.658,506.937,239.425,295.359,340.282,378.101,409.446,445.091,482.465,506.473,228.278,246.691,108.417,70.936,81.13,0.0,,0.0,0.0,25.3,63.63,0.0001,0.0001
