,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,793.901,498.807,496.382,461.286,445.712,421.793,451.611,537.171,366.02,338.745,337.168,369.96,361.807,181.29,171.845,190.761,194.338,203.829,205.427,208.196,206.613,231.832,199.857,198.198,199.686,197.129,194.757,109.936,114.244,116.465,128.219,132.635,137.857,147.834,133.537,142.457,133.328,145.602,142.173,154.304,99.791,80.38,99.987,88.499,105.964,124.952,90.607,108.752,113.891,127.828,27.247,39.865,,,
net-property-plant-equipment,355.865,334.025,299.605,258.379,229.433,197.564,153.029,107.864,88.491,75.878,65.279,44.753,50.911,41.131,41.695,41.793,41.536,42.04,44.612,37.069,36.582,34.159,32.556,32.356,31.399,29.334,24.982,25.422,24.91,21.422,19.947,19.422,18.295,16.125,14.256,12.522,14.147,13.751,15.134,15.482,15.531,15.689,16.423,17.564,26.08,26.244,25.225,21.304,20.96,20.49,18.484,16.999,,,
long-term-investments,31.006,62.677,76.789,140.784,145.539,156.06,164.117,125.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,52.547,52.779,51.178,50.029,47.565,45.478,44.343,44.191,44.223,43.145,41.905,41.718,40.381,40.536,40.646,40.54,52.862,49.837,50.691,51.6,52.509,53.418,54.463,55.576,56.69,57.803,59.104,60.499,61.894,63.289,64.868,66.538,56.837,59.127,,,,,,,,,,,,,,,,,,,,,
other-long-term-assets,35.071,29.435,28.658,18.266,18.057,17.961,16.663,1.969,1.614,1.559,0.605,0.216,0.098,0.088,0.588,0.076,4.384,4.687,4.986,0.317,5.493,5.919,1.652,1.825,1.721,1.886,2.056,2.202,2.333,2.503,2.647,2.727,2.791,3.104,1.133,1.254,2.379,2.637,1.73,3.072,1.806,3.244,3.442,2.17,3.288,3.377,0.635,0.685,0.754,0.822,1.951,0.276,,,
total-long-term-assets,474.489,478.916,456.23,467.458,440.594,417.063,378.152,279.573,134.328,120.582,107.789,86.687,91.39,81.755,82.929,84.365,98.782,96.564,100.289,88.986,94.584,93.496,88.671,89.757,89.81,89.023,86.142,88.123,89.137,87.214,87.462,88.687,77.923,78.356,15.389,13.776,16.526,16.388,16.864,18.554,17.337,18.933,19.865,19.734,29.368,29.621,25.86,21.989,21.714,21.312,20.435,17.275,,,
total-assets,1268.39,977.723,952.612,928.744,886.306,838.856,829.763,816.744,500.348,459.327,444.957,456.647,453.197,263.045,254.774,275.126,293.12,300.393,305.716,297.182,301.197,325.328,288.528,287.955,289.496,286.152,280.899,198.059,203.381,203.679,215.681,221.322,215.78,226.19,148.926,156.233,149.854,161.99,159.037,172.858,117.128,99.313,119.852,108.233,135.332,154.573,116.467,130.741,135.605,149.14,47.682,57.14,0.0,0.0,0.0
total-current-liabilities,113.282,105.773,113.973,115.657,97.224,76.109,82.414,86.025,74.94,48.018,39.379,55.697,54.252,55.181,49.775,65.156,59.437,52.682,47.376,44.296,47.764,71.199,43.118,42.374,48.294,33.853,42.98,48.286,49.342,43.14,32.58,27.995,24.761,26.611,16.797,18.95,20.442,23.76,17.932,19.813,18.217,16.783,19.79,16.968,15.823,15.534,25.944,21.029,19.306,17.045,40.931,39.08,,,
