,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,3.123,3.26,2.637,2.625,2.832,2.475,2.742,2.029,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,0.322,0.33,10.155,1.787,11.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,151.095,157.609,256.158,203.003,174.411,170.06,111.186,106.394,119.597,160.804,204.634,236.474,117.4,153.749,189.357,223.549,254.663,287.784,316.686,149.379,160.097,183.605,211.663,96.396,110.576,123.437,138.2,148.972,34.1165,41.828,50.7109,53.663,0.0255,0.0017,0.0002,,0.0021,0.0018,0.0,0.0024,0.0001,0.0024,0.0001,0.0001,0.0001,0.0023,0.0022,0.0014,0.0086
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,41.447,42.434,43.421,44.408,45.395,46.382,47.368,48.355,49.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-long-term-assets,36.298,36.383,28.058,7.748,6.677,6.868,6.765,6.306,8.168,7.127,6.99,11.163,11.451,11.919,13.598,13.91,14.429,11.998,11.026,11.222,10.046,10.532,6.821,6.294,2.914,2.899,1.249,1.248,1.2118,1.3804,1.0538,1.053,0.0099,,,,,,,,,,,,,,,,
total-long-term-assets,80.949,82.249,75.197,56.119,56.312,57.561,58.453,59.131,62.261,12.015,11.99,16.316,16.631,17.143,15.817,16.293,16.961,14.577,15.198,13.379,11.956,12.473,8.59,7.978,4.533,4.547,2.821,2.727,2.3808,2.6085,2.1108,1.735,0.0129,,,,,,,,,,,,,,,,
total-assets,232.044,239.858,331.355,259.122,230.723,227.621,169.639,165.525,181.858,172.819,216.624,252.79,134.031,170.892,205.174,239.842,271.624,302.361,331.884,162.758,172.053,196.078,220.253,104.374,115.109,127.984,141.021,151.699,36.4973,44.4364,52.8217,55.398,0.0384,0.0017,0.0002,0.0,0.0021,0.0018,0.0,0.0024,0.0001,0.0024,0.0001,0.0001,0.0001,0.0023,0.0022,0.0014,0.0086
total-current-liabilities,88.343,91.661,101.398,67.115,57.88,63.53,58.118,58.34,97.252,47.241,43.73,37.461,37.599,38.968,38.905,32.442,25.331,26.099,26.077,44.441,29.359,27.932,20.243,19.271,19.226,19.823,21.629,21.701,26.6599,15.5417,9.4828,0.587,0.212,0.0033,0.0024,,,,,0.0023,,0.0023,0.0005,0.0022,0.0022,0.0005,,,
long-term-debt,117.521,117.426,177.486,151.886,121.054,120.269,48.556,48.477,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,
other-non-current-liabilities,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-long-term-liabilities,126.521,126.426,186.486,157.701,126.93,125.792,54.065,53.883,5.438,5.47,5.502,5.505,5.284,4.847,1.326,1.393,1.452,1.484,1.471,1.269,1.091,1.107,1.223,1.116,1.123,1.136,1.113,1.089,0.8348,0.8559,0.7437,0.439,0.15,,,,,,,,,,,,,,,,
total-liabilities,214.864,218.087,287.884,224.816,184.81,189.322,112.183,112.223,102.69,52.711,49.232,42.966,42.883,43.815,40.231,33.835,26.783,27.583,27.548,45.71,30.45,29.039,21.466,20.387,20.349,20.959,22.742,22.79,27.4947,16.3976,10.2265,1.026,0.362,0.0033,0.0024,,,,,0.0023,,0.0023,0.0005,0.0022,0.0022,0.0005,,,
common-stock-net,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.0004,0.0003,0.0003,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
