,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,
inventory,30.596,32.414,32.044,33.019,34.572,31.474,32.086,26.08,23.032,21.151,19.79,17.64,16.057,14.433,15.541,15.622,16.579,15.396,,,,,18.31,
other-current-assets,5.096,5.035,6.372,5.242,4.669,4.925,5.598,5.221,3.789,4.072,6.084,5.183,6.369,4.282,5.721,8.495,5.21,4.577,,,,,3.12,
total-current-assets,154.386,139.861,195.498,195.415,190.96,167.055,159.257,147.85,136.611,125.623,106.683,110.819,110.465,113.023,100.038,90.006,83.435,78.99,,,,,79.24,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,23.5,23.953,24.4,24.847,25.441,26.123,26.82,27.512,28.359,29.17,30.002,30.832,32.12,33.663,34.949,36.21,38.203,39.813,0.0,,0.0,0.0,50.71,0.0
other-long-term-assets,33.247,34.149,32.044,30.232,29.652,29.769,29.08,28.487,21.535,21.222,20.792,19.995,19.728,20.038,20.337,20.509,20.12,19.781,,,,,22.57,
total-long-term-assets,248.023,250.389,248.41,244.416,233.858,234.748,233.332,236.008,144.41,142.255,142.88,145.079,144.504,146.244,149.225,152.373,152.697,154.56,,,,,236.72,
total-assets,402.409,390.25,443.908,439.831,424.818,401.803,392.589,383.858,281.021,267.878,249.563,255.898,254.969,259.267,249.263,242.379,236.132,233.55,0.0,0.0,0.0,0.0,261.31,0.0
total-current-liabilities,59.586,53.357,42.768,52.755,54.577,43.249,45.396,46.75,46.087,43.064,39.13,43.839,39.117,34.092,31.479,35.524,34.318,37.545,,,,,55.63,
long-term-debt,186.373,188.706,263.293,263.709,264.13,264.551,264.972,265.393,265.523,265.929,266.335,274.46,294.582,348.838,349.349,349.858,350.367,350.927,,,,,399.03,
other-non-current-liabilities,55.284,55.94,54.634,52.365,50.603,49.47,48.557,48.424,47.327,46.065,45.258,44.115,42.426,42.705,42.654,42.286,41.592,40.66,,,,,42.14,
total-long-term-liabilities,241.657,244.646,317.927,316.074,314.733,314.021,313.529,313.817,312.85,311.994,311.593,318.575,337.008,391.543,392.003,392.144,391.959,391.587,,,,,441.18,
total-liabilities,301.243,298.003,360.695,368.829,369.31,357.27,358.925,360.567,358.937,355.058,350.723,362.414,376.125,425.635,423.482,427.668,426.277,429.132,0.0,,0.0,0.0,496.82,0.0
common-stock-net,0.392,0.39,0.388,0.385,0.385,0.383,0.38,0.378,0.375,0.373,0.371,0.367,0.357,0.303,0.303,0.303,0.303,0.303,0.0,,0.0,0.0,0.05,0.0
retained-earnings-accumulated-deficit,-146.923,-151.779,-158.191,-168.14,-181.432,-190.702,-200.447,-209.013,-306.139,-314.665,-328.26,-332.398,-337.267,-341.487,-348.837,-359.16,-363.076,-368.462,,,,,-340.85,
comprehensive-income,-0.997,-0.964,-1.052,-1.108,-1.032,-1.03,-1.034,-1.034,-1.086,-0.971,-0.951,-0.947,-1.06,-1.729,-1.645,-1.985,-2.447,-2.004,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,-0.39,0.0
total-share-holder-equity,101.166,92.247,83.213,71.002,55.508,44.533,33.664,23.291,-77.916,-87.18,-101.16,-106.516,-121.156,-166.368,-174.219,-185.289,-190.145,-195.582,0.0,,0.0,0.0,-235.51,0.0
total-liabilities-share-holders-equity,402.409,390.25,443.908,439.831,424.818,401.803,392.589,383.858,281.021,267.878,249.563,255.898,254.969,259.267,249.263,242.379,236.132,233.55,0.0,,0.0,0.0,261.31,0.0
