,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,34.072,24.485,28.82,27.071,30.621,27.407,22.965,18.842,16.855,15.92,13.961,14.343,16.499,12.514,10.275,8.648,9.357,9.308,7.792,7.616,7.331,6.101,4.651,4.248,,,,4.05,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,
total-current-assets,289.836,340.726,321.756,314.583,299.55,282.994,251.054,228.488,219.779,198.847,176.504,161.545,158.077,142.561,123.98,114.844,114.436,109.442,100.527,92.543,89.315,97.694,87.45,32.83,,,,26.67,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,112.813,5.369,5.623,6.012,6.391,6.397,6.886,7.08,3.98,3.937,0.214,0.241,0.268,0.184,0.206,0.229,0.227,0.238,0.26,0.27,0.274,0.315,0.345,0.215,0.0,0.0,0.0,0.55,0.0
other-long-term-assets,11.019,10.254,9.522,2.832,1.874,0.537,0.61,0.765,0.512,0.493,0.405,0.41,0.097,0.097,0.096,0.097,0.097,0.097,0.097,0.097,0.08,0.08,0.08,1.765,,,,0.07,
total-long-term-assets,154.896,63.047,66.439,61.315,57.562,49.642,48.828,46.584,50.062,52.383,51.125,52.504,36.714,40.225,44.42,46.47,43.035,47.757,47.933,47.542,47.838,47.772,48.056,49.567,,,,31.46,
total-assets,444.732,403.773,388.195,375.898,357.112,332.636,299.882,275.072,269.841,251.23,227.629,214.049,194.791,182.786,168.4,161.314,157.471,157.199,148.46,140.085,137.153,145.466,135.506,82.397,0.0,0.0,0.0,47.58,0.0
total-current-liabilities,50.043,46.362,43.752,46.585,46.13,47.232,37.667,33.886,35.433,32.19,25.289,22.845,30.228,27.977,24.044,22.013,22.837,25.088,22.368,18.735,20.475,26.3,21.916,18.827,,,,13.79,
long-term-debt,5.123,4.456,4.92,,,,,,,,,,,,,,0.08,0.159,0.237,0.315,0.391,6.333,4.151,5.391,,,,5.05,
other-non-current-liabilities,32.914,6.289,6.023,6.813,6.599,6.445,5.129,4.395,4.086,2.939,2.423,2.074,2.138,1.687,1.399,1.084,0.937,0.88,0.82,0.709,0.503,0.473,0.431,0.844,,,,,
total-long-term-liabilities,51.543,23.613,22.549,18.889,19.718,18.498,15.878,14.145,13.122,11.263,9.565,9.116,8.481,7.306,6.167,5.283,4.712,4.194,3.526,3.2,2.772,8.352,5.686,7.271,,,,5.21,
total-liabilities,101.586,69.975,66.301,65.474,65.848,65.73,53.545,48.031,48.555,43.453,34.854,31.961,38.709,35.283,30.211,27.296,27.549,29.282,25.894,21.935,23.247,34.652,27.602,26.098,0.0,0.0,0.0,19.01,0.0
common-stock-net,0.022,0.022,0.022,0.022,0.021,0.021,0.021,0.021,0.021,0.021,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.001,0.0,0.0,0.0,0.001,0.0
retained-earnings-accumulated-deficit,82.809,75.946,65.786,60.484,50.439,34.007,19.397,8.639,9.245,1.907,-6.431,-12.363,-34.146,-37.601,-42.743,-45.108,-48.966,-51.662,-55.121,-56.693,-58.212,-60.345,-62.631,-62.62,,,,-81.01,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
total-share-holder-equity,343.146,333.798,321.894,310.424,291.264,266.906,246.337,227.041,221.286,207.777,192.775,182.088,156.082,147.503,138.189,134.018,129.922,127.917,122.566,118.15,113.906,110.814,107.904,56.299,0.0,0.0,0.0,28.57,0.0
total-liabilities-share-holders-equity,444.732,403.773,388.195,375.898,357.112,332.636,299.882,275.072,269.841,251.23,227.629,214.049,194.791,182.786,168.4,161.314,157.471,157.199,148.46,140.085,137.153,145.466,135.506,82.397,0.0,0.0,0.0,47.58,0.0
