,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,76.941,98.909,112.588,131.659,143.873,96.412,115.699,101.619,113.611,132.932,88.34,109.011,122.467,138.055,119.053,110.541,86.207,90.189,99.522,117.76,114.137,119.898,132.062,126.459,141.763,122.114,126.481,115.0,132.338,152.643,176.806,199.601,220.283,244.728,264.27,293.114,117.286,,,,,106.92
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,37.551,38.216,39.376,4.543,4.543,4.543,4.546,4.545,4.688,4.684,4.719,14.313,14.165,12.128,12.029,12.018,5.715,0.153,0.156,0.029,0.471,0.482,0.486,0.49,0.493,0.508,0.514,0.354,0.356,0.35,0.34,0.317,0.319,0.312,0.356,0.322,0.3,,,,,
total-long-term-assets,69.169,71.673,72.989,38.616,39.033,40.646,41.25,42.465,44.293,44.973,47.168,28.873,28.168,23.316,21.122,20.566,13.57,6.581,6.899,6.63,7.505,8.343,8.978,9.726,11.037,12.163,13.293,14.683,15.87,17.287,17.932,18.715,17.678,16.492,14.288,12.633,12.65,,,,,12.09
total-assets,146.11,170.582,185.577,170.275,182.906,137.058,156.949,144.084,157.904,177.905,135.508,137.884,150.635,161.371,140.175,131.107,99.777,96.77,106.421,124.39,121.642,128.241,141.04,136.185,152.8,134.277,139.774,129.683,148.208,169.93,194.738,218.316,237.961,261.22,278.558,305.747,129.936,0.0,0.0,0.0,0.0,113.1
total-current-liabilities,50.693,49.453,45.097,26.884,21.649,22.264,24.948,28.635,30.292,35.694,35.44,33.774,32.106,33.813,32.01,38.178,38.754,39.017,38.411,31.489,29.14,27.967,22.513,22.555,22.479,15.093,13.579,14.743,13.626,14.926,19.796,19.376,21.132,21.463,24.132,20.84,22.913,,,,,4.7
long-term-debt,42.968,43.921,44.861,14.659,14.384,14.121,13.872,13.635,10.456,10.441,13.302,16.106,15.794,15.496,15.216,14.948,14.808,14.567,14.339,13.991,13.914,13.714,13.525,13.347,13.173,13.007,14.746,,2.386,2.617,2.849,3.075,3.321,3.57,2.859,2.114,2.138,,,,,0.56
other-non-current-liabilities,,,,0.016,13.977,14.146,14.297,14.636,0.17,14.614,16.097,2.02,1.823,1.796,2.013,1.986,2.248,3.091,3.055,3.097,3.204,3.546,3.736,4.066,4.73,5.045,3.564,4.758,2.659,2.705,2.747,2.786,2.824,2.861,2.896,2.927,2.918,,,,,
total-long-term-liabilities,44.403,45.375,45.63,29.33,29.377,29.32,29.263,29.346,26.204,26.351,30.883,19.442,19.849,19.489,19.389,19.389,19.653,23.917,27.538,37.952,39.467,41.259,43.002,44.45,46.778,18.786,19.104,5.558,6.045,6.8,7.039,7.477,6.145,6.431,5.755,5.041,5.348,,,,,0.7
total-liabilities,95.096,94.828,90.727,56.214,51.026,51.584,54.211,57.981,56.496,62.045,66.323,53.216,51.955,53.302,51.399,57.567,58.407,62.934,65.949,69.441,68.607,69.226,65.515,67.005,69.257,33.879,32.683,20.301,19.671,21.726,26.835,26.853,27.277,27.894,29.887,25.881,28.261,0.0,0.0,,0.0,5.41
common-stock-net,0.153,0.153,0.153,0.15,0.149,0.132,0.132,0.116,0.116,0.116,0.094,0.093,0.093,0.091,0.087,0.08,0.076,0.075,0.075,0.074,0.071,0.071,0.07,0.066,681.614,677.995,664.204,0.056,642.822,639.751,636.903,632.961,0.055,0.054,0.053,,,0.0,0.0,,0.0,0.0
retained-earnings-accumulated-deficit,-1066.149,-1037.026,-1012.43,-982.106,-951.307,-926.263,-903.723,-879.733,-858.971,-836.95,-811.411,-787.544,-768.514,-751.02,-732.521,-713.169,-711.76,-713.581,-701.646,-681.473,-662.498,-653.335,-634.199,-615.313,-598.082,-577.595,-557.124,-536.02,-514.351,-491.622,-469.135,-441.555,-418.732,-389.451,-366.976,-332.167,-295.748,,,,,-104.29
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,51.014,75.754,94.85,114.061,131.88,85.474,102.738,86.103,101.408,115.86,69.185,84.668,98.68,108.069,88.776,73.54,41.37,33.836,40.472,54.949,53.035,59.015,75.525,69.18,83.543,100.398,107.091,109.382,128.537,148.204,167.903,191.463,210.684,233.326,248.671,279.866,101.675,0.0,0.0,,0.0,107.69
total-liabilities-share-holders-equity,146.11,170.582,185.577,170.275,182.906,137.058,156.949,144.084,157.904,177.905,135.508,137.884,150.635,161.371,140.175,131.107,99.777,96.77,106.421,124.39,121.642,128.241,141.04,136.185,152.8,134.277,139.774,129.683,148.208,169.93,194.738,218.316,237.961,261.22,278.558,305.747,129.936,0.0,0.0,,0.0,0.0
