,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
cash-on-hand,139.4,177.6,137.4,112.4,340.401,191.28,164.649,179.3,342.034,315.627,270.17,271.513,298.932,333.395,341.016,308.304,308.718,214.841,216.515,280.499,242.249,168.13,160.215,179.338,172.561,156.243,130.238,141.666,197.901,161.843,150.425,146.087,129.062,127.359,143.48,171.265,151.444,102.408,116.599,103.139,118.777,102.508,61.38,91.681,104.688,84.007,92.747,105.73,24.266,33.98,67.645,76.418,,,
notes-loans-receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.5,,,,,,,,
inventory,230.2,232.0,211.0,205.8,125.745,139.373,155.196,142.8,68.889,70.529,70.732,74.002,81.16,96.674,88.2,60.887,80.07,84.708,82.134,65.674,62.533,66.03,71.268,14.643,16.325,18.582,22.148,15.161,18.245,16.008,17.319,14.661,17.979,17.262,22.163,12.722,17.32,17.116,17.081,13.521,15.816,14.042,14.152,18.325,17.516,18.879,18.79,16.897,25.623,28.885,26.885,24.721,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.47,17.47,,,,,,,,,,,,,
total-current-assets,700.0,692.7,528.5,620.8,563.148,541.308,476.649,485.4,556.034,509.741,489.166,510.218,479.995,528.047,528.16,537.41,473.49,435.488,405.811,432.175,383.632,345.449,327.203,273.115,234.015,248.159,237.079,263.347,252.935,243.215,239.542,254.418,236.765,223.844,216.203,243.493,210.836,194.446,191.536,193.814,195.417,203.722,163.921,152.887,151.974,140.028,139.629,144.31,107.363,99.61,103.69,147.337,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,996.3,1010.7,1024.8,1021.3,156.991,160.903,164.815,168.7,70.203,71.757,73.312,74.866,76.42,107.547,109.912,81.759,112.323,114.695,98.186,110.929,105.765,113.866,116.116,44.102,45.065,5.502,5.502,5.502,5.502,5.502,5.502,5.502,5.502,5.029,5.029,5.029,,,,,,,,,,,,,,,,,,,
other-long-term-assets,108.4,97.4,87.0,77.1,5.757,4.869,3.078,6.1,6.644,3.723,3.037,2.483,1.781,43.646,44.618,2.856,49.345,59.575,85.496,68.844,58.64,59.068,59.665,45.173,42.241,42.362,42.373,42.53,42.55,42.513,42.545,63.972,64.172,64.66,65.27,65.339,14.058,14.063,14.588,15.147,1.659,1.329,1.371,1.172,1.926,6.564,6.78,6.583,6.604,1.432,1.293,1.267,,,
total-long-term-assets,1633.8,1628.6,1625.2,1608.6,610.475,597.583,591.818,584.8,468.168,460.742,462.473,459.893,452.031,528.419,507.737,500.074,503.058,507.835,512.0341,506.516,485.659,491.8,496.048,353.515,361.449,307.455,301.306,300.883,287.09,283.925,275.145,292.446,276.197,270.14,255.074,256.826,155.401,151.301,151.255,150.875,121.385,122.663,139.861,137.901,135.422,137.891,134.012,129.198,119.388,107.386,100.203,90.918,,,
total-assets,2333.8,2321.3,2153.7,2229.4,1173.623,1138.891,1068.467,1070.2,1024.202,970.483,951.639,970.111,932.026,1056.466,1035.897,1037.484,976.548,943.323,917.845,938.691,869.291,837.249,823.251,626.63,595.464,555.614,538.385,564.23,540.025,527.14,514.687,546.864,512.962,493.984,471.277,500.319,366.237,345.747,342.791,344.689,316.802,326.385,303.782,290.788,287.396,277.919,273.641,273.508,226.751,206.996,203.893,238.255,0.0,0.0,0.0
