,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,136.824,131.367,111.934,,,,,,,,,,,,,,,,,,,44.67,
total-current-assets,1492.512,1466.75,1407.76,1491.962,1356.422,1417.073,1388.512,1422.179,1362.802,582.727,539.146,522.629,487.041,484.429,450.078,422.046,521.302,426.687,477.322,426.264,478.619,,,,,354.35,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,5326.759,5387.42,5441.363,5466.771,5542.49,5458.056,5547.953,5578.621,5659.903,648.768,658.145,666.988,677.03,686.249,696.148,705.348,714.593,724.907,734.3979,747.222,756.387,0.0,0.0,,0.0,835.8,0.0
other-long-term-assets,351.418,345.953,353.264,103.373,102.951,101.758,104.679,84.496,80.0,19.655,18.686,25.858,23.611,23.967,24.508,26.939,11.502,11.46,11.615,8.489,14.029,,,,,20.54,
total-long-term-assets,5884.801,5930.231,5979.771,5762.947,5853.271,5756.126,5853.392,5863.688,5934.152,753.532,752.4519,765.8781,757.1131,767.675,778.264,789.173,781.739,789.057,799.1809,815.101,837.422,,,,,939.5699,
total-assets,7377.313,7396.981,7387.53,7254.909,7209.693,7173.2,7241.904,7285.867,7296.954,1336.259,1291.598,1288.507,1244.154,1252.104,1228.342,1211.219,1303.041,1215.744,1276.503,1241.365,1316.041,0.0,0.0,0.0,0.0,1257.65,0.0
total-current-liabilities,1451.734,1654.502,1383.712,1503.198,1397.109,1361.089,1278.36,1159.562,1073.61,507.223,458.247,466.727,482.721,474.467,472.884,474.592,462.185,412.231,398.05,379.172,381.215,,,,,310.27,
long-term-debt,2938.986,2791.936,3049.707,2763.778,2797.199,2848.562,2923.973,2966.31,3006.889,449.258,470.053,485.849,466.641,456.804,466.45,472.035,475.0,475.0,414.45,412.19,587.777,,,,,588.26,
other-non-current-liabilities,85.577,93.421,88.918,106.669,123.745,108.32,110.047,99.609,139.038,26.024,25.949,26.163,28.868,28.447,22.008,19.092,20.177,20.909,26.523,27.426,24.091,,,,,20.44,
total-long-term-liabilities,3058.063,2918.58,3165.448,2895.567,2979.556,2989.439,3056.285,3103.726,3197.035,475.598,497.905,520.307,499.571,489.0,503.401,519.193,523.003,523.145,469.499,469.984,641.338,,,,,630.53,
total-liabilities,4509.797,4573.082,4549.16,4398.765,4376.665,4350.528,4334.645,4263.288,4270.645,982.821,956.152,987.034,982.292,963.467,976.285,993.785,985.188,935.376,867.549,849.156,1022.553,0.0,0.0,,0.0,940.82,0.0
common-stock-net,1.038,1.035,1.038,1.034,1.032,1.029,1.038,1.044,1.042,0.542,0.541,0.538,0.536,0.546,0.54,0.539,0.565,0.563,0.612,0.612,1.052,0.0,0.0,,0.0,1.05,0.0
retained-earnings-accumulated-deficit,-432.313,-488.837,-493.814,-459.333,-505.003,-494.609,-504.187,-370.469,-353.699,-207.424,-210.813,-229.991,-267.482,-246.11,-276.513,-301.472,-228.24,-266.054,-191.893,-217.149,-162.896,,,,,-146.8,
comprehensive-income,-127.035,-92.688,-71.807,-88.195,-53.735,-55.064,15.822,-22.385,-25.54,-30.051,-37.254,-42.25,-36.649,-38.399,-36.207,-41.543,-38.474,-37.594,-35.418,-26.2,-20.87,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,-9.91,0.0
total-share-holder-equity,2867.516,2823.899,2838.37,2856.144,2833.028,2822.672,2907.259,3022.579,3026.309,353.438,335.446,301.473,261.862,288.637,252.057,217.434,317.853,280.368,408.954,392.209,293.488,0.0,0.0,,0.0,316.83,0.0
total-liabilities-share-holders-equity,7377.313,7396.981,7387.53,7254.909,7209.693,7173.2,7241.904,7285.867,7296.954,1336.259,1291.598,1288.507,1244.154,1252.104,1228.342,1211.219,1303.041,1215.744,1276.503,1241.365,1316.041,0.0,0.0,,0.0,1257.65,0.0
