,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30
cash-on-hand,104.967,122.672,115.736,119.206,113.875,116.804,109.891,107.981,105.415,108.616,103.871,80.0,58.899,61.322,64.083,67.2,78.445,85.718,93.485,101.344,116.423,126.592,145.979,146.664,63.227,67.897,69.932,29.223,32.213,35.529,22.455,24.558,22.676,21.159,18.618,22.54,22.006,23.717,42.727,46.144,53.454,33.411,37.844,,50.591,,78.136,,101.731,112.098,119.008,,134.332,95.376,,59.42,,
notes-loans-receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,
inventory,19.489,18.058,19.304,19.679,18.095,16.605,17.002,17.401,17.035,16.897,16.605,16.169,16.887,17.44,18.226,18.237,15.446,13.966,13.219,13.957,14.644,12.89,11.889,10.283,8.266,6.243,6.796,7.161,6.962,7.061,7.824,7.963,7.055,5.818,4.865,4.321,4.456,4.319,4.562,4.048,4.082,3.369,2.737,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131,,,,,,,,,,,,,
total-current-assets,161.938,180.075,172.231,170.735,164.538,167.611,161.184,155.799,155.797,159.059,151.832,122.949,102.092,104.882,106.745,112.766,123.358,133.894,141.828,145.449,157.03,162.711,178.379,174.341,87.995,89.829,92.693,50.528,53.891,57.77,44.249,46.394,42.705,41.028,37.552,38.636,38.489,38.478,58.081,60.146,66.981,46.052,49.852,,51.909,,79.654,,104.652,114.079,122.84,,139.72,102.951,,60.07,,
net-property-plant-equipment,27.367,27.324,27.607,28.23,27.388,27.744,28.165,28.729,29.164,29.696,30.213,31.204,31.82,32.471,33.224,33.564,33.711,32.883,32.359,30.94,21.238,15.297,3.42,3.088,3.022,2.999,2.532,2.342,2.122,2.163,2.257,2.388,2.271,2.383,2.22,2.315,2.015,1.964,1.959,1.784,1.636,1.719,1.624,,0.133,,1.677,,2.131,2.503,2.851,,2.9,3.092,,3.248,,
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,22.5,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,20.991,5.105,5.242,5.307,5.501,5.231,5.148,5.386,5.278,5.056,4.752,4.503,4.352,5.013,4.952,4.759,4.787,4.511,4.399,4.15,4.015,3.823,3.62,3.505,3.418,3.219,3.066,2.938,2.903,2.635,2.659,2.499,2.422,2.314,2.192,2.015,1.817,1.712,1.704,1.629,1.49,1.363,1.265,,,,,,,,,,,,,,,
other-long-term-assets,6.769,6.073,6.149,2.915,2.883,2.766,0.262,0.15,0.118,0.129,0.06,0.064,0.07,0.04,0.088,0.136,0.534,0.04,0.04,0.07,0.07,0.07,0.07,0.07,0.685,0.85,0.742,0.839,1.17,0.556,0.656,0.726,0.906,1.033,1.762,1.712,0.106,0.568,0.216,0.291,0.364,0.436,0.53,,0.07,,0.086,,0.113,0.121,0.128,,0.086,0.118,,0.261,,
total-long-term-assets,55.127,38.502,38.998,36.452,35.772,35.741,33.575,34.265,34.56,34.881,35.025,35.771,36.242,37.524,38.264,38.459,39.032,37.434,36.798,35.16,25.323,19.19,7.11,6.663,7.125,7.068,6.34,6.119,6.195,5.354,5.572,5.613,5.599,5.73,6.174,6.042,3.938,4.244,3.879,3.704,3.49,26.318,25.919,,0.203,,1.763,,2.244,2.624,2.979,,2.986,3.21,,3.509,,
total-assets,217.065,218.577,211.229,207.187,200.31,203.352,194.759,190.064,190.357,193.94,186.857,158.72,138.334,142.406,145.009,151.225,162.39,171.328,178.626,180.609,182.353,181.901,185.489,181.004,95.12,96.897,99.033,56.647,60.086,63.124,49.821,52.007,48.304,46.758,43.726,44.678,42.427,42.722,61.96,63.85,70.471,72.37,75.771,0.0,52.112,0.0,81.417,0.0,106.896,116.703,125.819,0.0,142.706,106.161,0.0,63.579,0.0,0.0
total-current-liabilities,46.897,42.345,40.497,38.989,36.261,37.46,36.155,33.491,36.258,40.972,38.65,32.378,30.451,35.499,34.987,27.964,29.862,29.888,33.883,30.487,32.015,29.729,29.065,24.804,23.954,22.413,19.955,16.938,19.287,17.852,16.138,14.265,15.095,15.186,15.447,15.206,18.042,13.405,31.879,34.478,36.042,36.174,34.243,,6.875,,8.105,,8.313,6.643,62.371,,9.65,11.693,,9.315,,
long-term-debt,20.938,20.972,21.005,21.025,21.045,21.064,21.083,21.088,21.094,21.1,20.973,,,,,,,,,,,,,,5.742,7.472,8.851,10.4,11.621,12.842,14.063,15.403,8.443,8.331,9.598,10.004,,8.985,,,,4.379,,,,,,,,,,,,,,,,
other-non-current-liabilities,1.08,0.775,0.884,0.875,0.903,1.412,2.042,2.62,2.902,3.479,3.752,4.266,4.939,6.01,8.251,1.986,1.916,2.005,2.004,1.967,1.891,0.117,0.112,0.123,0.153,0.18,0.242,0.151,0.192,0.241,0.082,0.103,0.106,1.606,0.112,0.114,6.731,0.409,11.805,6.7,7.791,1.485,7.059,,,,0.025,,0.037,0.044,0.05,,0.062,0.069,,0.081,,
total-long-term-liabilities,28.094,28.288,29.119,29.6,30.07,31.422,32.148,32.613,33.996,34.579,34.725,14.266,4.939,6.01,8.251,1.986,1.916,2.005,2.004,1.967,1.891,0.117,0.112,0.123,5.895,7.652,9.093,10.551,11.813,13.083,14.344,15.842,9.864,9.937,11.451,12.029,8.949,11.602,11.805,6.7,7.791,5.864,7.059,,,,0.025,,0.037,0.044,0.05,,52.806,53.924,,0.081,,
total-liabilities,74.991,70.633,69.616,68.589,66.331,68.882,68.303,66.104,70.254,75.551,73.375,46.644,35.39,41.509,43.238,29.95,31.778,31.893,35.887,32.454,33.906,29.846,29.177,24.927,29.849,30.065,29.048,27.489,31.1,30.935,30.482,30.107,24.959,25.123,26.898,27.235,26.991,25.007,43.684,41.178,43.833,42.038,41.302,,6.875,,8.13,,8.35,6.687,62.421,,62.456,65.617,,9.396,,
common-stock-net,0.034,0.034,0.034,0.034,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.032,0.032,0.032,0.032,0.031,0.031,0.031,0.03,0.025,0.024,0.024,0.021,0.021,0.02,0.018,0.018,0.018,0.017,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.014,0.014,,0.027,,0.027,,0.027,0.027,0.027,,0.027,0.002,,0.002,,
retained-earnings-accumulated-deficit,-340.822,-329.536,-330.922,-331.263,-331.436,-327.591,-331.328,-331.693,-331.28,-329.303,-330.075,-328.326,-329.269,-327.411,-322.526,-299.811,-284.647,-271.387,-262.718,-252.062,-246.789,-238.565,-228.937,-219.225,-210.567,-203.275,-196.434,-190.215,-184.448,-179.238,-174.632,-170.442,-166.307,-162.448,-159.965,-157.581,-155.591,-151.323,-146.922,-140.404,-133.619,-127.419,-121.782,,-146.891,,-118.246,,-92.345,-80.042,-125.532,,-107.363,-101.641,,-83.107,,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-share-holder-equity,142.074,147.944,141.613,138.598,133.979,134.47,126.456,123.96,120.103,118.389,113.482,112.076,102.944,100.897,101.771,121.275,130.612,139.435,142.739,148.155,148.447,152.055,156.312,156.077,65.271,66.832,69.985,29.158,28.986,32.189,19.339,21.9,23.345,21.635,16.828,17.443,15.436,17.715,18.276,22.672,26.638,30.332,34.469,,45.237,,73.287,,98.546,110.016,63.398,,80.25,40.544,,54.183,,
total-liabilities-share-holders-equity,217.065,218.577,211.229,207.187,200.31,203.352,194.759,190.064,190.357,193.94,186.857,158.72,138.334,142.406,145.009,151.225,162.39,171.328,178.626,180.609,182.353,181.901,185.489,181.004,95.12,96.897,99.033,56.647,60.086,63.124,49.821,52.007,48.304,46.758,43.726,44.678,42.427,42.722,61.96,63.85,70.471,72.37,75.771,,52.112,,81.417,,106.896,116.703,125.819,,142.706,106.161,,63.579,,
