,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,0.0781,0.41,0.449,0.474,0.4573,0.45,0.17,0.26,0.71,0.58,1.29,1.14,0.56,
other-current-assets,0.558,0.58,0.35,0.329,0.312,0.418,1.603,0.687,0.747,0.632,0.579,1.274,,,,1.194,,,,,,,,1.89,,0.53
total-current-assets,407.642,188.541,213.195,236.576,242.08,262.706,145.47,162.783,92.315,111.425,123.729,143.946,167.5495,195.0887,209.7845,228.113,247.2564,207.52,53.87,76.25,88.43,104.87,112.08,36.73,45.87,1.41
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,5.906,6.367,6.413,5.707,5.724,11.249,10.429,10.1,9.549,9.251,8.828,8.789,10.2817,10.616,8.2431,7.296,9.6849,21.83,21.23,23.53,22.09,13.34,12.22,10.32,8.96,4.21
other-long-term-assets,29.766,30.113,21.608,2.444,2.454,2.458,2.5,2.48,2.469,1.879,1.837,1.828,1.8559,1.8921,1.8203,1.243,1.2329,1.23,1.29,1.35,1.29,1.27,1.26,1.22,1.21,
total-long-term-assets,63.95,64.537,55.799,37.33,38.98,45.833,46.768,46.861,46.671,46.54,45.906,46.319,45.3163,39.6648,36.1011,34.55,36.0949,23.06,22.52,59.03,23.38,14.61,13.48,11.54,10.17,4.21
total-assets,471.592,253.078,268.994,273.906,281.06,308.539,192.238,209.644,138.986,157.965,169.635,190.265,212.8658,234.7535,245.8856,262.663,283.3513,254.91,101.72,127.28,134.45,139.54,138.41,51.76,57.85,7.15
total-current-liabilities,28.447,23.368,22.418,19.969,32.011,31.44,26.557,19.23,25.374,23.13,20.473,22.721,22.8456,24.6377,29.2525,26.909,26.6826,24.72,17.09,16.3,14.65,15.37,19.22,13.88,11.68,7.15
long-term-debt,67.17,67.654,58.974,35.471,9.597,12.84,16.369,19.741,14.353,16.153,17.92,19.631,20.3625,20.7349,13.084,14.631,15.6368,16.69,19.34,21.98,20.81,20.18,8.13,8.75,9.65,0.57
other-non-current-liabilities,1.861,3.646,3.025,9.999,9.751,12.99,12.895,13.906,11.789,12.668,10.111,8.67,8.1535,9.9857,9.461,9.751,8.6479,3.48,1.41,9.45,1.96,,,,0.45,
total-long-term-liabilities,92.913,97.654,89.464,74.331,49.197,58.683,65.418,101.055,94.005,107.549,103.435,103.913,109.2419,113.7541,104.9154,107.827,111.5115,100.27,46.5,53.7,51.85,48.28,34.15,30.47,31.16,0.57
total-liabilities,121.36,121.022,111.882,94.3,81.208,90.123,91.975,120.285,119.379,130.679,123.908,126.634,132.0875,138.3918,134.1679,134.736,138.194,125.01,63.61,70.03,66.51,63.66,53.39,44.37,42.85,7.73
common-stock-net,2.646,2.327,2.322,2.299,2.294,2.288,1.971,1.947,1.612,1.612,1.604,1.593,1.4028,1.4199,1.3691,1.542,1.3475,1.25,1.03,1.2,1.18,1.2,1.2,0.81,0.8,0.62
retained-earnings-accumulated-deficit,-618.281,-594.677,-563.278,-535.506,-513.618,-491.583,-470.991,-475.318,-447.844,-437.599,-416.33,-396.058,-341.4837,-330.3719,-301.3247,-322.684,-265.3233,-235.18,-218.65,-240.62,-225.46,-220.68,-208.13,-191.32,-182.35,-150.77
comprehensive-income,-14.682,-8.518,-9.727,-7.259,-5.487,-4.688,-1.312,-3.8,-5.809,-5.831,-6.235,-6.557,,,,-6.828,,,,,,,,,,
other-share-holders-equity,,,,,,,,,,,,,33.8829,33.6451,30.4847,,25.9459,23.95,22.94,22.78,19.13,15.31,12.16,8.68,7.84,1.93
total-share-holder-equity,350.232,132.056,157.112,179.606,199.852,218.416,100.263,89.359,19.607,27.286,45.727,63.631,80.7783,96.3617,111.7178,127.927,145.1573,129.89,38.11,57.25,67.94,75.87,85.01,7.39,14.99,-0.57
total-liabilities-share-holders-equity,471.592,253.078,268.994,273.906,281.06,308.539,192.238,209.644,138.986,157.965,169.635,190.265,212.8658,234.7535,245.8856,262.663,283.3513,254.91,101.72,127.28,134.45,139.54,138.41,51.76,57.85,7.15
