,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,3.018,0.99,1.108,1.334,1.581,1.06,1.321,1.653,1.822,0.986,1.343,1.434,1.634,0.789,1.154,1.245,1.286,0.381,0.665,0.492,0.724,0.265,0.32,0.362,0.5648,0.1,,,,,0.29
total-current-assets,253.46,307.121,235.221,142.632,168.21,188.883,201.408,203.924,206.823,170.948,188.013,213.577,213.467,209.088,197.054,214.394,218.845,225.713,279.826,106.699,54.579,61.319,58.279,60.62,72.964,19.3891,,,,,1.86
net-property-plant-equipment,0.958,0.903,0.439,0.52,0.583,0.311,0.374,0.435,0.497,0.558,0.623,0.674,0.622,0.685,0.743,0.807,0.722,0.68,0.728,0.78,0.84,0.851,0.36,0.081,0.0787,0.0893,,,,,
long-term-investments,,,,0.243,5.181,21.631,42.35,73.42,105.717,13.68,25.92,30.906,49.646,67.637,88.183,80.315,86.771,89.509,44.611,35.741,5.055,7.061,11.528,17.537,13.4773,,,,,,
goodwill-intangible-assets-total,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.0557,0.0557,0.0,,0.0,0.0,0.05
other-long-term-assets,0.796,0.734,0.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
total-long-term-assets,1.81,1.693,1.261,0.819,5.82,21.998,42.78,73.911,106.27,14.294,26.599,31.636,50.324,68.378,88.982,81.178,87.549,90.245,45.395,36.577,5.951,7.968,11.944,17.674,13.6118,0.145,,,,,0.06
total-assets,255.27,308.814,236.482,143.451,174.03,210.881,244.188,277.835,313.093,185.242,214.612,245.213,263.791,277.466,286.036,295.572,306.394,315.958,325.221,143.276,60.53,69.287,70.223,78.294,86.5758,19.5341,0.0,0.0,0.0,0.0,2.17
total-current-liabilities,57.518,54.312,60.025,64.333,42.285,34.964,30.048,33.144,34.997,30.995,21.605,15.589,8.16,7.635,5.993,5.625,6.828,7.029,6.939,5.491,5.631,5.456,3.188,4.203,3.343,6.6444,,,,,1.33
long-term-debt,0.82,0.759,0.792,,,,,,,0.14,0.585,1.022,1.451,1.871,2.283,2.688,3.084,3.473,3.855,4.231,4.676,4.922,,,,,,,,,6.89
other-non-current-liabilities,128.42,124.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-long-term-liabilities,129.24,125.168,1.447,,,,,,,0.14,0.585,1.022,1.451,1.871,2.283,2.688,3.084,3.473,3.855,4.231,4.676,4.922,,,,,,,,,6.89
total-liabilities,186.758,179.48,61.472,64.333,42.285,34.964,30.048,33.144,34.997,31.135,22.19,16.611,9.611,9.506,8.276,8.313,9.912,10.502,10.794,9.722,10.307,10.378,3.188,4.203,3.343,6.6444,0.0,,0.0,0.0,8.23
common-stock-net,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.026,0.026,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.02,0.015,0.015,0.015,0.015,0.0154,0.0004,0.0,,0.0,0.0,0.0003
retained-earnings-accumulated-deficit,-633.32,-564.943,-510.722,-598.101,-538.062,-488.151,-442.421,-396.291,-358.4,-313.181,-269.844,-229.2,-200.244,-182.842,-168.807,-154.222,-141.1,-128.299,-115.904,-104.438,-94.981,-85.175,-75.937,-68.063,-58.3737,-53.1353,,,,,-30.23
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,68.512,129.334,175.01,79.118,131.745,175.917,214.14,244.691,278.096,154.107,192.422,228.602,254.18,267.96,277.76,287.259,296.482,305.456,314.427,133.554,50.223,58.909,67.035,74.091,83.2329,12.8897,0.0,,0.0,0.0,-6.05
total-liabilities-share-holders-equity,255.27,308.814,236.482,143.451,174.03,210.881,244.188,277.835,313.093,185.242,214.612,245.213,263.791,277.466,286.036,295.572,306.394,315.958,325.221,143.276,60.53,69.287,70.223,78.294,86.5758,19.5341,0.0,,0.0,0.0,2.17
