,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,376.0,378.0,397.0,402.0,424.0,432.0,442.0,444.0,445.0,438.0,458.0,480.0,527.0,527.0,587.0,580.0,572.0,568.0,561.0,557.0,553.0,550.0,529.0,371.0,377.909,375.44,371.055,368.172,364.972,358.597,354.074,346.611,336.462,342.268,329.275,329.114,313.77,307.373,303.531,302.609,289.145,286.594,275.38,275.696,267.32,266.403,264.061,262.903,274.455,121.964,113.315,113.32,106.718,102.874,94.864,95.2,90.214,88.635,86.314
other-current-assets,341.0,366.0,361.0,400.0,410.0,422.0,449.0,462.0,526.0,678.0,671.0,568.0,461.0,425.0,545.0,567.0,548.0,515.0,507.0,528.0,678.0,624.0,638.0,345.0,333.612,270.611,288.071,302.284,267.735,234.764,328.847,231.647,225.737,175.109,176.545,193.331,171.906,188.538,190.975,194.339,213.26,199.616,195.113,224.852,197.787,191.226,244.567,339.826,233.338,62.933,49.354,47.88,55.287,49.608,53.455,21.367,19.903,16.253,15.132
total-current-assets,3382.0,3484.0,3595.0,3549.0,3724.0,3694.0,3993.0,4068.0,4678.0,5055.0,4775.0,4666.0,4541.0,4842.0,5256.0,5166.0,5552.0,5500.0,5426.0,5566.0,5372.0,5397.0,5627.0,3747.0,3446.282,3356.608,3418.783,3419.142,3207.411,2997.163,3100.476,2846.089,2836.528,2734.49,2835.993,2871.193,2983.97,2980.203,2877.61,2674.995,2794.632,2599.431,2827.136,2605.05,2652.151,2503.658,2606.392,2552.898,2709.784,1132.313,1092.005,1021.384,961.96,939.643,995.91,914.209,960.791,1021.549,956.194
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,4495.0,4494.0,4553.0,4559.0,4631.0,4653.0,4704.0,4723.0,6148.0,6165.0,6327.0,6521.0,6901.0,6926.0,9022.0,8965.0,8972.0,8956.0,8954.0,8951.0,8936.0,8519.0,8373.0,4424.0,4437.26,4412.097,4408.362,4408.138,4397.473,4372.993,4367.841,4264.845,4232.913,4227.97,4225.768,4150.247,4174.04,4161.196,4159.097,4157.927,4187.677,4187.968,4173.408,4166.091,4151.487,4165.041,4375.293,4247.714,4046.813,1344.956,1332.422,1336.525,1381.137,1316.939,1267.557,1259.816,1236.623,1217.513,1205.12
other-long-term-assets,1993.0,2163.0,2009.0,1543.0,1544.0,1597.0,1579.0,1545.0,1578.0,2341.0,2919.0,2593.0,1955.0,1709.0,2342.0,2352.0,2601.0,2640.0,2648.0,2735.0,2618.0,2537.0,2390.0,1895.0,1770.14,1723.873,1674.923,1627.182,1530.477,1454.625,1376.236,1241.93,1204.541,1356.531,1210.101,1352.246,1117.913,1087.046,1052.848,1056.304,1008.027,1008.478,1045.529,1152.708,1039.3,1069.055,912.267,1180.457,804.68,226.7,198.786,162.093,154.378,164.86,158.364,149.202,146.979,124.64,122.566
total-long-term-assets,12513.0,12648.0,12714.0,12310.0,12745.0,13100.0,13318.0,13382.0,15057.0,15818.0,16885.0,17278.0,17686.0,17590.0,21468.0,21429.0,21637.0,21686.0,21693.0,21855.0,21852.0,21873.0,21335.0,13370.0,13275.96,13240.21,13178.42,13187.19,13033.74,12875.84,12745.94,12362.75,12011.39,12090.93,11882.29,11826.93,11435.52,11333.23,11323.0,11346.48,11249.05,11272.59,11087.23,11213.2,10935.25,10855.85,10725.96,10940.75,10728.91,3660.798,3516.911,3485.195,3381.653,3239.017,3053.379,3020.009,2883.292,2826.622,2804.921
total-assets,15895.0,16132.0,16309.0,15859.0,16469.0,16794.0,17311.0,17450.0,19735.0,20873.0,21660.0,21944.0,22227.0,22432.0,26724.0,26595.0,27189.0,27186.0,27119.0,27421.0,27224.0,27270.0,26962.0,17117.0,16722.24,16596.82,16597.2,16606.34,16241.16,15873.01,15846.42,15208.84,14847.92,14825.42,14718.28,14698.12,14419.49,14313.43,14200.61,14021.47,14043.68,13872.02,13914.37,13818.25,13587.4,13359.51,13332.35,13493.64,13438.7,4793.111,4608.916,4506.579,4343.613,4178.66,4049.289,3934.218,3844.083,3848.171,3761.115
total-current-liabilities,2355.0,2503.0,2508.0,2392.0,2479.0,2062.0,2263.0,2356.0,2277.0,2378.0,2996.0,2887.0,2686.0,2728.0,3054.0,3072.0,3154.0,3230.0,3161.0,3589.0,3180.0,3169.0,3126.0,2458.0,2109.507,1986.949,2008.92,2143.22,1981.223,1899.125,1996.409,1911.139,1703.16,1662.742,1605.829,1642.04,1580.004,1501.248,1531.329,1457.796,1560.098,1460.254,1403.008,1509.417,1428.883,1313.878,1302.626,1447.935,1389.508,611.024,590.716,575.283,546.815,533.786,472.596,437.403,440.334,436.028,422.816
