,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,0.09
total-current-assets,339.211,324.24,347.067,374.776,342.553,348.237,362.812,332.199,298.416,327.872,353.786,187.183,203.449,221.218,232.186,144.985,,,,10.71
net-property-plant-equipment,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,23.073,22.855,23.858,5.378,5.378,5.378,1.619,1.619,1.619,1.619,1.619,1.621,1.632,1.643,1.619,2.248,,,,0.36
total-long-term-assets,33.148,31.385,31.849,45.61,45.077,45.293,41.17,41.061,40.711,40.977,41.255,41.999,38.704,28.384,16.622,4.378,,,,1.63
total-assets,372.359,355.625,378.916,420.386,387.63,393.53,403.982,373.26,339.127,368.849,395.041,229.182,242.153,249.602,248.808,149.363,0.0,0.0,0.0,12.18
total-current-liabilities,66.787,72.867,41.029,35.9,26.086,24.02,30.994,36.707,29.496,48.686,50.287,33.083,13.757,13.721,10.222,6.925,,,,6.16
long-term-debt,13.202,13.784,14.859,32.417,32.694,32.944,33.19,33.431,33.667,33.878,33.929,35.096,32.048,22.676,11.649,0.289,,,,0.04
other-non-current-liabilities,0.001,0.001,0.001,0.293,0.301,0.305,0.311,0.317,0.325,0.328,0.331,0.396,0.019,0.021,0.024,0.027,,,,0.4
total-long-term-liabilities,95.582,89.696,120.725,148.324,137.095,138.178,125.473,128.473,131.843,135.159,138.293,61.492,58.22,48.551,37.223,25.637,,,,0.53
total-liabilities,162.369,162.563,161.754,184.224,163.181,162.198,156.467,165.18,161.339,183.845,188.58,94.575,71.977,62.272,47.445,32.562,0.0,0.0,0.0,6.7
common-stock-net,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-511.451,-478.51,-444.724,-416.278,-391.223,-375.985,-337.262,-305.85,-269.661,-243.062,-216.623,-185.526,-146.15,-125.13,-106.089,-88.348,,,,-15.44
comprehensive-income,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,209.99,193.062,217.162,236.162,224.449,231.332,247.515,208.08,177.788,185.004,206.461,134.607,170.176,187.33,201.363,116.801,0.0,0.0,0.0,5.48
total-liabilities-share-holders-equity,372.359,355.625,378.916,420.386,387.63,393.53,403.982,373.26,339.127,368.849,395.041,229.182,242.153,249.602,248.808,149.363,0.0,0.0,0.0,12.18
