,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31
cash-on-hand,71.293,100.954,168.627,135.738,47.107,24.696,20.87,39.211,54.337,35.184,83.504,67.721,133.125,66.996,136.404,123.453,51.699,60.501,71.902,44.269,50.155,29.949,31.667,6.4297,5.7546,9.6388,5.0913,6.4454,7.6253,2.4435,3.4665,2.2704,2.9223,4.714,5.2776,1.9657,2.1781,2.6819,3.4299,3.9548,0.2917,0.3645,,0.4167,,0.0171,0.0219,,,
notes-loans-receivable,,,,,,,,,,,,0.6,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,6.631,4.568,2.898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0052,,,,,,,,,,
total-current-assets,93.506,118.579,179.564,145.245,54.746,36.569,29.7,44.708,60.595,42.093,89.654,71.836,146.263,71.732,141.018,124.806,53.807,62.164,73.915,45.841,51.436,31.232,32.632,6.8738,5.9224,10.4615,5.252,6.5983,7.7275,2.5388,3.5577,2.3444,3.0082,4.7366,5.5534,2.044,2.2401,2.7067,3.4578,3.998,0.2922,0.3718,,0.4375,,0.0171,0.0219,,,
net-property-plant-equipment,30.829,28.9,24.384,21.467,19.893,19.494,19.345,18.969,18.044,16.958,12.707,10.083,9.203,7.436,7.246,3.813,2.824,2.54,2.277,2.36,2.349,2.359,2.44,1.6616,1.4495,1.5497,1.481,1.2705,1.1672,1.163,0.9884,0.928,0.8495,0.8173,0.0959,0.1024,0.1089,0.1088,0.0733,0.0341,,,,,,,,,,
long-term-investments,25.509,27.083,27.98,29.073,29.972,269.085,32.999,271.674,191.952,188.054,189.002,171.421,171.098,169.628,170.127,171.5,21.5,11.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,103.123,104.115,104.581,107.431,107.988,108.65,109.311,109.973,110.628,94.372,106.314,24.205,24.316,24.427,24.538,24.649,16.605,54.431,28.398,55.604,56.19,56.776,57.362,28.9944,0.0888,0.09,,,,,,,,,,,,,,,,,,,,,,,,
other-long-term-assets,334.076,330.797,287.578,284.748,239.922,3.081,240.258,3.44,3.549,3.751,3.909,1.513,0.524,0.556,0.59,0.527,38.08,0.622,26.951,0.324,0.345,0.248,0.148,0.4528,0.3282,0.0971,0.0486,0.0227,0.0227,0.0227,0.0227,0.0382,0.0382,0.0382,0.0384,0.0227,0.0227,0.0227,0.0227,0.0232,,,,,,,,,,
total-long-term-assets,493.537,490.895,444.523,442.719,397.775,400.31,401.913,404.056,324.173,303.135,311.932,207.222,205.141,202.047,202.501,200.489,79.009,69.093,67.626,58.288,58.884,59.383,59.95,31.1088,1.8664,1.7368,1.5296,1.2932,1.1899,1.1857,1.0112,0.9662,0.8878,0.8555,0.1343,0.1251,0.1316,0.1315,0.096,0.0573,,,,,,,,,,
