,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,50.4619,54.0345,58.0352,61.9966,4.3912,7.8917,2.9301,5.1804,7.7043,10.1418,6.1051,7.9214,9.6984,3.7891,5.7594,6.6454,6.2253,3.2479,1.536,0.2244,0.6436,0.0357,0.1094,0.077,0.15,0.1853,0.1514,0.0874,0.04,0.0642,0.0948,0.3402,0.0609,0.052,0.0393,0.1164,0.1465,0.4651,0.1499,0.357,0.1472,0.0125,0.0375,0.0438,0.0734,0.1039,0.0986,0.2625,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-long-term-assets,0.5017,0.5475,0.5924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-long-term-assets,0.9406,0.9607,0.9527,0.1477,,,,,,,,,,,,,,,,,,,,,,,,,0.0208,,,,0.0362,0.04,,,,,,,,0.0001,0.0073,0.0091,0.011,0.0129,0.0148,0.0166,,,
total-assets,51.4025,54.9952,58.9879,62.1443,4.3912,7.8917,2.9301,5.1804,7.7043,10.1418,6.1051,7.9214,9.6984,3.7891,5.7594,6.6454,6.2253,3.2479,1.536,0.2244,0.6436,0.0357,0.1094,0.077,0.15,0.1853,0.1514,0.0874,0.0607,0.0642,0.0948,0.3402,0.0971,0.092,0.0393,0.1164,0.1465,0.4651,0.1499,0.357,0.1472,0.0126,0.0448,0.0529,0.0844,0.1167,0.1134,0.2791,0.0,0.0,0.0
total-current-liabilities,3.1871,3.2063,2.9418,2.8036,3.7008,3.7472,2.3142,1.5223,1.7681,1.5761,1.9641,1.7368,2.2044,23.1188,31.4643,28.0057,33.6159,71.35,10.2436,1.2481,1.2998,2.5983,5.615,8.845,5.2527,4.9557,5.6522,6.1299,4.4283,3.8808,3.7003,3.8006,1.705,1.3705,1.9239,3.9833,1.3033,0.8847,1.2428,0.9864,0.9077,0.8462,3.4594,3.0763,2.8752,2.6753,2.3532,1.9539,,,
long-term-debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-long-term-liabilities,0.3335,0.3852,0.4352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5681,0.5045,0.4428,,,,,,,,,,,,,,,,
total-liabilities,3.5206,3.5914,3.377,2.8036,3.7008,3.7472,2.3142,1.5223,1.7681,1.5761,1.9641,1.7368,2.2044,23.1188,31.4643,28.0057,33.6159,71.35,10.2436,1.2481,1.2998,2.5983,5.615,8.845,5.2527,4.9557,5.6522,6.1299,4.4283,3.8808,3.7003,3.8006,2.2731,1.875,2.3667,3.9833,1.3033,0.8847,1.2428,0.9864,0.9077,0.8462,3.4594,3.0763,2.8752,2.6753,2.3532,1.9539,,,
common-stock-net,0.0457,0.0455,0.0455,0.0454,0.0138,0.0136,0.0106,0.0106,0.0105,0.0102,0.0085,0.0084,0.0084,0.0714,0.071,0.0059,0.0629,0.038,0.0326,0.0203,0.0196,0.16,0.1591,0.0015,0.1424,0.1137,0.0876,0.0764,0.0739,0.0729,0.0543,0.0521,0.0474,0.0468,0.0455,0.0403,0.0403,0.0402,0.0391,0.0384,0.0365,0.0024,0.0242,0.0242,0.0242,0.024,0.0235,0.0235,,,
retained-earnings-accumulated-deficit,-322.4543,-316.9948,-311.4244,-306.1054,-170.5452,-166.1568,-160.6165,-157.42,-154.7366,-150.7511,-148.2357,-145.8158,-144.239,-132.284,-138.2582,-133.5084,-131.8557,-160.3591,-94.0098,-86.3097,-85.5732,-84.3804,-85.1339,-55.4266,-51.951,-51.2063,-50.6564,-49.8941,-47.8409,-47.0728,-44.3208,-43.7222,-45.8798,-32.6653,-32.2609,-41.6933,-29.3535,-28.2054,-26.9082,-26.0409,-21.9404,-21.1496,-21.2645,-20.8121,-20.3207,-20.0536,-19.293,-18.6162,,,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,-0.0556,-0.0585,-0.0596,-0.0583,-0.0598,-0.0584,-0.0631,-0.0616,-0.0631,-0.0602,-0.0621,-0.0605,-0.0586,-0.0625,-0.0628,-0.0609,-0.0588,-0.0576,-0.0597,-0.0597,-0.0597,-0.0597,-0.0597,-0.0597,-0.0489,-0.0707,-0.0701,-0.0597,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025,,,,,,,,,,,,,,,,,,,,
