,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,259.4569,288.3419,321.1276,355.4387,383.2534,409.6611,443.1536,469.2153,333.4355,348.8349,371.6109,388.2001,541.8185,446.8084,462.8586,483.2561,512.2649,212.611,236.4971,130.9863,137.4809,141.208,146.3711,38.2495,47.1296,0.0,0.0041,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
other-long-term-assets,18.6265,18.9086,20.1904,0.0788,0.0788,0.0788,0.0773,0.0758,0.0758,0.0758,0.0758,0.0758,0.0758,0.0758,0.0719,0.0719,0.0719,0.0709,0.0709,0.0709,0.0709,0.0709,0.2004,0.1316,0.1308,,,,
total-long-term-assets,21.0661,21.5207,21.8452,1.7678,2.3337,2.4127,2.4855,2.2714,0.7554,0.7047,0.6814,0.7034,0.7535,0.7944,0.8033,0.8474,0.8574,0.7931,0.6307,0.1255,0.1284,0.1348,0.2655,0.1998,0.2065,,,,
total-assets,280.523,309.8626,342.9728,357.2065,385.5872,412.0737,445.6391,471.4867,334.1908,349.5395,372.2923,388.9035,542.572,447.6028,463.6618,484.1035,513.1223,213.404,237.1278,131.1118,137.6092,141.3428,146.6367,38.4493,47.336,0.0,0.0041,0.0,0.0
total-current-liabilities,33.3731,32.5265,33.4993,36.2992,29.1289,18.9354,19.6528,14.2096,11.8752,6.9627,16.3187,10.5323,140.6899,19.3811,8.9467,6.2635,10.387,9.3181,14.5927,10.5571,3.5776,2.7393,3.9116,6.834,7.7747,0.033,0.0262,,
long-term-debt,20.2697,20.5678,20.8591,,,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,,,,,,,,,2.8756,2.9111,2.9466,,2.5638,2.259,1.9707,,,0.5206,0.1601,,,,,,,,,,
total-long-term-liabilities,20.2697,20.5678,20.8591,3.1924,2.8329,2.7509,2.7973,2.8401,2.8756,2.9111,2.9466,2.8686,2.5638,2.259,1.9707,1.5971,0.8811,0.5206,0.1601,,,,,,,,,,
total-liabilities,53.6428,53.0943,54.3584,39.4916,31.9618,21.6863,22.4501,17.0497,14.7508,9.8738,19.2652,13.401,143.2537,21.6401,10.9174,7.8606,11.2681,9.8387,14.7529,10.5571,3.5776,2.7393,3.9116,6.834,7.7747,0.033,0.0262,,0.0
common-stock-net,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0035,0.0035,0.003,0.0029,0.0029,0.0029,0.0022,0.0022,0.0005,0.0005,,0.0
retained-earnings-accumulated-deficit,-669.5155,-634.6531,-597.212,-562.3762,-521.6282,-480.1053,-442.7289,-407.2488,-377.0401,-354.1696,-336.4089,-309.4754,-281.9903,-251.725,-220.8905,-193.0491,-164.2146,-132.0541,-110.5428,-88.256,-73.0568,-66.6413,-62.1078,-57.5645,-49.5237,,,,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
total-share-holder-equity,226.8803,256.7684,288.6144,317.7149,353.6254,390.3875,423.189,454.437,319.4401,339.6657,353.0271,375.5025,399.3183,425.9628,452.7444,476.2429,501.8542,203.5653,222.375,120.5547,134.0316,138.6036,142.725,31.6153,39.5614,-0.033,-0.0221,,0.0
total-liabilities-share-holders-equity,280.523,309.8626,342.9728,357.2065,385.5872,412.0737,445.6391,471.4867,334.1908,349.5395,372.2923,388.9035,542.572,447.6028,463.6618,484.1035,513.1223,213.404,237.1278,131.1118,137.6092,141.3428,146.6367,38.4493,47.336,0.0,0.0041,,0.0
