,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
cash-on-hand,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,2.31,0.3
total-current-assets,78.321,101.787,128.639,148.431,164.473,184.378,70.658,,,,39.972,55.69
net-property-plant-equipment,,,,,,,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,6.154,6.452,0.536,0.446,0.446,0.446,,,,,0.16,
total-long-term-assets,17.983,18.447,10.958,8.381,6.997,4.864,5.535,,,,0.708,
total-assets,96.304,120.234,139.597,156.812,171.47,189.242,76.193,0.0,0.0,0.0,40.636,55.69
total-current-liabilities,13.671,14.572,12.481,10.637,8.679,9.927,11.271,,,,6.873,13.92
long-term-debt,6.138,6.549,0.859,,,,,,,,,
other-non-current-liabilities,,,1.074,1.102,0.499,0.365,,,,,,
total-long-term-liabilities,6.138,6.549,1.933,1.102,0.499,0.365,124.179,,,,71.649,61.69
total-liabilities,19.809,21.121,14.414,11.739,9.178,10.292,135.45,0.0,0.0,0.0,78.522,75.62
common-stock-net,0.035,0.035,0.035,0.035,0.035,0.035,65.014,0.0,0.0,0.0,0.55,0.2
retained-earnings-accumulated-deficit,-255.163,-228.638,-199.056,-177.135,-158.115,-140.135,-124.258,,,,-84.941,-67.71
comprehensive-income,0.003,0.007,-0.005,-0.006,-0.01,-0.023,-0.013,,,,,
other-share-holders-equity,,,,,,,,0.0,0.0,0.0,46.49,47.57
total-share-holder-equity,76.495,99.113,125.183,145.073,162.292,178.95,-59.257,0.0,0.0,0.0,-37.886,-19.92
total-liabilities-share-holders-equity,96.304,120.234,139.597,156.812,171.47,189.242,76.193,0.0,0.0,0.0,40.63,55.69
