,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,4.908,1.981,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,3.33,4.13
total-current-assets,786.48,805.791,579.0,690.015,678.783,720.083,717.163,748.97,741.456,371.344,256.581,266.516,253.462,252.309,184.001,200.564,232.573,263.579,155.4,198.238,,,,143.64,52.8
net-property-plant-equipment,43.208,44.865,45.828,127.198,127.908,128.829,129.88,129.476,126.643,122.591,122.818,123.657,124.774,126.264,127.613,129.02,129.607,130.451,131.66,132.171,,,,167.95,156.67
long-term-investments,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,53.277,53.495,55.366,7.565,8.348,10.42,10.062,9.698,10.026,9.499,9.202,8.369,9.247,9.016,8.912,9.27,9.093,9.055,8.962,8.85,,,,8.05,7.5
total-long-term-assets,107.484,109.275,233.397,190.583,176.858,149.836,150.448,149.68,153.436,171.294,185.175,203.036,232.751,246.82,258.534,270.01,266.674,277.816,280.14,285.29,,,,191.35,245.78
total-assets,893.964,915.066,812.397,880.598,855.641,869.919,867.611,898.65,894.892,542.638,441.756,469.552,486.213,499.129,442.535,470.574,499.247,541.395,435.54,483.528,0.0,0.0,0.0,296.95,265.58
total-current-liabilities,87.286,82.812,93.92,89.033,100.426,90.559,83.342,85.96,68.498,59.774,60.113,65.125,61.744,66.443,58.303,67.181,58.988,63.502,53.957,62.754,,,,37.47,23.67
long-term-debt,41.955,45.122,48.261,97.157,97.323,97.473,97.62,97.763,97.37,97.451,97.536,97.352,97.377,97.395,97.077,97.042,96.99,96.929,96.873,96.818,,,,96.4,92.49
other-non-current-liabilities,52.297,35.904,26.526,26.791,27.239,26.299,26.385,25.291,23.612,22.529,20.992,21.045,20.501,20.506,21.023,19.692,16.18,15.888,15.473,17.161,,,,19.05,18.04
total-long-term-liabilities,192.96,183.952,209.983,263.095,264.633,264.558,265.48,264.952,235.625,233.495,230.671,229.318,226.853,220.309,208.009,206.568,203.704,205.007,177.696,180.098,,,,151.86,119.71
total-liabilities,280.246,266.764,303.903,352.128,365.059,355.117,348.822,350.912,304.123,293.269,290.784,294.443,288.597,286.752,266.312,273.749,262.692,268.509,231.653,242.852,0.0,0.0,0.0,189.34,143.4
common-stock-net,0.872,0.868,0.861,0.854,0.848,0.842,0.834,0.825,0.818,0.71,0.644,0.637,0.631,0.627,0.624,0.62,0.612,0.604,0.593,0.59,0.0,0.0,0.0,0.13,0.13
retained-earnings-accumulated-deficit,-686.597,-637.158,-753.161,-715.827,-736.78,-694.224,-670.803,-630.657,-573.823,-536.086,-502.903,-469.742,-435.74,-411.586,-435.903,-408.062,-356.693,-311.595,-368.65,-322.283,,,,-262.77,-247.83
comprehensive-income,-0.224,-0.462,-0.937,-2.281,-2.57,-2.611,-3.622,-1.795,-1.609,-1.387,-1.02,-0.96,-1.333,-1.024,-1.704,-1.651,-1.614,-0.623,-0.738,-3.149,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,24.36,27.53
total-share-holder-equity,613.718,648.302,508.494,528.47,490.582,514.802,518.789,547.738,590.769,249.369,150.972,175.109,197.616,212.377,176.223,196.825,236.555,272.886,203.887,240.676,0.0,0.0,0.0,107.6,122.18
total-liabilities-share-holders-equity,893.964,915.066,812.397,880.598,855.641,869.919,867.611,898.65,894.892,542.638,441.756,469.552,486.213,499.129,442.535,470.574,499.247,541.395,435.54,483.528,0.0,0.0,0.0,296.95,265.58
