,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,14.673,10.419,10.192,10.112,5.612,5.747,1.062,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13
total-current-assets,396.668,154.11,180.317,220.175,246.817,295.478,341.154,254.142,283.399,309.976,210.215,237.69,256.542,108.202,120.691,138.427,156.586,159.907,170.955,141.047,171.717,57.254,65.783,70.267,7.066,,,,,15.2
net-property-plant-equipment,58.277,58.595,62.982,60.525,58.36,54.879,47.81,31.932,19.246,14.391,12.532,7.857,4.607,3.844,3.993,3.816,2.912,1.703,0.796,0.24,0.228,0.16,0.146,0.132,0.114,,,,,0.96
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,19.243,21.436,19.751,4.344,4.017,2.604,2.079,4.202,2.656,2.617,2.661,2.707,2.799,2.979,3.037,3.076,8.034,10.587,13.872,0.273,1.338,0.039,0.032,0.059,0.062,,,,,0.03
total-long-term-assets,82.54,80.031,82.733,64.869,62.377,57.483,49.889,36.134,22.803,17.008,15.193,10.564,9.376,11.928,18.51,20.7,18.653,16.43,24.242,18.788,1.566,0.448,0.178,0.191,0.176,,,,,0.99
total-assets,479.208,234.141,263.05,285.044,309.194,352.961,391.043,290.276,306.202,326.984,225.408,248.254,265.918,120.13,139.201,159.127,175.239,176.337,195.197,159.835,173.283,57.702,65.961,70.458,7.242,0.0,0.0,0.0,0.0,15.45
total-current-liabilities,73.01,61.115,51.963,50.784,35.014,28.773,25.136,25.184,18.596,13.81,13.562,19.371,14.098,14.143,16.046,17.116,18.512,18.255,22.391,8.887,6.999,4.846,3.69,3.482,18.112,,,,,2.7
long-term-debt,195.788,13.238,12.044,,,123.999,123.922,123.845,123.769,123.692,123.615,123.539,123.463,123.387,123.31,123.236,124.25,124.218,124.187,122.906,124.125,,,,,,,,,
other-non-current-liabilities,1.206,4.03,6.893,6.454,5.598,5.309,5.714,5.648,4.569,4.44,4.115,,,,,,,,,,,,,,11.485,,,,,1.09
total-long-term-liabilities,196.994,17.268,18.937,6.454,5.598,129.308,129.636,129.493,128.338,128.132,127.73,123.539,123.463,123.387,123.31,123.236,124.25,124.218,124.187,122.906,124.125,,,,11.485,,,,,1.09
total-liabilities,270.004,78.383,70.9,57.238,40.612,158.081,154.772,154.677,146.934,141.942,141.292,142.91,137.561,137.53,139.356,140.352,142.762,142.473,146.578,131.793,131.124,4.846,3.69,3.482,29.597,0.0,0.0,,0.0,3.8
common-stock-net,0.046,0.046,0.046,0.045,0.045,0.04,0.04,0.037,0.036,0.036,0.034,0.033,0.033,0.027,0.027,0.026,0.026,0.025,0.025,0.024,0.024,0.024,0.023,0.023,0.001,0.0,0.0,,0.0,0.005
retained-earnings-accumulated-deficit,-840.936,-791.534,-744.37,-696.419,-644.961,-559.588,-504.564,-461.728,-403.215,-370.843,-342.41,-316.623,-287.301,-263.487,-240.268,-217.564,-197.187,-179.226,-160.44,-143.201,-126.7,-113.553,-101.739,-95.068,-84.79,,,,,-48.81
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,209.204,155.758,192.15,227.806,268.582,194.88,236.271,135.599,159.268,185.042,84.116,105.344,128.357,-17.4,-0.155,18.775,32.477,33.864,48.619,28.042,42.159,52.856,62.271,66.976,-22.355,0.0,0.0,,0.0,11.65
total-liabilities-share-holders-equity,479.208,234.141,263.05,285.044,309.194,352.961,391.043,290.276,306.202,326.984,225.408,248.254,265.918,120.13,139.201,159.127,175.239,176.337,195.197,159.835,173.283,57.702,65.961,70.458,7.242,0.0,0.0,,0.0,15.45
