,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,109.854,99.232,78.58,69.322,65.414,61.678,62.78,63.609,69.64,74.457,78.137,79.754,90.65,88.327,82.242,70.665,72.422,80.174,84.887,82.332,88.052,106.017,79.047,69.916,,,,51.37,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.93,,,,
total-current-assets,268.903,284.134,230.143,220.342,194.804,169.946,174.046,187.778,176.492,193.579,191.417,184.096,190.186,181.313,173.442,175.934,199.059,203.898,202.597,197.996,215.18,214.227,177.29,172.971,,,,165.69,,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,41.139,41.718,42.255,42.267,42.727,43.45,44.85,45.14,45.731,45.869,45.993,50.307,51.732,43.298,44.024,39.901,40.485,40.911,41.326,42.565,43.221,39.33,39.69,40.163,0.0,0.0,0.0,42.35,,,,0.0
other-long-term-assets,32.69,34.643,26.866,9.918,11.127,11.752,10.714,8.663,10.623,10.955,8.939,9.39,7.544,7.884,5.412,4.696,4.364,4.962,4.447,3.588,2.502,3.602,3.446,2.877,,,,2.04,,,,
total-long-term-assets,316.733,317.167,314.575,293.221,285.838,281.7,275.736,263.294,261.274,250.418,244.195,243.642,238.651,227.273,221.564,214.202,195.968,195.031,193.905,191.374,185.953,183.041,167.819,165.777,,,,231.52,,,,
total-assets,585.636,601.301,544.718,513.563,480.642,451.646,449.782,451.072,437.766,443.997,435.612,427.738,428.837,408.586,395.006,390.136,395.027,398.929,396.502,389.37,401.133,397.268,345.109,338.748,0.0,0.0,0.0,317.47,0.0,0.0,0.0,0.0
total-current-liabilities,86.596,100.999,111.959,106.834,96.621,87.59,72.542,67.192,57.397,63.701,72.861,60.617,60.837,65.667,64.921,59.955,70.653,69.404,72.09,62.595,63.082,56.282,72.813,65.402,,,,60.07,,,,
long-term-debt,55.019,57.547,42.147,31.984,32.606,33.695,39.706,40.844,42.232,40.107,31.148,32.356,34.163,31.742,29.092,30.165,31.354,34.798,35.886,36.106,41.271,42.85,9.612,10.069,,,,15.95,,,,
other-non-current-liabilities,9.392,9.442,9.279,9.355,8.842,8.51,9.005,7.939,4.681,4.914,4.289,4.055,3.6,3.547,3.229,3.167,1.896,1.963,1.585,0.989,0.791,0.938,1.524,1.953,,,,1.66,,,,
total-long-term-liabilities,65.387,68.014,52.493,42.37,42.751,43.53,50.136,50.144,49.714,46.982,37.19,37.866,39.547,35.455,33.5,34.671,40.588,44.26,45.131,44.915,54.931,53.245,20.754,21.801,,,,23.96,,,,
total-liabilities,151.983,169.013,164.452,149.204,139.372,131.12,122.678,117.336,107.111,110.683,110.051,98.483,100.384,101.122,98.421,94.626,111.241,113.664,117.221,107.51,118.013,109.527,93.567,87.203,0.0,0.0,0.0,84.03,,,,0.0
common-stock-net,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.0,0.0,0.0,0.004,,,,0.0
retained-earnings-accumulated-deficit,117.396,116.086,68.299,67.485,65.618,66.78,69.57,72.642,74.767,74.592,72.62,70.855,73.597,69.707,62.812,60.323,52.79,55.798,62.445,63.11,65.631,71.01,72.19,73.809,,,,61.94,,,,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0
total-share-holder-equity,433.653,432.288,380.266,364.359,341.27,320.526,327.104,333.736,330.655,333.314,325.561,329.255,328.453,307.464,296.585,295.51,283.786,285.265,279.281,281.86,283.12,287.741,251.542,251.545,0.0,0.0,0.0,233.43,,,,0.0
total-liabilities-share-holders-equity,585.636,601.301,544.718,513.563,480.642,451.646,449.782,451.072,437.766,443.997,435.612,427.738,428.837,408.586,395.006,390.136,395.027,398.929,396.502,389.37,401.133,397.268,345.109,338.748,0.0,0.0,0.0,317.47,,,,0.0
