,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,0.0097,0.01,,0.005,0.005,0.005,0.005,0.005,0.0086,0.0341,0.0094,0.0675,0.0575,0.0575,0.005,0.0002,0.0002,0.0002,,,,0.0002,0.0002,0.0002,0.0002,0.0002
total-current-assets,367.307,410.938,444.753,475.163,265.863,279.781,302.726,149.29,171.375,135.434,152.593,169.512,180.556,192.35,99.359,103.977,110.391,112.7145,111.4093,44.975,17.2308,18.5196,18.068,19.8459,0.1387,0.5787,0.0082,0.0073,0.005,0.0244,0.0341,0.5241,3.2981,0.3261,0.7883,1.3009,0.8011,0.2144,0.3169,,0.0009,0.0015,0.0017,0.0031,0.0169,0.0179,0.0324
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1057,0.1238,0.1419,0.16,0.2191,0.2193,0.2195,0.0012,0.0016,0.0019,0.0022,,0.0029,0.0032,0.0036
other-long-term-assets,22.583,20.514,13.245,2.975,2.331,2.264,2.275,3.633,,,,,,,,,,,,,0.0151,,,,,,,,,0.016,0.016,0.016,0.016,,,,,,,,,,,,,,
total-long-term-assets,28.439,24.986,16.749,5.658,4.971,4.97,4.522,6.083,2.595,2.578,2.796,2.374,1.769,1.192,1.409,1.676,1.833,2.0251,2.1283,1.532,0.1861,0.0158,0.0146,0.0278,0.0299,0.019,0.0202,0.0221,0.0237,0.0412,0.0428,0.0443,0.1405,0.1401,0.1419,0.16,0.2191,0.2193,0.2195,0.0012,0.0016,0.0019,0.0022,,0.0029,0.0032,0.0036
total-assets,395.746,435.924,461.502,480.821,270.834,284.751,307.248,155.373,173.97,138.012,155.389,171.886,182.325,193.542,100.768,105.653,112.224,114.7396,113.5376,46.507,17.4169,18.5353,18.0826,19.8737,0.1686,0.5977,0.0283,0.0294,0.0287,0.0656,0.0768,0.5684,3.4386,0.4662,0.9302,1.461,1.0202,0.4337,0.5364,0.0012,0.0025,0.0033,0.0039,0.0056,0.0198,0.0211,0.036
total-current-liabilities,34.613,33.836,22.137,14.398,16.674,14.182,14.69,9.595,8.529,8.86,5.503,4.968,3.194,4.606,1.83,1.63,2.855,1.8662,1.9107,1.662,1.2587,1.1565,1.1095,2.2699,3.5091,3.3691,12.307,11.3489,16.6103,16.684,17.3353,13.3494,9.1293,1.8701,0.7711,0.8229,0.5722,0.0158,0.0352,0.0231,0.0136,0.011,0.0083,0.0033,0.0032,0.002,0.0018
long-term-debt,6.017,4.613,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
