,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
cash-on-hand,,,,,,,,,,,
total-current-assets,520.075,154.341,168.699,181.609,197.185,67.133,,,,,
net-property-plant-equipment,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,6.645,6.71,6.779,0.802,0.952,3.716,,,,,
total-long-term-assets,15.072,15.444,15.81,9.65,8.576,7.092,,,,,
total-assets,535.147,169.785,184.509,191.259,205.761,74.225,0.0,0.0,0.0,0.0,0.0
total-current-liabilities,,,,,,,,,,,
other-non-current-liabilities,8.223,8.326,8.388,2.009,1.731,1.468,,,,,
total-long-term-liabilities,8.223,8.326,8.388,2.009,1.731,1.468,,,,,
total-liabilities,20.721,17.635,16.62,7.265,9.806,6.478,0.0,,0.0,0.0,0.0
common-stock-net,0.048,0.043,0.043,0.042,0.042,0.003,0.0,,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-164.869,-143.137,-124.065,-104.112,-89.584,-78.436,,,,,
comprehensive-income,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,514.426,152.15,167.889,183.994,195.955,67.747,0.0,,0.0,0.0,0.0
total-liabilities-share-holders-equity,535.147,169.785,184.509,191.259,205.761,74.225,0.0,,0.0,0.0,0.0
