,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,0.0008,,,,,
total-current-assets,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,0.693,0.759,0.823,0.029,,,,,0.0393,0.0393,0.0393,0.0393,0.08,0.08,0.08,0.08,0.08,,,0.0008,,,,0.0008
total-long-term-assets,0.866,0.849,0.943,0.179,0.18,0.21,0.24,0.27,0.3144,0.0569,0.4787,0.5609,0.6944,0.2388,0.5954,0.2375,0.08,,2.4081,2.2695,,,,0.0008
total-assets,290.122,294.493,300.08,302.312,306.796,144.468,78.971,22.121,11.8394,14.3209,15.1526,14.5357,16.3177,18.549,12.7569,15.4391,19.0123,22.2697,2.7693,3.0431,0.0,0.0,0.0,0.18
total-current-liabilities,6.192,5.626,4.918,4.55,4.743,4.105,6.339,8.657,9.6135,7.727,3.3822,6.4765,6.0777,5.7389,1.9181,1.9768,5.7226,4.8761,27.7087,22.5171,,,,0.12
long-term-debt,0.438,0.513,0.588,,,,,,,,3.713,,,,3.1399,2.1515,,,1.43,1.2641,,,,0.23
other-non-current-liabilities,,,,,,,,,,,0.5005,,,,1.9016,2.5545,,,1.4697,1.3905,,,,0.07
total-long-term-liabilities,0.438,0.513,0.588,0.012,,,,,,0.0061,4.2244,0.0163,0.0205,0.0246,5.069,4.7373,0.0191,,2.8997,2.6546,,,,0.3
total-liabilities,6.63,6.139,5.506,4.562,4.743,4.105,6.339,8.657,9.6135,7.733,7.6065,6.4928,6.0982,5.7635,6.9872,6.7141,5.7417,4.8761,30.6084,25.1717,0.0,0.0,0.0,0.43
common-stock-net,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-121.247,-115.516,-107.842,-102.918,-97.678,-91.078,-84.406,-80.855,-76.7705,-70.6708,-65.4992,-60.2773,-56.6327,-52.8252,-49.1324,-45.5454,-40.4545,-35.7179,-27.8529,-22.1415,,,,-0.25
comprehensive-income,0.157,0.239,-0.049,-0.423,-0.117,-0.147,-0.109,-0.02,-0.0036,-0.006,-0.0075,-0.0069,-0.0061,-0.0068,-0.0002,-0.0074,-0.0048,-0.0125,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-0.0045
total-share-holder-equity,283.492,288.354,294.574,297.75,302.053,140.363,72.632,13.464,2.226,6.5879,7.5461,8.0429,10.2195,12.7855,5.7697,8.725,13.2706,17.3935,-27.839,-22.1285,0.0,0.0,0.0,-0.25
total-liabilities-share-holders-equity,290.122,294.493,300.08,302.312,306.796,144.468,78.971,22.121,11.8394,14.3209,15.1526,14.5357,16.3177,18.549,12.7569,15.4391,19.0123,22.2697,2.7693,3.0431,0.0,0.0,0.0,0.18
