,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,71.108,68.999,60.707,52.956,43.435,46.156,46.384,43.245,41.344,39.658,37.653,34.051,32.351,33.291,25.369,19.451,30.018,30.781,30.692,30.037,37.612,33.098,36.988,28.669,24.868,28.13,22.83,26.525,30.3,48.355,16.992,3.909,4.297,4.736,5.017,5.046,4.476,4.429,3.522,3.426,4.532,4.193,4.43,4.294,6.264,6.219,2.2,2.213,3.231,3.216,,,,
other-current-assets,81.401,75.367,62.985,67.572,54.31,133.667,62.868,76.686,49.12,36.448,27.052,29.31,24.517,26.244,22.431,19.047,18.969,21.985,21.522,54.155,18.362,18.468,23.747,33.843,18.551,19.716,21.395,19.113,69.488,13.508,4.073,1.26,0.532,0.382,0.402,0.279,0.962,0.788,0.992,0.979,0.261,0.062,2.106,2.876,0.736,0.376,1.346,0.381,1.574,0.547,,,,
total-current-assets,1520.556,1370.066,1305.617,1234.005,1464.389,1306.931,1126.321,968.277,830.944,662.504,752.853,748.069,744.229,1230.89,1270.618,1257.667,1314.943,1244.91,1102.935,1015.845,878.52,544.912,517.32,864.617,810.067,734.176,647.372,551.572,385.012,300.442,327.14,199.131,152.14,136.088,94.84,74.458,44.797,32.083,38.742,36.954,29.144,32.725,33.544,43.999,69.704,70.196,119.245,116.091,144.978,161.155,,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,3499.755,3612.931,3599.365,3658.964,3719.703,3778.77,3913.655,3926.664,3960.463,3959.393,3898.07,3905.811,4038.432,1962.606,2019.151,1842.745,1939.806,1946.97,1938.778,2140.148,2275.012,2440.318,2519.624,1262.852,1270.547,1261.99,1271.358,1312.552,1314.611,1373.645,565.809,52.798,54.66,56.522,58.384,60.246,62.108,63.97,66.015,68.071,70.128,72.185,74.007,70.739,103.876,109.287,113.132,74.253,96.877,99.165,,,,
other-long-term-assets,186.152,185.581,188.101,42.696,56.003,23.404,22.985,16.419,16.42,16.638,17.625,14.06,37.764,37.005,29.543,9.271,25.393,22.498,19.189,15.931,13.482,11.135,9.296,7.304,6.391,5.502,4.546,3.662,20.405,19.226,0.385,0.087,0.083,0.152,0.302,0.335,0.371,0.31,1.04,1.247,1.456,1.886,0.246,0.246,2.505,2.848,2.766,13.269,13.626,13.525,,,,
total-long-term-assets,4007.294,4118.595,3974.618,3969.486,4021.399,4042.036,4160.807,4155.395,4168.08,4141.521,4062.971,4052.158,4186.352,2217.204,2264.361,2074.945,2149.357,2148.364,2134.658,2323.11,2469.016,2610.837,2679.114,1373.604,1375.432,1359.704,1362.318,1414.921,1341.687,1397.502,568.22,54.442,55.673,57.321,59.338,61.271,63.195,65.181,67.964,70.442,73.028,75.849,76.393,73.499,110.089,116.395,119.773,91.463,113.789,115.715,,,,
total-assets,5527.85,5488.661,5280.235,5203.491,5485.788,5348.967,5287.128,5123.672,4999.024,4804.024,4815.824,4800.227,4930.581,3448.094,3534.979,3332.612,3464.3,3393.274,3237.593,3338.955,3347.536,3155.749,3196.434,2238.221,2185.499,2093.88,2009.69,1966.493,1726.699,1697.944,895.36,253.573,207.813,193.409,154.178,135.729,107.992,97.264,106.706,107.396,102.172,108.574,109.937,117.498,179.793,186.591,239.018,207.554,258.767,276.87,0.0,0.0,0.0,0.0
total-current-liabilities,390.439,369.493,413.999,345.487,341.287,347.95,375.619,293.947,268.177,250.393,392.773,257.406,232.859,226.721,398.831,226.642,340.192,225.164,220.582,216.801,223.743,197.768,238.009,204.028,203.359,184.346,243.725,191.538,178.572,192.318,104.584,52.87,57.535,81.317,61.441,59.936,58.1,56.284,69.911,59.241,38.11,50.208,168.53,173.491,66.44,70.303,74.722,36.856,31.36,31.627,,,,
long-term-debt,1724.215,1724.131,1719.343,1563.025,1560.582,1558.314,1537.044,1540.433,1543.819,1635.8,1739.594,1993.531,2147.379,1141.652,1146.433,1150.857,1172.103,1337.986,1334.661,1333.0,1331.34,1186.96,1189.096,544.404,545.564,546.724,418.506,427.073,435.631,444.19,,,,,20.569,24.629,28.67,32.694,79.818,91.107,115.363,114.845,,,113.614,113.704,113.367,75.116,74.862,74.622,,,,
other-non-current-liabilities,102.583,120.713,111.897,218.879,208.647,205.731,192.181,176.608,158.497,144.69,128.809,112.617,106.101,94.196,79.207,69.253,59.666,52.664,45.122,38.393,33.596,29.175,25.395,20.04,16.747,13.33,9.817,41.421,38.361,36.915,1.314,,0.75,2.0,3.25,11.478,12.603,14.892,16.017,19.658,20.658,21.658,22.658,25.555,26.304,26.304,26.304,28.122,28.103,28.055,,,,
total-long-term-liabilities,2083.006,2135.734,2135.789,2100.582,2117.184,2131.265,2124.938,2116.628,2261.55,2352.599,2439.065,2665.482,2981.719,1528.915,1528.708,1507.324,1560.631,1721.287,1711.681,1750.946,1783.18,1677.894,1691.917,738.659,738.439,734.0811,604.0651,653.663,662.04,674.1669,8.944,7.915,8.949,10.496,32.664,45.242,50.697,57.281,105.793,120.985,146.504,147.264,33.703,36.885,151.532,151.907,151.854,115.706,115.717,116.166,,,,
