,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
revenue,13.149,9.493,0.155,0.206,0.239,19.891,10.0,1.534,,0.003,0.068,0.047,0.048,0.059,,0.025,0.075,0.15,,0.016,0.021,0.021,0.171,0.021,,0.133,0.233,,0.034,,
cost-goods-sold,1.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,12.136,9.493,0.155,0.206,0.239,19.891,10.0,1.534,,0.003,0.068,0.047,0.048,0.059,,0.025,0.075,0.15,,0.016,0.021,0.021,0.171,0.021,,0.133,0.233,,0.034,,
research-development-expenses,26.27,26.517,37.974,38.89,36.427,44.734,41.321,34.833,25.237,23.12,24.083,20.671,19.893,24.579,21.795,24.064,25.923,27.006,20.751,20.038,15.951,13.159,10.979,9.689,7.738,6.06,4.965,,2.997,0.0,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,52.55,51.179,65.077,57.661,49.393,54.223,48.942,40.986,31.055,29.755,30.347,27.212,25.79,30.535,27.349,29.328,30.685,33.163,26.15,25.958,19.765,16.469,13.883,12.169,9.321,7.003,5.844,,3.669,,
operating-income,-39.401,-41.686,-64.922,-57.455,-49.154,-34.332,-38.942,-39.452,-31.055,-29.752,-30.279,-27.165,-25.742,-30.476,-27.349,-29.303,-30.61,-33.013,-26.15,-25.942,-19.744,-16.448,-13.712,-12.148,-9.321,-6.87,-5.611,,-3.635,,
total-non-operating-income-expense,-1.946,-1.721,-1.229,-0.738,1.085,0.66,0.495,0.421,0.428,0.383,0.385,0.369,0.317,0.318,0.29,0.257,0.237,0.318,0.083,0.014,0.02,0.017,0.018,0.002,,0.001,,,,,
pre-tax-income,-41.347,-43.407,-66.151,-58.193,-48.069,-33.672,-38.447,-39.031,-30.627,-29.369,-29.894,-26.796,-25.425,-30.158,-27.059,-29.046,-30.373,-32.695,-26.067,-25.928,-19.724,-16.431,-13.694,-12.146,-9.321,-6.869,-5.611,,-3.635,0.0,
total-provision-income-taxes,0.02,0.008,0.01,0.017,0.014,-0.017,0.012,0.009,0.013,0.018,0.023,,,,,,,,,,,,,,,,,,,0.0,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
net-income,-41.367,-43.415,-66.161,-58.21,-48.083,-33.655,-38.459,-39.04,-30.64,-29.387,-29.917,-26.935,-25.425,-30.158,-27.059,-29.046,-30.373,-32.695,-26.067,-25.928,-19.724,-16.431,-13.694,-12.146,-9.321,-6.869,-5.611,,-3.635,,
ebitda,-37.627,-40.101,-63.495,-56.092,-48.956,-34.038,-38.613,-38.994,-30.568,-29.247,-29.829,-26.625,-25.319,-30.016,-26.856,-28.691,-29.918,-32.272,-25.783,-25.808,-19.638,-16.406,-13.669,-12.11,-9.284,-6.835,-5.577,,-3.601,,
ebit,-39.401,-41.686,-64.922,-57.455,-49.154,-34.332,-38.942,-39.452,-31.055,-29.752,-30.279,-27.165,-25.742,-30.476,-27.349,-29.303,-30.61,-33.013,-26.15,-25.942,-19.744,-16.448,-13.712,-12.148,-9.321,-6.87,-5.611,,-3.635,,
basic-shares-outstanding,62.093,60.929,60.856,56.8,60.587,56.089,49.603,45.9,47.141,45.831,41.895,37.523,36.819,35.956,35.879,35.62,35.709,35.697,35.317,31.136,32.559,29.659,29.607,6.068,2.545,2.404,2.226,,1.847,,
shares-outstanding,62.093,60.929,60.856,56.8,60.587,56.089,49.603,45.9,47.141,45.831,41.895,37.523,36.819,35.956,35.879,35.62,35.709,35.697,35.317,31.136,32.559,29.659,29.607,6.068,2.545,2.404,2.226,,1.847,,
eps-basic-net-earnings-per-share,-0.67,-0.71,-1.09,-0.97,-0.79,-0.6,-0.78,-0.81,-0.65,-0.64,-0.71,-0.64,-0.69,-0.84,-0.75,-0.81,-0.85,-0.92,-0.74,-0.81,-0.61,-0.55,-0.46,3.45,-3.66,-2.86,-2.52,,-1.97,,
eps-earnings-per-share-diluted,-0.67,-0.71,-1.09,-0.97,-0.79,-0.6,-0.78,-0.81,-0.65,-0.64,-0.71,-0.64,-0.69,-0.84,-0.75,-0.81,-0.85,-0.92,-0.74,-0.81,-0.61,-0.55,-0.46,3.45,-3.66,-2.86,-2.52,0.0,-1.97,0.0,0.0
