,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31
revenue,378.283,404.642,446.12,497.5279,476.487,413.787,275.189,334.647,254.733,259.871,184.403,392.218,227.909,172.59,225.508,282.092,221.099,214.182,143.096,131.211,157.999,188.121,118.718,100.741,132.641,129.631,148.489,141.077,145.587,166.46,128.568,158.559,119.849,125.86,108.651,99.102,303.992,153.082,323.333,176.134,64.946,58.416,58.913,44.695,36.774,78.672,49.93
cost-goods-sold,323.849,299.393,363.04,304.1201,276.382,235.492,130.594,92.106,119.72,136.138,159.512,-195.089,393.335,99.606,122.918,167.322,127.55,129.331,83.862,70.39,73.561,78.349,61.096,66.541,84.299,70.744,90.618,76.926,67.56,88.637,66.015,81.157,57.195,66.158,50.114,48.657,143.121,68.892,79.576,88.724,28.055,27.284,26.25,25.591,22.296,20.704,23.378
gross-profit,54.434,105.249,83.08,193.4079,200.105,178.295,144.595,242.541,135.013,123.733,24.891,587.3069,-165.426,72.984,102.59,114.77,93.549,84.851,59.234,60.821,84.438,109.772,57.622,34.2,48.342,58.887,57.871,64.151,78.027,77.823,62.553,77.402,62.654,59.702,58.537,50.445,160.871,84.19,243.757,87.41,36.891,31.132,32.663,19.104,14.478,57.968,26.552
research-development-expenses,38.125,48.016,53.858,57.297,42.349,50.335,44.209,60.424,41.323,47.184,22.489,119.082,20.115,20.8,19.022,20.034,18.631,16.995,14.962,16.893,18.756,21.252,21.741,17.638,16.071,15.54,19.605,22.623,20.012,19.869,18.816,20.394,18.839,23.978,19.49,22.959,23.846,21.109,18.309,16.53,15.243,15.712,15.789,15.931,16.188,13.779,13.339
selling-general-administrative-expenses,63.797,67.281,84.436,73.825,75.486,56.003,25.121,7.613,27.44,26.938,47.055,-25.487,55.038,44.908,44.298,56.511,46.307,48.309,50.16,42.208,38.888,32.817,25.477,29.328,27.968,33.275,29.717,33.44,28.927,24.87,21.233,20.071,16.318,15.509,16.579,16.194,12.632,12.018,12.485,9.785,9.02,9.42,11.485,11.454,14.542,12.112,10.362
other-operating-income-expenses,-17.336,-6.03,-10.198,233.294,-6.99,-208.554,-11.711,-4.322,19.196,-5.008,-1.072,-8.201,-3.279,-1.929,-1.319,-1.061,-1.052,-1.494,-0.96,-0.572,-1.293,-1.767,-2.173,-3.466,-4.497,-4.304,-4.278,-3.191,0.371,-2.914,-4.038,-1.409,-2.114,-2.209,-1.774,-1.599,-1.033,-1.769,-1.984,-8.966,-2.465,-2.013,-1.254,-1.645,-1.876,-1.25,-1.701
operating-expenses,490.557,423.555,540.48,474.248,401.932,594.849,211.635,161.096,175.98,215.268,236.207,-122.9389,500.537,168.189,187.557,251.288,193.54,196.129,149.944,130.063,132.498,134.185,110.487,116.973,132.835,123.863,144.218,136.18,116.128,136.29,110.102,123.031,94.466,107.854,87.957,89.409,180.632,103.788,112.354,124.005,54.783,54.429,54.778,54.621,54.902,47.845,48.78
operating-income,-112.274,-18.913,-94.36,23.2799,74.555,-181.062,63.554,173.551,78.753,44.603,-51.804,515.1569,-272.628,4.401,37.951,30.804,27.559,18.053,-6.848,1.148,25.501,53.936,8.231,-16.232,-0.194,5.768,4.271,4.897,29.459,30.17,18.466,35.5281,25.383,18.006,20.694,9.693,123.36,49.294,210.979,52.129,10.163,3.987,4.135,-9.926,-18.128,30.827,1.15
total-non-operating-income-expense,138.55,-37.314,-38.82,-38.086,-51.981,-81.444,-11.538,-0.682,-52.369,-5.003,-15.726,4.976,-11.24,-8.351,-55.445,-17.515,33.773,-22.601,-3.857,0.502,0.353,0.489,0.399,0.397,0.214,3.267,149.449,0.174,0.213,-0.236,0.168,-1.826,0.284,-0.266,0.308,0.116,0.276,0.144,0.018,0.611,-0.011,0.054,-0.09,23.155,-0.252,-0.695,-0.122
pre-tax-income,26.276,-56.227,-133.18,-14.806,22.574,-262.506,52.016,172.869,26.384,39.6,-67.53,520.1331,-283.868,-3.95,-17.494,13.289,61.332,-4.548,-10.705,1.65,25.854,54.425,8.63,-15.835,0.02,9.035,153.72,5.071,29.672,29.934,18.634,33.702,25.667,17.74,21.002,9.809,123.636,49.438,210.997,52.74,10.152,4.041,4.045,13.229,-18.38,30.132,1.028
total-provision-income-taxes,389.668,-5.701,-8.428,5.524,5.109,-12.416,0.364,-30.017,-0.738,1.852,30.901,118.261,-104.531,-1.249,-7.086,1.862,25.577,-2.696,-4.372,1.53,10.117,19.354,2.205,-6.213,0.2,3.416,48.278,0.272,9.635,11.262,6.269,11.772,8.486,5.214,7.144,-2.594,48.501,18.13,79.484,14.633,3.495,1.043,1.836,4.307,-7.85,13.044,0.568
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-265.006,-16.902,-47.881,-8.651,6.952,-19.104,-0.117,,0.0,0.0,-98.431,192.446,-179.337,-2.701,-10.408,11.427,35.755,-1.852,-6.333,0.12,15.737,35.071,6.425,-9.622,-0.18,5.619,105.442,4.799,20.037,18.672,12.365,21.862,17.22,12.55,13.863,12.422,75.163,31.348,131.485,38.144,6.685,3.013,2.219,8.969,-10.53,17.088,0.46
ebitda,-57.285,33.41,-7.498,72.4119,119.211,-147.509,79.475,187.083,92.143,42.451,-26.053,488.1269,-245.946,25.1,53.671,50.777,46.437,37.397,3.594,10.623,33.749,62.224,16.246,-10.708,6.109,17.55,16.668,68.452,31.822,49.464,22.857,39.9521,29.403,23.564,25.513,15.178,223.679,57.592,218.199,50.367,28.668,13.029,14.495,1.606,-7.13,43.336,15.879
ebit,-112.274,-18.913,-94.36,23.2799,74.555,-181.062,63.554,173.551,78.753,44.603,-51.804,515.1569,-272.628,4.401,37.951,30.804,27.559,18.053,-6.848,1.148,25.501,53.936,8.231,-16.232,-0.194,5.768,4.271,4.897,29.459,30.17,18.466,35.528,25.383,18.006,20.694,9.693,123.36,49.294,210.979,52.129,10.163,3.987,4.135,-9.926,-18.128,30.827,1.15
basic-shares-outstanding,130.729,128.016,127.687,127.252,127.247,127.112,,,,,71.594,,71.331,71.1,70.665,69.64,69.82,69.339,68.968,68.186,68.254,68.095,67.702,66.921,67.051,66.749,66.487,65.66,65.798,65.483,65.122,64.127,64.387,64.024,63.3905,62.808,62.435,61.877,61.008,60.722,60.559,60.112,59.711,59.073,59.166,58.979,58.834
shares-outstanding,130.729,128.016,127.687,127.252,128.222,127.112,,,,,71.594,,71.331,71.1,70.665,72.027,72.778,69.339,68.968,70.53,70.715,70.313,69.939,68.655,67.051,68.288,68.178,68.405,68.367,67.955,67.907,67.32,66.987,67.654,67.0443,66.21,65.47,65.539,63.866,62.288,61.248,60.552,60.222,60.783,59.166,60.585,61.127
