,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,5.715,5.9,7.891,9.7,,12.0,,,,10.0,,0.478,6.584,0.473,0.472,0.555,0.358,0.736,0.911,10.349,8.177,9.494,13.391,36.317,8.444,14.839,8.882,,15.331,15.342,
research-development-expenses,26.579,40.907,26.896,21.838,27.027,31.346,25.622,28.933,28.741,27.292,24.695,28.383,23.888,21.45,17.74,16.819,16.788,20.551,57.051,20.505,22.244,17.499,15.347,15.685,14.584,13.937,13.361,,9.258,8.899,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,43.668,56.605,38.882,34.008,38.555,42.26,34.982,37.364,38.052,38.462,32.964,35.963,31.41,28.874,23.586,22.836,23.464,26.521,62.288,25.44,27.913,22.805,20.303,20.063,18.171,17.016,16.359,,10.888,10.537,
operating-income,-37.953,-50.705,-30.991,-24.308,-38.555,-30.26,-34.982,-37.364,-38.052,-28.462,-32.964,-35.485,-24.826,-28.401,-23.114,-22.281,-23.106,-25.785,-61.377,-15.091,-19.736,-13.311,-6.912,16.254,-9.727,-2.177,-7.477,,4.443,4.805,
total-non-operating-income-expense,1.864,2.24,1.652,1.42,1.063,1.132,0.917,0.862,0.455,0.438,0.442,0.469,0.49,0.42,0.235,0.055,0.041,0.026,0.051,0.047,0.041,0.038,0.028,0.025,0.023,-0.035,-0.02,,0.005,0.051,
pre-tax-income,-36.089,-48.465,-29.339,-22.888,-37.492,-29.128,-34.065,-36.502,-37.597,-28.024,-32.522,-35.016,-24.336,-27.981,-22.879,-22.226,-23.065,-25.759,-61.326,-15.044,-19.695,-13.273,-6.884,16.279,-9.704,-2.212,-7.497,,4.448,4.856,
total-provision-income-taxes,,,,,,,,,,,,,,,,,,,,-0.009,0.005,0.113,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-36.089,-48.465,-29.339,-22.945,-37.492,-29.128,-34.065,-36.166,-37.597,-28.024,-32.522,-35.016,-24.336,-27.981,-22.879,-22.226,-23.065,-25.759,-61.326,-15.035,-19.7,-13.386,-6.884,15.93,-9.704,-2.319,-7.654,,0.317,0.346,
ebitda,-38.691,-51.565,-31.474,-24.572,-38.812,-30.498,-34.727,-36.535,-37.732,-28.1,-32.571,-35.084,-24.453,-28.026,-22.725,-21.92,-22.701,-25.392,-61.117,-14.897,-19.55,-13.118,-6.743,16.423,-9.556,-1.993,-7.298,,4.591,4.805,
ebit,-37.953,-50.705,-30.991,-24.308,-38.555,-30.26,-34.982,-37.364,-38.052,-28.462,-32.964,-35.485,-24.826,-28.401,-23.114,-22.281,-23.106,-25.785,-61.377,-15.091,-19.736,-13.311,-6.912,16.254,-9.727,-2.177,-7.477,,4.443,4.805,
basic-shares-outstanding,91.044,90.876,82.424,71.864,69.539,69.49,69.386,61.471,59.899,58.377,58.219,57.126,57.97,57.352,55.149,39.839,41.461,41.087,34.992,33.027,33.676,33.156,30.959,17.049,28.406,9.146,1.791,,1.651,1.636,
shares-outstanding,91.044,90.876,82.424,71.864,69.539,69.49,69.386,61.471,59.899,58.377,58.219,57.126,57.97,57.352,55.149,39.839,41.461,41.087,34.992,33.027,33.676,33.156,30.959,17.049,28.406,9.146,1.791,,3.017,2.913,
eps-basic-net-earnings-per-share,-0.4,-0.53,-0.39,-0.27,-0.54,-0.42,-0.49,-0.51,-0.63,-0.48,-0.56,-0.61,-0.42,-0.49,-0.41,-0.38,-0.56,-0.63,-1.75,-0.47,-0.58,-0.4,-0.22,4.64,-0.34,-0.25,-4.27,,0.19,0.21,
eps-earnings-per-share-diluted,-0.4,-0.53,-0.39,-0.27,-0.54,-0.42,-0.49,-0.51,-0.63,-0.48,-0.56,-0.61,-0.42,-0.49,-0.41,-0.38,-0.56,-0.63,-1.75,-0.47,-0.58,-0.4,-0.22,4.64,-0.34,-0.25,-4.27,0.0,0.18,0.2,0.0
