,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,,,,,,0.206,,,0.1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research-development-expenses,3.1185,3.1524,2.8327,118.6941,1.8773,1.8268,1.5996,1.4359,1.6233,1.2027,0.9891,0.4568,1.1093,1.2482,0.9858,-0.0681,0.9688,0.2012,0.6094,0.1115,0.0325,0.0225,0.0225,0.4789,0.03,0.0544,0.1344,0.6251,0.0711,0.2458,0.1155,-0.2032,0.298,0.0575,0.0514,0.0467,0.0935,0.1066,0.0433,0.0641,0.0251,-0.0205,0.0244,0.1109,0.0009,0.0088,0.0618,0.1036,0.1755,0.0579,0.0885
selling-general-administrative-expenses,2.5362,2.7211,2.8058,17.1778,2.5511,3.053,1.5979,1.2445,2.5493,1.1905,1.4278,1.1345,1.6123,1.1774,0.768,2.3229,0.7692,0.9369,0.4188,0.1782,1.3512,0.4884,1.1641,1.517,0.0705,0.1041,0.2751,0.1662,0.378,2.5081,0.2758,0.4196,0.3316,0.2642,0.1625,-0.0236,0.1028,0.3025,0.8797,0.5094,0.0403,0.0182,0.0233,0.0547,0.0126,0.134,0.0659,0.2241,0.1275,0.1754,0.0203
other-operating-income-expenses,,,,,,,,,,,,,,,,,,,,,,,,,-0.0577,-0.0364,-0.03,-0.063,-0.0573,-0.0625,,-0.06,-0.0438,-0.025,-0.0505,-0.0215,-0.028,-0.0267,-0.012,-0.2324,-0.0865,-0.1934,-0.04,-0.0705,-0.0142,-0.1134,-0.0352,-0.1052,-0.0073,-0.0034,-0.0559
operating-expenses,5.6547,5.8736,5.6385,135.872,4.4284,4.8798,3.1975,2.6804,4.1726,2.3932,2.4169,1.5913,2.7216,2.4256,1.7537,2.2548,1.738,1.138,1.0282,0.2897,1.3837,0.5109,1.1866,1.8718,0.1581,0.1948,0.4395,0.8544,0.5063,2.8164,0.3913,0.2764,0.6734,0.3467,0.2644,0.0446,0.2244,0.4358,0.9349,0.8059,0.1519,0.193,0.0896,0.2379,0.0296,0.2582,0.1647,0.226,0.3129,0.2378,0.1652
operating-income,-5.6547,-5.8736,-5.6385,-135.872,-4.4284,-4.6738,-3.1975,-2.6804,-3.9895,-2.3932,-2.4169,-1.5913,-2.7216,-2.4256,-1.7537,-2.2548,-1.738,-1.138,-1.0282,-0.2897,-1.3837,-0.5109,-1.1866,-1.8718,-0.1581,-0.1948,-0.4395,-0.8544,-0.5063,-2.8164,-0.3913,-0.2764,-0.6734,-0.3467,-0.2644,-0.0446,-0.2244,-0.4358,-0.9349,-0.8059,-0.1519,-0.193,-0.0896,-0.2379,-0.0296,-0.2582,-0.1647,-0.226,-0.3129,-0.2378,-0.1652
total-non-operating-income-expense,0.1952,0.3032,0.3195,0.3117,0.04,-0.139,0.001,-0.003,0.004,0.4999,-0.003,0.0145,0.6187,8.3997,-2.996,0.6021,30.2413,-59.0783,0.3274,-0.0718,-0.1841,1.2644,-28.5206,-1.3821,-0.8082,-0.676,-0.0019,-1.2008,-0.2618,0.0664,-0.2073,0.7637,-0.1709,-0.0577,-1.0033,0.4996,-0.7897,-0.9037,-0.6992,-3.2945,-0.639,0.3079,-0.3628,-0.2535,-0.2376,-0.5024,-0.5121,-0.7815,-0.2378,-0.5738,-1.2528
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-5.4595,-5.5704,-5.3189,-135.5602,-4.3884,-4.8128,-3.1965,-2.6834,-3.9855,-1.8934,-2.4199,-1.5768,-2.103,5.9741,-4.7497,-1.6527,28.5033,-60.2163,-0.7007,-0.3615,-1.5678,0.7535,-29.7072,-3.2539,-0.9664,-0.8708,-0.4414,-2.0552,-0.7681,-2.75,-0.5986,0.4874,-0.8443,-0.4044,-1.2676,0.455,-1.014,-1.3395,-1.6341,-4.1004,-0.7909,0.115,-0.4524,-0.4914,-0.2671,-0.7606,-0.6768,-1.111,-0.5507,-0.8116,-1.4181
ebitda,-5.5779,-5.7993,-5.5837,-135.872,-4.4284,-4.6738,-3.1975,-2.6804,-3.9895,-2.3932,-2.4169,-1.5913,-2.7216,-2.4256,-1.7537,-2.2548,-1.738,-1.138,-1.0282,-0.2897,-1.3837,-0.5109,-1.1866,-1.8718,-0.1581,-0.1948,-0.4395,-0.8544,-0.5063,-2.8164,-0.3913,-0.2764,-0.6734,-0.3467,-0.2644,-0.0446,-0.2244,-0.4358,-0.9349,-0.8059,-0.1518,-0.1911,-0.0877,-0.236,-0.0277,-0.2563,-0.1628,-0.2241,-0.3103,-0.2368,-0.1647
