,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
eps-earnings-per-share-diluted,-0.79,-0.89,-1.08,-1.04,-0.99,-0.98,-0.82,-0.7,-0.5,-0.39,-0.26,-0.15,-0.82,-0.47,0.0
research-development-expenses,50.803,51.117,59.019,58.434,53.813,51.341,40.079,34.875,24.17,17.708,19.016,6.158,3.753,14.573,
selling-general-administrative-expenses,,,,,,,,,,,,,,,
operating-expenses,67.406,65.269,71.5,69.12,64.123,60.083,47.347,41.515,30.311,21.89,22.946,9.056,6.72,17.135,
operating-income,-67.406,-65.269,-71.5,-69.12,-64.123,-60.083,-47.347,-41.515,-30.311,-21.89,-22.946,-9.056,-6.72,-17.135,
total-non-operating-income-expense,-2.967,-2.322,-3.271,-1.513,-1.559,-1.906,-1.3,-0.475,0.138,-0.342,1.157,1.002,-27.984,-1.832,
pre-tax-income,-70.373,-67.591,-74.771,-70.633,-65.682,-61.989,-48.647,-41.99,-30.173,-22.232,-21.789,-8.054,-34.704,-18.967,
total-provision-income-taxes,0.195,0.313,0.243,,0.088,0.145,-0.394,-0.213,-0.265,1.085,-0.114,0.029,0.008,0.003,
income-after-taxes,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,
net-income,-70.568,-67.904,-75.014,-70.633,-65.77,-62.134,-48.253,-41.777,-29.908,-23.317,-21.675,-8.083,-34.712,-18.97,
ebitda,-66.496,-64.358,-70.654,-68.571,-63.594,-59.485,-46.999,-41.062,-30.257,-21.84,-22.894,-9.048,-6.72,-17.135,
ebit,-67.406,-65.269,-71.5,-69.12,-64.123,-60.083,-47.347,-41.515,-30.311,-21.89,-22.946,-9.056,-6.72,-17.135,
basic-shares-outstanding,88.798,76.468,66.91,67.616,66.667,63.31,59.521,59.629,59.46,59.247,49.185,54.447,42.512,40.772,
shares-outstanding,88.798,76.468,66.91,67.616,66.667,63.31,59.521,59.629,59.46,59.247,49.185,54.447,42.512,40.772,
eps-basic-net-earnings-per-share,-0.79,-0.89,-1.08,-1.04,-0.99,-0.98,-0.82,-0.7,-0.5,-0.39,-0.26,-0.15,-0.82,-0.47,
