,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31
revenue,8479.0,8255.0,7828.0,8305.0,8236.0,8278.0,7934.0,7739.0,6995.0,6944.0,6538.0,6796.0,6432.0,6452.0,5958.0,6400.0,5944.0,5475.0,5040.0,5452.0,5019.0,4926.0,4563.0,5111.0,4658.0,4692.0,4329.0,5206.0,4508.0,4493.0,4173.0,4864.0,4409.0,4274.0,3896.762,,
cost-goods-sold,1920.0,1819.0,1694.0,2022.0,1835.0,1934.0,1927.0,2281.0,1616.0,1529.0,1616.0,1554.0,1504.0,1405.0,1369.0,1475.0,1167.0,916.0,942.0,1119.0,1094.0,1113.0,1100.0,1282.0,1092.0,1054.0,1153.0,1265.0,1014.0,1073.0,1156.0,3431.69,,,1207.311,,
gross-profit,6559.0,6436.0,6134.0,6283.0,6401.0,6344.0,6007.0,5458.0,5379.0,5415.0,4922.0,5242.0,4928.0,5047.0,4589.0,4925.0,4777.0,4559.0,4098.0,4333.0,3925.0,3813.0,3463.0,3829.0,3566.0,3638.0,3176.0,3941.0,3494.0,3420.0,3017.0,1432.31,4409.0,4274.0,2689.451,,
research-development-expenses,2285.0,1291.0,1289.0,6495.0,1268.0,1322.0,1244.0,1408.0,1228.0,1229.0,1142.0,1209.0,1106.0,1124.0,946.0,1075.0,1418.0,981.0,811.0,879.0,812.0,834.0,772.0,798.0,714.0,709.0,634.0,681.0,813.0,642.0,642.0,2602.91,0.0,0.0,587.097,,
selling-general-administrative-expenses,1657.0,1654.0,1680.0,1929.0,1919.0,1760.0,1791.0,1956.0,1457.0,1509.0,1373.0,1679.0,1381.0,1466.0,1355.0,1737.0,1474.0,1703.0,1473.0,3341.0,1595.0,1448.0,1340.0,1448.0,1261.0,1406.0,1237.0,1411.0,1085.0,1246.0,1247.0,4716.09,,,1177.918,,
other-operating-income-expenses,,,,,,-500.0,,,,0.0,,,,,,,,,,-500.0,-250.0,,,,,,,,,,,,,,,,
operating-expenses,5862.0,4855.0,4818.0,10746.0,5077.0,5516.0,5031.0,5957.0,4301.0,4282.0,4131.0,4482.0,4071.0,4065.0,3680.0,4287.0,4059.0,3623.0,3353.0,5867.0,4059.0,3411.0,3212.0,3576.0,3287.0,3239.0,3024.0,3385.0,2912.0,3071.0,3195.0,10750.69,,,3072.326,,
operating-income,2617.0,3400.0,3010.0,-2441.0,3159.0,2762.0,2903.0,1782.0,2694.0,2662.0,2407.0,2314.0,2361.0,2387.0,2278.0,2113.0,1885.0,1852.0,1687.0,-415.0,960.0,1515.0,1351.0,1535.0,1371.0,1453.0,1305.0,1821.0,1596.0,1422.0,978.0,-5886.689,4409.0,4274.0,824.436,,
total-non-operating-income-expense,-616.0,-2593.0,-466.0,68.0,-398.0,-750.0,-106.0,-589.0,-599.0,-309.0,-321.0,-316.0,-347.0,-291.0,-502.0,-189.0,-238.0,-174.0,-291.0,-622.0,-273.0,-82.0,-65.0,-96.0,-85.0,-85.0,-66.0,-108.0,8.0,-20.0,28.0,14.12,,,33.886,,
pre-tax-income,2001.0,807.0,2544.0,-2373.0,2761.0,2012.0,2797.0,1193.0,2095.0,2353.0,2086.0,1998.0,2014.0,2096.0,1776.0,1924.0,1647.0,1678.0,1396.0,-1037.0,687.0,1433.0,1286.0,1439.0,1286.0,1368.0,1239.0,1713.0,1604.0,1402.0,1006.0,2809.68,0.0,0.0,858.322,,
total-provision-income-taxes,117.0,66.0,88.0,-547.0,14.0,29.0,14.0,1141.0,464.0,438.0,375.0,607.0,416.0,486.0,422.0,407.0,408.0,312.0,374.0,-227.0,181.0,335.0,306.0,311.0,322.0,300.0,271.0,173.0,19.0,135.0,123.0,99.88,0.0,0.0,135.123,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
net-income,1884.0,741.0,2456.0,-1826.0,2747.0,1983.0,2783.0,52.0,1631.0,1915.0,1711.0,1391.0,1598.0,1610.0,1354.0,1517.0,1239.0,1366.0,1022.0,-810.0,506.0,1098.0,980.0,1128.0,964.0,1068.0,968.0,1540.0,1585.0,1267.0,883.0,1157.0,13.0,1540.0,723.199,,
ebitda,3120.0,3902.0,3513.0,-1999.0,3594.0,3205.0,3348.0,2151.0,3073.0,3041.0,2781.0,2642.0,2665.0,2676.0,2546.0,2374.0,2112.0,2042.0,1845.0,-222.0,1152.0,1717.0,1550.0,1735.0,1605.0,1689.0,1532.0,2130.0,1823.0,1717.0,1297.0,-5561.817,4724.233,4591.61,1138.911,,
ebit,2617.0,3400.0,3010.0,-2441.0,3159.0,2762.0,2903.0,1782.0,2694.0,2662.0,2407.0,2314.0,2361.0,2387.0,2278.0,2113.0,1885.0,1852.0,1687.0,-415.0,960.0,1515.0,1351.0,1535.0,1371.0,1453.0,1305.0,1821.0,1596.0,1422.0,978.0,-5886.689,4409.0,4274.0,824.436,,
basic-shares-outstanding,1481.0,1480.0,1480.0,1541.0,1511.0,1568.0,1591.0,1596.0,1597.0,1595.0,1597.0,1622.0,1632.0,1624.0,1616.0,1625.0,1652.0,1620.0,1595.0,1595.0,1595.0,1594.0,1595.0,1589.0,1590.0,1589.0,1588.0,1577.0,1577.0,1577.0,1577.0,1584.932,1300.0,1571.429,,,
shares-outstanding,1483.0,1484.0,1483.0,1546.0,1515.0,1572.0,1596.0,1603.0,1603.0,1600.0,1603.0,1631.0,1640.0,1632.0,1625.0,1637.0,1664.0,1633.0,1608.0,1610.0,1610.0,1608.0,1609.0,1604.0,1605.0,1609.0,1605.0,1577.0,1577.0,1577.0,1577.0,1584.932,1300.0,1571.429,,,
eps-basic-net-earnings-per-share,1.27,0.49,1.65,-1.14,1.81,1.26,1.74,0.02,1.02,1.2,1.07,0.86,0.97,0.99,0.83,0.92,0.75,0.84,0.64,-0.51,0.32,0.69,0.61,0.7,0.6,0.67,0.61,0.98,1.01,0.8,0.56,0.73,0.01,0.98,,,
eps-earnings-per-share-diluted,1.26,0.49,1.65,-1.15,1.81,1.26,1.74,0.04,1.01,1.19,1.06,0.85,0.97,0.98,0.83,0.93,0.74,0.83,0.63,-0.5,0.31,0.68,0.61,0.7,0.6,0.66,0.6,0.98,1.01,0.8,0.56,0.73,0.01,0.98,0.0,0.0,0.0
