,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,0.981,0.982,145.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research-development-expenses,48.281,42.788,46.308,49.473,41.551,39.524,40.94,33.439,40.056,38.248,35.86,24.881,13.498,9.698,9.791,7.956,7.247,7.209,7.39,6.2,7.174,6.528,5.4,7.338,3.483,3.1,2.093,,2.4564,2.3302,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,66.749,56.28,58.49,60.649,50.562,46.48,46.894,38.696,45.737,43.66,40.889,29.285,17.712,14.331,14.822,13.234,12.919,12.462,11.425,9.38,9.7,9.254,7.89,9.736,5.407,4.272,3.344,,2.9902,2.8639,
operating-income,-65.768,-55.298,86.929,-60.649,-50.562,-46.48,-46.894,-38.696,-45.737,-43.66,-40.889,-29.285,-17.712,-14.331,-14.822,-13.234,-12.919,-12.462,-11.425,-9.38,-9.7,-9.254,-7.89,-9.736,-5.407,-4.272,-3.344,,-2.9902,-2.8639,
total-non-operating-income-expense,-2.609,1.077,0.45,0.61,0.651,0.75,0.764,0.805,0.518,0.323,0.348,0.329,0.31,0.296,0.237,0.112,0.118,0.067,-0.041,-0.077,-0.106,0.016,0.016,0.046,0.169,-2.649,-0.895,,-0.361,-0.3023,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-68.377,-54.221,87.379,-60.039,-49.911,-45.73,-46.13,-37.891,-45.219,-43.337,-40.541,-28.956,-17.402,-14.035,-14.585,-13.122,-12.801,-12.395,-11.466,-9.457,-9.806,-9.238,-7.874,-9.69,-5.238,-6.921,-4.239,,-3.3513,-3.1662,
ebitda,-65.695,-55.289,86.925,-60.658,-50.572,-46.474,-46.833,-38.614,-45.612,-43.492,-40.672,-29.01,-17.365,-14.018,-14.491,-12.901,-12.632,-12.24,-11.323,-9.267,-9.579,-9.16,-7.825,-9.69,-5.383,-4.256,-2.834,,-2.9346,-2.8639,
ebit,-65.768,-55.298,86.929,-60.649,-50.562,-46.48,-46.894,-38.696,-45.737,-43.66,-40.889,-29.285,-17.712,-14.331,-14.822,-13.234,-12.919,-12.462,-11.425,-9.38,-9.7,-9.254,-7.89,-9.736,-5.407,-4.272,-3.344,,-2.9902,-2.8639,
basic-shares-outstanding,27.172,26.969,26.843,26.754,26.804,26.787,26.605,23.933,24.312,22.591,22.563,22.544,22.55,22.541,22.532,22.02,22.494,22.465,20.589,16.374,15.4326,15.399,15.369,7.8859,15.254,0.349,0.346,,0.325,0.319,
shares-outstanding,27.172,26.969,28.45,26.754,26.804,26.787,26.605,23.933,24.312,22.591,22.563,22.544,22.55,22.541,22.532,22.02,22.494,22.465,20.589,16.374,15.4326,15.399,15.369,7.8859,15.254,0.349,0.346,,0.325,0.319,
eps-basic-net-earnings-per-share,-2.52,-2.01,3.26,-2.24,-1.86,-1.71,-1.73,-1.4,-1.86,-1.92,-1.8,-1.29,-0.77,-0.62,-0.65,-0.58,-0.57,-0.55,-0.56,-0.47,-0.64,-0.6,-0.51,29.09,-0.34,-19.82,-12.24,,-10.31,-9.94,
eps-earnings-per-share-diluted,-2.52,-2.01,3.07,-2.24,-1.86,-1.71,-1.73,-1.4,-1.86,-1.92,-1.8,-1.29,-0.77,-0.62,-0.65,-0.58,-0.57,-0.55,-0.56,-0.47,-0.64,-0.6,-0.51,29.09,-0.34,-19.82,-12.24,0.0,-10.31,-9.94,0.0
