,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
revenue,,,,,,,,,,,,,,,,,,
gross-profit,3.0,,,,,,,,,,,0.0,,3.044,1.884,,1.096,
research-development-expenses,23.244,17.914,15.282,15.357,13.375,12.305,13.412,12.645,13.13,10.464,9.012,9.387,7.079,6.505,4.957,,4.027,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,
operating-expenses,29.216,22.847,20.089,19.159,16.879,16.126,16.724,15.322,15.414,12.812,11.481,10.993,8.121,7.59,6.248,,4.566,
operating-income,-26.216,-22.847,-20.089,-19.159,-16.879,-16.126,-16.724,-15.322,-15.414,-12.812,-11.481,-10.993,-8.121,-4.546,-4.364,,-3.47,
total-non-operating-income-expense,1.241,0.95,1.05,0.445,0.375,0.38,0.226,0.162,0.139,0.149,0.121,0.087,0.007,-0.26,-0.692,,-0.462,
pre-tax-income,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,
net-income,-24.975,-21.897,-19.039,-16.195,-16.504,-15.746,-16.498,-15.141,-15.275,-12.663,-11.36,-10.888,-8.114,-4.806,-5.056,,-2.259,
ebitda,-25.673,-22.314,-19.559,-18.748,-16.465,-15.74,-16.338,-14.919,-15.023,-12.428,-11.135,-10.72,-7.789,-4.148,-4.093,,-3.47,
ebit,-26.216,-22.847,-20.089,-16.659,-16.879,-16.126,-16.724,-15.322,-15.414,-12.812,-11.481,-10.993,-8.121,-4.546,-4.364,,-3.47,
basic-shares-outstanding,45.766,42.294,42.174,31.542,32.349,32.307,27.242,22.591,22.614,22.575,22.549,4.135,0.571,0.54,0.537,,0.4943,
shares-outstanding,45.766,42.294,42.174,31.542,32.349,32.307,27.242,22.591,22.614,22.575,22.549,4.135,0.571,0.54,0.537,,0.4943,
eps-basic-net-earnings-per-share,-0.55,-0.52,-0.45,-0.45,-0.51,-0.49,-0.61,-0.67,-0.68,-0.56,-0.5,25.56,-14.22,-8.9,-9.42,,-4.57,
eps-earnings-per-share-diluted,-0.55,-0.52,-0.45,-0.45,-0.51,-0.49,-0.61,-0.67,-0.68,-0.56,-0.5,25.56,-14.22,-8.9,-9.42,0.0,-4.57,0.0
