,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31
revenue,104.685,102.604,91.313,95.115,83.448,84.107,74.607,79.078,67.335,70.934,69.283,72.902,68.355,69.64,65.474,69.32,62.213,59.148,58.316,61.793,52.048,47.165,36.662,33.564,23.259,17.141,11.587,10.45,8.486,12.344,7.804,4.234,3.956,3.636,3.863,2.191,4.532,3.055,4.784,,
cost-goods-sold,22.304,25.201,27.303,23.979,19.065,20.916,22.885,21.295,18.228,23.811,24.581,23.621,43.152,23.053,20.278,19.427,15.901,18.929,17.58,18.968,20.391,19.954,18.127,18.376,14.791,10.214,11.391,9.672,9.287,6.685,6.495,6.6,3.357,3.115,3.667,2.12,3.573,2.849,3.746,,
gross-profit,82.381,77.403,64.01,71.136,64.383,63.191,51.722,57.783,49.107,47.123,44.702,49.281,25.203,46.587,45.196,49.893,46.312,40.219,40.736,42.825,31.657,27.211,18.535,15.188,8.468,6.927,0.196,0.778,-0.801,5.659,1.309,-2.366,0.599,0.521,0.196,0.071,0.959,0.206,1.038,,
research-development-expenses,20.255,17.827,14.384,14.174,14.897,12.239,14.378,10.027,11.775,18.856,16.632,17.069,9.754,9.362,9.493,13.153,5.893,3.649,5.967,3.886,4.425,5.216,5.204,4.836,5.962,4.857,5.905,3.244,3.527,1.872,1.294,2.132,4.36,4.586,3.795,3.68,5.716,4.596,4.642,,
selling-general-administrative-expenses,50.128,49.126,48.518,44.646,44.179,44.249,44.191,39.178,40.644,39.552,42.12,34.673,36.314,43.669,37.957,37.553,35.31,34.752,31.428,31.019,28.217,24.837,22.589,20.172,15.32,14.08,12.936,13.363,11.378,10.413,11.152,7.198,4.972,4.466,3.523,2.43,1.694,1.238,1.011,,
other-operating-income-expenses,-7.618,-3.405,-0.029,-0.053,-1.259,-0.162,-0.09,-0.113,-0.26,-4.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,102.272,97.329,90.234,82.852,79.4,77.566,81.544,70.613,70.907,86.714,83.333,75.363,89.22,76.084,67.728,70.133,57.104,57.33,54.975,53.873,53.033,50.007,45.92,43.384,36.073,29.151,30.232,26.279,24.192,18.97,18.941,18.949,12.689,12.167,10.985,8.23,10.983,8.683,9.399,,
operating-income,2.413,5.275,1.079,12.263,4.048,6.541,-6.937,8.465,-3.572,-15.78,-14.05,-2.461,-20.865,-6.444,-2.254,-0.813,5.109,1.818,3.341,7.92,-0.985,-2.842,-9.258,-9.82,-12.814,-12.01,-18.645,-15.829,-15.706,-6.626,-11.137,-14.715,-8.733,-8.531,-7.122,-6.039,-6.451,-5.628,-4.615,,
total-non-operating-income-expense,-8.229,-4.148,-3.597,-3.94,-4.75,-3.942,-3.708,-3.835,-3.98,-3.933,-5.786,-1.533,-1.263,-1.456,-1.568,-1.793,-1.742,-1.771,-2.029,-1.945,-2.019,-2.195,-2.219,-2.136,-1.97,-2.021,-4.935,-0.517,-0.039,-1.67,-0.757,-0.567,-0.775,-0.232,-2.653,-1.05,-1.449,-1.185,-0.777,,
pre-tax-income,-5.816,1.127,-2.518,8.323,-0.702,2.599,-10.645,4.63,-7.552,-19.713,-19.836,-3.994,-22.128,-7.9,-3.822,-2.606,3.367,0.047,1.312,5.975,-3.004,-5.037,-11.477,-11.956,-14.784,-14.031,-23.58,-16.346,-15.745,-8.296,-11.894,-15.282,-9.508,-8.763,-9.775,-7.04,-7.9,-6.813,-5.392,,
total-provision-income-taxes,0.271,-1.603,0.253,0.038,-0.062,0.035,0.035,0.035,0.045,0.03,0.03,-0.021,0.036,0.058,0.032,-0.108,0.281,0.039,0.052,,,,,,0.0,,-0.442,,,,,,,,,0.0,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
net-income,-6.087,2.73,-2.771,8.285,-0.64,2.564,-10.68,4.595,-7.597,-19.743,-19.866,-3.973,-22.164,-7.958,-3.854,-2.498,3.086,0.008,1.26,5.802,-3.004,-5.037,-11.477,-11.956,-14.784,-14.031,-23.138,-16.346,-15.745,-8.296,-11.894,-15.282,-9.508,-8.763,-9.775,-7.044,-7.9,-6.813,-5.392,,
ebitda,11.914,14.384,8.444,20.005,11.181,12.954,-0.671,15.546,3.152,-8.764,-9.367,1.941,-16.446,-2.086,2.053,3.448,9.081,5.743,7.241,11.784,2.564,0.646,-5.498,-6.963,-10.329,-9.567,-16.265,-14.184,-14.09,-5.074,-9.71,-13.383,-7.505,-7.429,-4.911,-4.891,-5.418,-4.571,-3.603,,
