,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
revenue,20.744,18.2,14.656,14.568,15.82,15.077,12.094,11.681,12.375,11.802,9.762,,10.135,
cost-goods-sold,4.849,4.581,4.001,4.054,3.843,3.807,3.175,2.849,2.884,3.09,2.347,,2.978,
gross-profit,15.895,13.619,10.655,10.514,11.977,11.27,8.919,8.832,9.491,8.712,7.415,,7.157,
research-development-expenses,1.396,1.234,1.213,1.277,1.122,1.115,1.218,0.941,1.127,0.668,0.687,,0.501,
selling-general-administrative-expenses,,,,,,,,,,,,,,
operating-expenses,22.283,19.99,17.373,16.434,16.992,17.197,16.489,15.883,13.131,12.479,10.599,,10.658,
operating-income,-1.539,-1.79,-2.717,-1.866,-1.172,-2.12,-4.395,-4.202,-0.756,-0.677,-0.837,,-0.523,
total-non-operating-income-expense,-1.338,-0.669,-0.303,-0.602,-0.693,-0.572,-0.605,-0.642,-0.781,-0.589,-0.448,,-0.322,
pre-tax-income,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,
income-from-continuous-operations,-2.877,-2.459,-3.02,-2.468,-1.865,-2.692,-5.0,-4.844,-1.537,-1.266,-1.285,,-0.845,
income-from-discontinued-operations,0.213,-0.159,,,,,,,,,,,,
net-income,-2.664,-2.618,-3.02,-2.468,-1.865,-2.692,-5.0,-15.078,-3.021,-2.72,-2.711,,-2.405,
ebitda,-0.193,-0.706,-1.889,-1.151,-0.395,-1.401,-3.714,-3.545,-0.1,-0.083,-0.339,,-0.523,
ebit,-1.539,-1.79,-2.717,-1.866,-1.172,-2.12,-4.395,-4.202,-0.756,-0.677,-0.837,,-0.523,
basic-shares-outstanding,14.639,14.452,14.367,12.567,12.625,12.549,12.074,4.017,1.773,1.747,1.744,,1.744,
shares-outstanding,14.639,14.452,14.367,12.567,12.625,12.549,12.074,4.017,1.773,1.747,1.744,,1.744,
eps-basic-net-earnings-per-share,-0.18,-0.18,-0.21,-0.19,-0.15,-0.21,-0.41,-1.05,-1.7,-1.56,-1.55,,-1.38,
eps-earnings-per-share-diluted,-0.18,-0.18,-0.21,-0.19,-0.15,-0.21,-0.41,-1.05,-1.7,-1.56,-1.55,0.0,-1.38,0.0
