,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
revenue,51.101,45.904,23.038,15.531,10.047,9.744,7.808,5.128,5.406,4.992,5.027,
cost-goods-sold,35.248,33.631,17.653,12.397,6.979,5.567,3.912,2.201,2.439,2.284,2.259,
gross-profit,15.853,12.273,5.385,3.134,3.068,4.177,3.896,2.927,2.967,2.708,2.768,
research-development-expenses,2.315,1.528,1.048,1.848,0.802,0.639,0.975,0.75,0.729,1.04,0.663,
selling-general-administrative-expenses,45.267,38.416,25.924,25.235,21.739,14.248,6.439,4.814,4.42,3.984,2.493,
other-operating-income-expenses,13.454,-2.464,-4.424,,-0.01,,,,,,,
operating-expenses,72.566,78.424,50.912,38.438,30.059,20.735,11.548,7.765,7.588,7.308,5.415,
operating-income,-21.465,-32.52,-27.874,-22.907,-20.012,-10.991,-3.74,-2.637,-2.182,-2.316,-0.388,
total-non-operating-income-expense,-4.579,-4.728,-6.444,-9.458,-1.846,-1.779,-1.441,-0.323,0.415,-0.119,-0.291,
pre-tax-income,-33.051,-37.248,-34.318,-35.547,-18.676,-12.77,-5.181,-2.949,-1.767,-2.435,-0.679,
total-provision-income-taxes,2.627,-2.195,-4.017,-4.538,0.024,0.063,,0.0,,,,
income-after-taxes,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,0.0,,,,
net-income,-35.678,-35.053,-30.301,-31.009,-18.7,-12.833,-5.181,-2.949,-1.767,-2.435,-0.679,
ebitda,-14.196,-27.003,-22.603,-19.717,-18.608,-10.322,-3.261,-2.189,-1.735,-1.906,0.157,
ebit,-21.465,-32.52,-27.874,-22.907,-20.012,-10.991,-3.74,-2.637,-2.182,-2.316,-0.388,
basic-shares-outstanding,98.131,97.232,94.8754,83.01,93.144,75.0,75.0,75.0,75.0,75.0,75.0,
shares-outstanding,98.131,97.232,94.8754,83.01,93.144,75.0,75.0,75.0,75.0,75.0,75.0,
eps-basic-net-earnings-per-share,-0.36,-0.36,-0.32,-0.38,-0.2,-0.17,-0.07,-0.06,-0.02,-0.01,-0.01,
eps-earnings-per-share-diluted,-0.36,-0.36,-0.32,-0.38,-0.2,-0.17,-0.07,-0.06,-0.02,-0.01,-0.01,0.0
