,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31
revenue,,,,,,,,,,,,,,,,,,,
gross-profit,0.558,0.462,0.454,0.893,0.412,0.375,0.37,,,,1.101,,,,,,,0.317,
research-development-expenses,15.931,15.475,12.562,15.128,12.856,11.082,11.116,11.78,10.447,10.041,9.628,8.443,11.584,9.525,8.265,,6.866,5.428,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,
operating-expenses,20.947,20.67,17.427,19.5,16.732,14.923,15.191,15.52,14.04,13.513,12.714,11.362,14.217,12.065,10.636,,8.464,6.412,
operating-income,-20.389,-20.208,-16.973,-18.607,-16.32,-14.548,-14.821,-15.52,-14.04,-13.513,-11.613,-11.362,-14.217,-12.065,-10.636,,-8.464,-6.095,
total-non-operating-income-expense,0.596,0.753,0.512,0.575,0.583,0.501,0.358,0.218,0.215,0.145,0.098,0.08,0.048,0.044,0.048,,,-0.002,
pre-tax-income,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,
net-income,-19.793,-19.455,-16.461,-18.032,-15.737,-14.047,-14.463,-15.302,-13.825,-13.368,-11.515,-10.965,-14.29,-13.844,-12.325,,-9.707,-7.327,
ebitda,-19.746,-19.559,-16.441,-18.175,-15.912,-14.172,-14.433,-15.13,-13.649,-13.132,-11.248,-11.024,-13.902,-11.749,-10.332,,-8.275,-6.095,
ebit,-20.389,-20.208,-16.973,-18.607,-16.32,-14.548,-14.821,-15.52,-14.04,-13.513,-11.613,-11.045,-14.217,-12.065,-10.636,,-8.464,-6.095,
basic-shares-outstanding,42.4393,41.673,33.766,32.656,33.6535,32.893,30.335,25.407,26.259,25.584,23.393,12.696,22.013,2.553,2.394,,2.15,1.761,
shares-outstanding,42.4393,41.673,33.766,32.656,33.6535,32.893,30.335,25.407,26.259,25.584,23.393,12.696,22.013,2.553,2.394,,2.15,1.761,
eps-basic-net-earnings-per-share,-0.47,-0.47,-0.49,-0.53,-0.47,-0.43,-0.48,-0.59,-0.53,-0.52,-0.49,7.17,-0.65,-5.42,-5.15,,-4.51,-4.16,
eps-earnings-per-share-diluted,-0.47,-0.47,-0.49,-0.53,-0.47,-0.43,-0.48,-0.59,-0.53,-0.52,-0.49,7.17,-0.65,-5.42,-5.15,0.0,-4.51,-4.16,0.0
