,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30
revenue,600.507,575.651,549.214,537.775,514.364,496.386,492.134,487.705,471.594,448.279,441.739,433.0481,428.065,410.517,383.234,373.1551,351.086,311.056,306.529,276.869,260.841,250.043,239.653,237.008,229.261,220.086,218.201,210.5051,206.691,203.919,202.04,192.662,196.346,186.326,182.943,172.757,164.653,157.948,154.174,146.615,132.924,132.178,130.285,123.947,116.328,115.318,113.779,108.979,104.092,100.269,97.978,92.338
cost-goods-sold,515.533,494.06,465.788,462.913,448.574,430.604,424.093,427.3789,415.326,399.531,387.386,389.504,382.313,361.279,333.299,323.6449,305.045,267.358,260.422,239.617,227.913,210.34,193.287,191.4,189.576,179.251,179.375,172.38,167.938,165.44,163.947,159.632,159.056,149.07,146.771,139.873,135.091,129.424,126.758,121.136,110.971,109.014,107.9,102.081,97.579,96.581,95.433,92.002,90.353,84.332,85.002,76.962
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,31.71,30.561,33.024,28.216,24.601,22.386,25.104,22.833,19.261,17.253,21.27,14.815,17.306,19.657,17.387,17.247,17.165,15.335,14.416,12.525,12.956,18.257,13.157,11.782,10.601,8.872,8.848,7.886,8.099,8.137,7.697,7.578,7.195,7.592,7.401,7.205,6.713,6.407,5.774,5.506,4.883,5.417,4.961,5.389,4.565,4.971,5.092,4.306,3.995,3.898,3.746,3.881
other-operating-income-expenses,,,0.0,,,,1.664,0.41,,1.286,-15.017,16.655,2.505,0.0,-7.935,,0.0,0.0,0.0,,,,,,,,-33.0,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,561.5621,537.805,511.41,503.328,485.077,464.611,459.155,461.562,446.035,426.248,434.187,397.3651,408.025,390.708,366.919,348.8188,329.498,289.072,281.355,257.229,245.546,236.401,215.306,211.893,208.972,196.794,228.955,202.553,183.184,180.587,178.558,173.712,172.43,162.208,159.231,151.4731,146.064,139.854,136.487,130.505,119.093,117.64,115.826,109.983,104.494,103.725,102.515,98.27,96.166,89.884,90.28,81.946
operating-income,38.945,37.846,37.804,34.447,29.287,31.775,32.979,26.143,25.559,22.031,7.552,35.683,20.04,19.809,16.315,24.3362,21.588,21.984,25.174,19.6399,15.295,13.642,24.347,25.115,20.289,23.292,-10.754,7.952,23.507,23.332,23.482,18.95,23.916,24.118,23.712,21.2839,18.589,18.094,17.687,16.11,13.831,14.538,14.459,13.964,11.834,11.593,11.264,10.709,7.926,10.385,7.698,10.392
total-non-operating-income-expense,-3.164,-3.369,-3.097,-3.125,-3.522,-3.307,-3.165,-2.963,-3.124,-2.765,-3.155,-1.826,-1.899,-1.168,-1.136,-0.55,-0.56,-0.372,-0.501,-0.327,-0.265,-8.586,-3.204,-3.203,-3.04,-3.016,-3.022,-3.015,-3.023,-3.062,-2.874,-2.938,-5.255,-2.664,-2.672,-2.192,-2.225,-2.245,-2.213,-1.914,-1.168,-1.072,-1.258,-0.951,-0.944,-0.797,-0.718,-0.622,-1.013,-0.874,-0.777,-0.531
pre-tax-income,35.781,34.477,34.707,31.322,25.765,28.468,29.814,23.18,22.435,19.266,4.397,33.857,18.141,18.641,15.179,23.786,21.028,21.612,24.673,19.313,15.03,5.056,21.143,21.912,17.249,20.276,-13.776,4.937,20.484,20.27,20.608,16.012,18.661,21.454,21.04,19.092,16.364,15.849,15.474,14.196,12.663,13.466,13.201,13.013,10.89,10.796,10.546,10.087,6.913,9.511,6.921,9.861
total-provision-income-taxes,7.953,5.552,7.1,4.763,5.415,6.142,6.521,11.958,8.16,6.886,1.441,12.851,6.957,7.278,5.889,9.349,7.869,8.379,9.585,8.517,6.659,3.523,8.102,8.563,6.607,7.846,-3.013,2.02,7.528,7.872,7.714,5.657,7.063,8.478,8.294,7.42,6.477,6.23,6.126,5.503,4.977,5.282,5.278,5.154,4.093,4.277,4.212,3.858,2.447,3.816,2.784,3.48
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,27.828,28.925,27.607,26.559,20.35,22.326,23.293,11.222,14.275,12.38,2.956,21.006,11.184,11.363,9.29,14.437,13.159,13.233,15.088,10.796,8.371,1.533,13.041,13.349,10.642,12.43,-10.763,2.917,12.956,12.398,12.894,10.355,11.598,12.976,12.746,11.672,9.887,9.619,9.348,8.693,7.686,8.184,7.923,7.859,6.797,6.519,6.334,6.229,4.466,5.695,4.137,6.381
income-from-discontinued-operations,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,-0.026,-1.748,-1.252,0.08,-0.119,-0.066,,,,,,,,,,,,,,,,,,,,,
net-income,27.159,28.609,27.372,26.36,20.861,22.011,23.132,11.206,14.212,12.217,2.84,18.337,11.155,11.326,9.172,13.602,13.472,13.188,15.17,11.511,8.906,2.007,13.526,13.356,10.464,12.367,-12.147,1.937,13.294,12.456,12.904,10.355,11.598,12.976,12.746,11.672,9.887,9.619,9.348,8.693,7.686,8.184,7.923,7.859,6.797,6.519,6.334,5.9,4.466,5.695,4.137,6.381
ebitda,53.557,51.574,50.441,46.774,41.319,43.52,44.736,38.01,37.101,32.944,18.32,45.6381,31.21,29.739,24.767,32.4102,29.024,28.511,31.839,24.8749,20.12,21.632,33.414,34.523,29.291,32.165,-2.784,17.702,30.895,30.582,30.609,25.651,30.286,29.823,28.939,26.0219,23.008,22.253,21.833,20.085,17.178,17.752,17.477,16.525,14.21,13.792,13.264,12.674,9.753,12.039,9.23,10.392
ebit,38.945,37.846,37.804,34.4471,29.287,31.775,32.979,26.143,25.559,22.031,7.552,35.683,20.04,19.809,16.315,24.3362,21.588,21.984,25.174,19.64,15.295,13.642,24.347,25.115,20.289,23.292,-10.754,7.9521,23.507,23.332,23.482,18.95,23.916,24.118,23.712,21.2839,18.589,18.094,17.687,16.11,13.831,14.538,14.459,13.964,11.834,11.593,11.264,10.709,7.926,10.385,7.698,10.392
basic-shares-outstanding,53.941,53.408,53.081,52.016,52.139,51.88,51.585,50.932,50.911,50.705,50.767,50.555,50.541,50.274,50.679,50.316,51.144,50.949,47.815,44.682,44.83,44.518,44.336,43.8,43.882,43.718,43.536,42.858,42.976,42.736,42.502,41.934,41.99,41.818,41.708,41.488,41.512,41.482,41.372,41.206,41.232,41.172,41.144,41.04,41.05,41.016,40.996,28.994,27.012,26.926,26.84,26.624
shares-outstanding,56.364,56.078,55.698,54.397,54.632,54.251,53.518,52.829,52.828,52.548,52.633,52.133,52.045,51.931,52.334,52.21,53.07,52.866,49.652,46.19,46.372,45.92,45.164,44.728,44.818,44.642,43.536,43.884,44.02,43.772,43.592,43.166,43.14,43.158,43.032,42.318,42.294,42.252,42.148,41.85,41.856,41.748,41.784,41.43,41.554,41.272,41.294,34.94,33.756,33.756,33.808,33.73
eps-basic-net-earnings-per-share,0.5,0.54,0.52,0.51,0.4,0.42,0.45,0.21,0.28,0.24,0.06,0.36,0.22,0.23,0.18,0.26,0.26,0.26,0.32,0.25,0.2,0.045,0.305,0.305,0.24,0.285,-0.28,0.04,0.31,0.29,0.305,0.245,0.275,0.31,0.305,0.28,0.24,0.23,0.225,0.21,0.185,0.2,0.195,0.19,0.165,0.16,0.155,0.18,0.16,0.205,0.15,0.235
eps-earnings-per-share-diluted,0.48,0.51,0.49,0.48,0.38,0.41,0.43,0.22,0.27,0.23,0.05,0.35,0.21,0.22,0.18,0.25,0.25,0.25,0.31,0.245,0.19,0.045,0.3,0.31,0.235,0.275,-0.28,0.045,0.3,0.285,0.295,0.24,0.27,0.3,0.295,0.275,0.235,0.23,0.22,0.205,0.185,0.195,0.19,0.185,0.165,0.16,0.155,0.165,0.13,0.17,0.12,0.19
