,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31
revenue,111.291,111.803,103.979,103.603,100.013,101.36,94.496,91.743,81.023,58.129,55.881,53.957,53.055,52.68,48.64,46.774,43.492,44.812,43.435,43.653,43.113,42.65,37.162,33.105,31.874,32.104,32.418,29.959,27.04,27.45,27.045,26.784,26.602,31.637,33.999,28.683,27.486,31.939,31.816,33.297,33.34,38.264,35.72,34.428,31.223,29.34,25.463,23.9425,20.53,17.419,11.1005
cost-goods-sold,41.952,41.563,39.201,39.657,37.276,35.605,36.448,37.318,31.954,22.162,22.972,20.921,20.189,19.759,18.013,18.51,17.155,18.079,18.212,19.124,19.435,19.037,15.518,12.31,12.64,12.608,12.873,12.792,10.642,10.724,11.435,10.154,12.252,13.018,13.652,11.97,11.938,11.835,11.749,13.028,11.829,11.993,11.838,10.546,10.014,9.834,9.519,8.6828,7.1,5.953,3.7902
gross-profit,69.339,70.24,64.778,63.946,62.737,65.755,58.048,54.425,49.069,35.967,32.909,33.036,32.866,32.921,30.627,28.264,26.337,26.733,25.223,24.529,23.678,23.613,21.644,20.795,19.234,19.496,19.545,17.167,16.398,16.726,15.61,16.63,14.35,18.619,20.347,16.713,15.548,20.104,20.067,20.269,21.511,26.271,23.882,23.882,21.209,19.506,15.944,15.2597,13.43,11.466,7.3103
research-development-expenses,3.661,3.532,3.333,2.755,2.429,2.733,3.289,2.876,3.277,2.515,2.433,2.467,2.137,1.965,1.786,1.95,1.565,1.631,1.965,1.656,1.993,1.958,1.789,1.938,1.898,1.882,1.62,1.296,1.143,1.04,1.185,1.326,1.329,1.361,1.682,1.187,1.237,1.23,1.243,1.501,1.325,1.768,1.216,0.984,0.943,0.931,1.141,0.9625,0.81,1.019,0.9905
selling-general-administrative-expenses,42.223,43.382,40.047,38.265,36.445,39.816,38.059,37.651,35.039,21.997,23.618,22.249,20.871,21.512,19.881,19.977,18.129,19.132,18.58,19.127,18.286,18.311,18.212,15.543,15.667,15.344,16.29,15.316,14.445,13.662,14.825,13.436,15.276,16.38,17.74,14.875,16.022,15.424,17.674,18.507,19.3,17.947,18.055,3.136,15.973,15.428,14.181,4.3024,11.085,11.457,8.5207
other-operating-income-expenses,-8.456,-7.613,-8.218,-8.347,-6.487,-12.083,-9.964,-21.21,-11.92,-7.067,-4.53,-4.929,-4.892,-4.323,-4.426,-2.879,-3.637,-3.385,-4.209,-9.473,-1.868,-2.745,-2.359,-1.926,-1.427,-1.967,-2.467,-2.847,-3.195,-2.959,-2.911,-49.524,-3.263,-2.902,-2.39,-4.52,-4.934,-4.484,-4.64,-5.896,-5.642,-4.627,-3.817,,,,,,,,
operating-expenses,96.292,96.09,90.799,89.024,82.637,90.237,87.76,99.055,82.19,53.741,53.553,50.566,48.089,47.559,44.106,43.316,40.486,42.227,42.966,44.355,42.627,43.051,40.858,32.879,34.709,34.342,34.452,34.743,30.166,29.118,30.626,76.342,33.739,34.675,35.588,33.274,34.99,34.101,37.251,48.804,39.246,36.155,37.065,28.024,29.789,26.803,26.147,22.0246,18.995,18.429,13.3014
operating-income,14.999,15.713,13.18,14.579,17.376,11.123,6.736,-7.312,-1.167,4.388,2.328,3.391,4.966,5.121,4.534,3.458,3.006,2.585,0.469,-0.702,0.486,-0.401,-3.696,0.226,-2.835,-2.238,-2.034,-4.784,-3.126,-1.668,-3.581,-49.558,-7.137,-3.038,-1.589,-4.591,-7.504,-2.162,-5.435,-15.507,-5.906,2.109,-1.345,6.404,1.434,2.537,-0.684,1.9178,1.535,-1.01,-2.2008
total-non-operating-income-expense,-3.248,-2.606,-3.568,-1.633,-2.656,-2.179,-1.842,-2.411,-1.832,-1.392,-2.998,-0.556,-0.63,-0.633,-0.423,-0.402,-0.391,-0.439,-0.39,-0.642,-0.293,-3.587,-3.271,-0.012,-0.097,-0.061,-0.053,-0.039,0.005,0.039,0.047,0.037,0.034,0.036,0.037,0.036,0.034,0.02,0.004,0.01,0.01,0.04,0.118,0.295,0.323,0.267,0.112,0.1743,0.273,-0.094,-0.9533
pre-tax-income,11.751,13.107,9.612,12.946,14.72,8.944,4.894,-9.723,-2.999,2.996,-0.67,2.835,4.336,4.488,4.111,3.056,2.615,2.146,0.079,-1.344,0.193,-3.988,-6.967,0.214,-2.932,-2.299,-2.087,-4.823,-3.121,-1.629,-3.534,-49.521,-7.103,-3.002,-1.552,-4.555,-7.47,-2.142,-5.431,-15.497,-5.896,2.149,-1.227,6.699,1.757,2.804,-0.572,2.0921,1.808,-1.104,-3.1541
