,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
revenue,7706.0,7493.0,8146.0,7546.0,7481.0,7384.0,8144.0,7369.0,7050.0,7390.0,7916.0,7283.0,7345.0,7166.0,7567.0,6934.0,7058.0,7274.0,7304.0,4318.0,4366.0,4273.0,4565.0,4163.0,4194.0,4083.0,4460.0,4027.0,4095.0,4008.0,4297.0,3918.0,4023.0,3946.0,3975.0,3857.0,3903.0,3773.0,3770.0,3851.0,3838.0,3933.0,3829.0,3494.0,3570.0,3706.0,3859.0,3405.0,3124.0,3127.0,3279.0,3048.0,3075.0,2897.0,3067.0,2770.0,2765.0,2690.0,2778.4,2530.7
cost-goods-sold,2394.0,2366.0,2483.0,2265.0,2203.0,2204.0,2398.0,2194.0,2123.0,2352.0,2439.0,2268.0,2326.0,2261.0,2363.0,2141.0,2182.0,2456.0,2934.0,1128.0,1142.0,1105.0,1171.0,1050.0,1090.0,1022.0,1134.0,999.0,1020.0,973.0,1047.0,931.0,960.0,951.0,912.0,934.0,961.0,893.0,782.0,912.0,922.0,966.0,932.0,848.0,883.0,855.0,944.0,870.0,840.0,792.0,866.0,775.0,795.0,732.0,767.0,699.0,695.0,654.0,705.3001,605.6
gross-profit,5312.0,5127.0,5663.0,5281.0,5278.0,5180.0,5746.0,5175.0,4927.0,5038.0,5477.0,5015.0,5019.0,4905.0,5204.0,4793.0,4876.0,4818.0,4370.0,3190.0,3224.0,3168.0,3394.0,3113.0,3104.0,3061.0,3326.0,3028.0,3075.0,3035.0,3250.0,2987.0,3063.0,2995.0,3063.0,2923.0,2942.0,2880.0,2988.0,2939.0,2916.0,2967.0,2897.0,2646.0,2687.0,2851.0,2915.0,2535.0,2284.0,2335.0,2413.0,2273.0,2280.0,2165.0,2300.0,2071.0,2070.0,2036.0,2073.1,1925.1
research-development-expenses,603.0,587.0,594.0,561.0,590.0,585.0,592.0,559.0,556.0,549.0,553.0,530.0,554.0,556.0,575.0,546.0,545.0,558.0,528.0,373.0,374.0,365.0,385.0,360.0,372.0,360.0,409.0,376.0,387.0,385.0,393.0,364.0,371.0,362.0,367.0,362.0,373.0,370.0,341.0,344.0,369.0,370.0,368.0,337.0,326.0,324.0,348.0,329.0,298.0,300.0,327.0,293.0,320.0,299.0,295.0,280.0,275.0,263.0,247.6,241.0
selling-general-administrative-expenses,2620.0,2543.0,2620.0,2596.0,2605.0,2597.0,2596.0,2523.0,2539.0,2580.0,2786.0,2388.0,2416.0,2428.0,2360.0,2317.0,2343.0,2449.0,2404.0,1487.0,1507.0,1506.0,1539.0,1454.0,1438.0,1416.0,1475.0,1401.0,1417.0,1405.0,1462.0,1371.0,1410.0,1380.0,1355.0,1367.0,1371.0,1334.0,1263.0,1328.0,1323.0,1368.0,1314.0,1257.0,1263.0,1318.0,1297.0,1207.0,1107.0,1096.0,1095.0,1038.0,1036.0,984.0,974.0,900.0,903.0,882.0,858.1,814.2
other-operating-income-expenses,-149.0,22.0,20.0,-57.0,-70.0,-151.0,-175.0,-128.0,530.0,-65.0,35.0,-146.0,-89.0,-39.0,20.0,-9.0,-57.0,-61.0,-194.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,6355.0,6008.0,6200.0,6004.0,5937.0,6148.0,6216.0,5933.0,5156.0,6008.0,6232.0,6136.0,5960.0,5999.0,5992.0,5579.0,5758.0,6143.0,7145.0,3043.0,3173.0,3134.0,4260.0,3138.0,2988.0,2806.0,3269.0,2809.0,2909.0,2848.0,3082.0,2765.0,2802.0,2787.0,2993.0,2710.0,2814.0,2694.0,2714.0,2584.0,2614.0,2766.0,3169.0,2514.0,2490.0,2593.0,2663.0,2716.0,2245.0,2235.0,2316.0,2106.0,2151.0,2015.0,2036.0,1879.0,1873.0,2163.0,1811.0,1660.8
operating-income,1351.0,1485.0,1946.0,1542.0,1544.0,1236.0,1928.0,1436.0,1894.0,1382.0,1684.0,1147.0,1385.0,1167.0,1575.0,1355.0,1300.0,1131.0,159.0,1275.0,1193.0,1139.0,305.0,1025.0,1206.0,1277.0,1191.0,1218.0,1186.0,1160.0,1215.0,1153.0,1221.0,1159.0,982.0,1147.0,1089.0,1079.0,1056.0,1267.0,1224.0,1167.0,660.0,980.0,1080.0,1113.0,1196.0,689.0,879.0,892.0,963.0,942.0,924.0,882.0,1031.0,891.0,892.0,527.0,967.3997,869.8999
total-non-operating-income-expense,-57.0,-508.0,-654.0,-172.0,-189.0,-56.0,-203.0,-409.0,-166.0,-187.0,-249.0,-180.0,-173.0,-179.0,-441.0,-176.0,-217.0,-191.0,28.0,-81.0,-171.0,-56.0,176.0,-70.0,-90.0,-124.0,-37.0,-63.0,-332.0,-72.0,-184.0,-100.0,-178.0,-141.0,-107.0,-150.0,-337.0,-39.0,154.0,-204.0,-114.0,-606.0,-651.0,-87.0,-457.0,-198.0,-338.0,-554.0,-11.0,-13.0,-108.0,-8.0,-13.0,-67.0,-32.0,14.0,-127.0,-35.0,-688.0,-105.9
pre-tax-income,1294.0,977.0,1292.0,1370.0,1355.0,1180.0,1725.0,1027.0,1728.0,1195.0,1435.0,967.0,1212.0,988.0,1134.0,1179.0,1083.0,940.0,187.0,1194.0,1022.0,1083.0,481.0,955.0,1116.0,1153.0,1154.0,1155.0,854.0,1088.0,1031.0,1053.0,1043.0,1018.0,875.0,997.0,752.0,1040.0,1210.0,1063.0,1110.0,561.0,9.0,893.0,623.0,915.0,858.0,135.0,868.0,879.0,855.0,934.0,911.0,815.0,999.0,905.0,765.0,492.0,279.4,764.0
