,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
eps-earnings-per-share-diluted,-2.04,-4.67,-1.41,-1.29,-1.53,-1.01,-2.32,-0.29,-1.19,-1.78,-1.74,-2.09,-2.16,-0.55,-0.25,0.0
research-development-expenses,61.674,175.977,41.003,37.958,47.362,29.052,75.579,22.686,34.996,21.019,10.74,20.392,27.045,5.722,2.37,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,
operating-expenses,90.456,199.212,54.465,48.066,54.936,38.116,83.436,28.3,39.567,25.218,14.497,22.844,27.965,6.846,2.983,
operating-income,-90.456,-199.212,-54.465,-48.066,-54.936,-38.116,-83.436,-28.3,-39.567,-25.218,-14.497,-22.844,-27.965,-6.846,-2.983,
total-non-operating-income-expense,-15.388,-11.8,-7.73,-6.49,-6.344,-1.128,-1.939,1.577,-3.293,-12.823,-4.063,-2.535,-0.295,0.027,-0.003,
pre-tax-income,-105.844,-211.012,-62.195,-54.556,-61.28,-39.244,-85.375,-26.723,-42.86,-38.041,-18.56,-25.379,-28.26,-6.819,-2.986,
total-provision-income-taxes,0.323,0.058,0.109,0.194,0.161,0.025,0.087,0.359,0.055,0.399,0.193,,,,,
income-after-taxes,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,
net-income,-106.167,-211.07,-62.304,-54.75,-61.441,-39.269,-85.462,-27.082,-42.915,-46.446,-22.753,-25.681,-28.21,-6.835,-2.951,
ebitda,-90.456,-199.212,-54.465,-48.066,-54.936,-38.116,-83.436,-28.3,-39.567,-25.218,-14.493,-22.841,-27.964,-6.846,-2.982,
ebit,-90.456,-199.212,-54.465,-48.066,-54.936,-38.116,-83.436,-28.3,-39.567,-25.218,-14.497,-22.844,-27.965,-6.846,-2.983,
basic-shares-outstanding,52.077,45.226,44.242,39.188,40.148,38.946,36.793,27.846,35.931,26.038,13.089,12.608,13.05,12.508,11.776,
shares-outstanding,52.077,45.226,44.242,39.188,40.148,38.946,36.793,27.846,35.931,26.038,13.089,12.608,13.05,12.508,11.776,
eps-basic-net-earnings-per-share,-2.04,-4.67,-1.41,-1.29,-1.53,-1.01,-2.32,-0.29,-1.19,-1.78,-1.74,-2.09,-2.16,-0.55,-0.25,
