,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30
revenue,537.702,534.133,508.186,476.4571,469.373,500.479,444.613,436.399,411.855,394.386,376.053,396.621,374.181,381.161,336.01,340.881,340.872,333.747,309.303,328.142,306.584,291.23,246.919,235.7739,232.16,208.252,196.237,183.703,175.515,124.231,102.53,83.536,73.293,64.567,50.881,53.369,44.753,40.486,35.173,38.284,30.809,37.28,22.076,19.595,17.746,15.539,14.634,15.477,21.474,14.264,14.088,,11.496,11.074
cost-goods-sold,31.4,27.676,33.506,26.337,26.574,34.714,33.919,25.248,31.203,28.672,25.065,33.656,24.311,23.98,23.439,24.03,28.385,21.813,28.298,28.808,26.994,30.692,30.924,25.643,24.252,25.031,27.22,25.763,32.629,12.289,7.744,3.862,3.901,3.37,2.809,4.784,3.091,2.802,2.882,2.782,2.338,2.575,1.943,3.305,5.525,2.796,2.298,3.283,1.938,1.679,2.003,,2.044,1.754
gross-profit,506.302,506.457,474.68,450.1201,442.799,465.765,410.694,411.151,380.652,365.714,350.988,362.965,349.87,357.181,312.571,316.851,312.487,311.934,281.005,299.334,279.59,260.538,215.995,210.1309,207.908,183.221,169.017,157.94,142.886,111.942,94.786,79.674,69.392,61.197,48.072,48.585,41.662,37.684,32.291,35.502,28.471,34.705,20.133,16.29,12.221,12.743,12.336,12.194,19.536,12.585,12.085,,9.452,9.32
research-development-expenses,79.855,62.384,60.105,56.657,51.16,56.132,62.667,65.995,47.362,40.157,44.928,44.158,47.796,39.091,31.252,29.455,50.784,27.833,27.181,24.559,22.423,20.09,18.109,13.809,11.826,9.25,6.747,7.277,6.92,2.321,3.959,3.764,3.279,3.382,3.695,4.118,7.317,7.962,6.215,6.317,7.644,11.192,11.408,14.689,12.149,21.882,21.243,20.54,16.978,17.407,14.867,,14.746,14.28
selling-general-administrative-expenses,178.706,176.014,167.947,161.8651,155.873,158.579,207.213,143.05,124.523,132.328,144.255,127.141,124.368,122.618,128.765,125.555,104.044,107.132,112.388,105.694,93.501,100.556,106.363,81.299,74.97,77.506,70.528,61.378,60.924,57.224,44.356,36.384,30.547,22.094,19.911,17.07,18.04,17.096,16.79,15.718,15.061,13.657,14.216,20.183,24.329,34.109,32.78,27.957,18.069,18.175,14.339,,12.906,13.716
other-operating-income-expenses,-62.863,-61.576,,101.948,-46.989,-97.855,,,,,-25.665,,-26.453,,-22.642,18.272,-26.127,-23.668,,-38.536,-30.63,-65.601,-31.182,,,0.0,,,,,,,,,,,,,,,,,,,,,,-20.16,,-17.469,,,,
operating-expenses,404.599,329.85,374.443,291.402,280.596,347.28,356.806,295.194,325.401,229.343,239.913,231.117,237.928,212.426,214.848,234.2531,209.34,180.446,192.544,198.223,248.548,216.939,313.578,141.275,131.6,131.186,128.05,116.325,120.215,84.804,66.791,45.872,39.589,30.708,28.277,27.834,30.31,29.904,27.944,26.874,27.1,29.246,29.299,71.314,45.49,62.633,58.442,74.221,39.272,57.017,33.571,,32.096,32.15
operating-income,133.103,204.283,133.743,185.055,188.777,153.199,87.807,141.205,86.454,165.043,136.14,165.504,136.253,168.735,121.162,106.6279,131.532,153.301,116.759,129.919,58.036,74.291,-66.659,94.4989,100.56,77.066,68.187,67.378,55.3,39.427,35.739,37.664,33.704,33.859,22.604,25.535,14.443,10.582,7.229,11.41,3.709,8.034,-7.223,-51.719,-27.744,-47.094,-43.808,-58.744,-17.798,-42.753,-19.483,,-20.6,-21.076
total-non-operating-income-expense,-18.894,-20.167,-18.533,-19.598,-19.676,-23.768,-22.333,-22.28,-21.416,-23.721,-20.308,-14.191,-19.885,-12.121,-13.011,-10.119,-13.627,-34.541,-14.0,-14.675,-8.047,-11.355,-9.953,-7.142,-6.816,-11.276,-7.128,-9.932,-8.849,-1.721,0.013,-0.191,-1.222,-0.657,-0.777,-1.076,-1.2,-16.97,-5.765,-5.757,-5.381,-5.863,-5.765,-5.221,-1.065,-4.786,-2.902,-1.276,-1.561,2.89,-0.101,,28.257,-3.058
pre-tax-income,114.209,184.116,115.21,165.457,169.101,129.431,65.474,118.925,65.038,141.322,115.832,151.313,116.368,156.614,108.151,96.509,117.905,118.76,102.759,115.244,49.989,62.936,-76.612,87.357,93.744,65.79,61.059,57.446,46.451,37.706,35.752,37.473,32.482,33.202,21.827,24.459,13.243,-6.388,1.464,5.653,-1.672,2.171,-12.988,-56.94,-28.809,-51.88,-46.71,-60.02,-19.359,-39.863,-19.584,,7.657,-24.134
