,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31
revenue,6.477,6.143,6.929,4.105,3.913,6.246,20.407,121.91,4.665,4.874,4.019,2.243,0.902,0.988,1.337,1.103,1.173,0.977,0.798,1.276,0.775,0.976,0.101,0.083,0.142,0.134,0.1222,0.1345,0.2171,0.1101,0.1279,0.0918,0.0742,0.2354,0.5118,0.1143,0.0565,,,,,,,,,,,,,
cost-goods-sold,3.281,2.308,2.346,2.177,1.226,1.311,0.98,1.085,0.816,1.064,-0.261,0.418,0.295,0.359,0.523,0.604,0.314,0.509,0.443,0.527,0.51,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,3.196,3.835,4.583,1.928,2.687,4.935,19.427,120.825,3.849,3.81,4.28,1.825,0.607,0.629,0.814,0.499,0.859,0.468,0.355,0.749,0.265,0.413,0.101,0.083,0.142,0.134,0.1222,0.1345,0.2171,0.1101,0.1279,0.0918,0.0742,0.2354,0.5118,0.1143,0.0565,,,,,,,,,,,,,
research-development-expenses,24.759,25.584,24.839,19.567,17.925,14.632,12.866,16.604,11.179,14.883,13.272,10.382,10.744,7.777,8.288,7.244,7.971,7.84,7.127,5.44,5.309,6.107,3.396,2.082,2.141,1.398,1.1627,0.9508,0.9175,0.7991,0.709,0.6365,0.6363,0.5886,0.4164,0.346,0.3134,0.3165,0.312,0.0982,,,,,,,,,,
selling-general-administrative-expenses,27.772,25.122,22.536,20.102,11.039,9.961,7.139,10.214,9.092,11.887,10.237,5.267,4.22,4.495,10.13,4.711,3.072,2.219,2.387,1.854,2.361,3.385,2.445,1.114,1.508,1.25,0.7157,0.427,0.2446,0.2187,0.1822,0.159,0.5272,0.3328,0.2841,0.2139,0.3196,0.2849,0.3779,0.1405,0.0256,,-0.0052,0.0123,0.0054,0.0132,0.0074,0.0106,0.0126,0.2099
other-operating-income-expenses,-0.034,-0.032,4.052,-0.033,-1.437,-12.226,,4.468,3.629,0.461,1.938,1.687,1.756,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,56.838,129.313,48.53,52.012,32.284,38.792,55.205,24.993,18.123,28.2,21.821,14.492,45.614,23.002,18.997,36.738,11.706,11.154,10.544,8.407,8.766,10.85,11.231,3.39,4.859,2.648,1.8784,1.3779,1.162,1.0177,0.8912,0.7954,1.1635,0.9215,0.7005,0.5599,0.633,0.6014,0.6899,0.2387,0.0256,,-0.0052,0.0123,0.0054,0.0132,0.0074,0.0106,0.0126,0.2099
operating-income,-50.361,-123.17,-41.601,-47.907,-28.371,-32.546,-34.798,96.917,-13.458,-23.326,-17.802,-12.249,-44.712,-22.014,-17.66,-35.635,-10.533,-10.177,-9.746,-7.131,-7.991,-9.874,-11.13,-3.307,-4.717,-2.514,-1.7562,-1.2433,-0.9449,-0.9076,-0.7633,-0.7037,-1.0894,-0.6861,-0.1887,-0.4455,-0.5765,-0.6014,-0.6899,-0.2387,-0.0256,,0.0052,-0.0123,-0.0054,-0.0132,-0.0074,-0.0106,-0.0126,-0.2099
total-non-operating-income-expense,-21.867,-22.64,-16.159,-3.373,-47.815,-1.028,-7.428,-37.984,-2.679,-2.173,-0.822,27.797,0.242,4.727,-7.753,68.879,-0.442,-0.439,-0.461,-0.474,-0.463,-0.219,-0.166,-0.049,-0.02,-0.008,0.0017,0.0021,0.0018,0.0015,0.0012,0.0014,0.0017,0.0016,0.0007,0.0007,0.0009,0.0015,0.0039,0.0067,0.0012,,,,,,0.0,0.0,,-0.03
pre-tax-income,-72.228,-145.81,-57.76,-51.28,-76.186,-33.574,-42.226,58.933,-16.137,-25.499,-18.624,15.548,-44.47,-17.287,-25.413,33.244,-10.975,-10.616,-10.207,-7.605,-8.454,-10.093,-11.296,-3.356,-4.737,-2.522,-1.7545,-1.2412,-0.9431,-0.9061,-0.7621,-0.7023,-1.0876,-0.6844,-0.1881,-0.4448,-0.5756,-0.5999,-0.6859,-0.2319,-0.0244,,0.0052,-0.0123,-0.0054,-0.0132,-0.0074,-0.0106,-0.0126,-0.2399
