,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31
revenue,171.4,172.2,164.2,169.9,165.1,160.9,156.4,166.3,150.5,149.1,145.7,153.5,397.5,400.0,384.8,401.4,389.5,389.3,394.2,439.4,408.5,413.5,410.7,,419.5,,
cost-goods-sold,76.4,73.5,65.4,69.5,60.4,66.2,65.3,76.4,69.5,64.6,64.2,75.5,259.5,259.3,248.3,267.8,258.5,254.4,262.1,282.9,276.3,308.6,255.7,,258.0,,
gross-profit,95.0,98.7,98.8,100.4,104.7,94.7,91.1,89.9,81.0,84.5,81.5,78.0,138.0,140.7,136.5,133.6,131.0,134.9,132.1,156.5,132.2,104.9,155.0,,161.5,,
research-development-expenses,9.6,9.5,10.2,10.6,10.5,10.8,9.9,12.1,9.6,9.2,7.3,11.1,10.9,9.5,8.7,9.8,10.2,6.3,6.0,7.5,8.5,9.3,8.3,,8.9,,
selling-general-administrative-expenses,94.4,94.7,106.4,87.9,86.3,79.8,86.4,77.4,78.4,81.1,84.8,92.3,100.3,107.9,92.8,98.3,97.2,105.8,97.2,126.4,111.3,101.3,85.5,,82.5,,
other-operating-income-expenses,-9.1,-4.3,-6.8,-10.2,-0.9,4.7,-1.8,-3.4,-3.4,-6.3,-7.0,-5.0,-5.9,-5.7,-1.9,-6.5,-9.3,-0.7,12.0,1.4,0.7,1.2,0.5,,0.2,,
operating-expenses,189.5,182.0,188.8,178.2,158.1,152.1,163.4,169.3,160.9,161.2,163.3,183.9,376.6,382.4,351.7,380.9,850.7,367.2,353.3,415.3999,395.4,418.0,349.0,,349.2,,
operating-income,-18.1,-9.8,-24.6,-8.3,7.0,8.8,-7.0,-3.0,-10.4,-12.1,-17.6,-30.4,20.9,17.6,33.1,20.5,-461.2,22.1,40.9,24.0001,13.1,-4.5,61.7,,70.3,,
total-non-operating-income-expense,-2.2,-1.5,-1.3,-1.1,-2.0,-7.7,-7.8,-7.2,-7.4,-7.3,-7.2,-7.9,-8.2,-8.2,-7.8,-8.0,-7.8,-8.8,-8.2,-5.9,0.9,0.9,1.0,,0.7,,
pre-tax-income,-20.3,-11.3,-25.9,-9.4,5.0,1.1,-14.8,-10.2,-17.8,-19.4,-24.8,-38.3,12.7,9.4,25.3,12.5,-469.0,13.3,32.7,18.1,14.0,-3.6,62.7,,71.0,,
total-provision-income-taxes,-8.8,-3.3,-5.6,-6.7,0.8,-0.2,-3.5,-14.6,-7.6,-8.0,-9.9,-16.4,3.6,2.9,11.1,-2.0,1.5,5.3,11.0,20.5,21.4,0.9,21.3,,23.1,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,-11.5,-8.0,-20.3,-2.7,4.2,1.3,-11.3,4.4,-10.2,-11.4,-14.9,-21.9,9.1,6.5,14.2,14.5,-470.5,8.0,21.7,-2.4,-7.4,-4.5,41.4,,47.9,,
income-from-discontinued-operations,,,,0.5,,34.0,31.5,28.4,26.8,28.5,27.7,31.9,,,,,,,,,,,,,,,
net-income,-11.5,-8.0,-20.3,-2.2,4.2,35.3,20.2,32.8,16.6,17.1,12.8,10.0,9.1,6.5,14.2,14.5,-470.5,8.0,21.7,-2.4,-7.4,-4.5,41.4,,47.9,,
ebitda,-9.4,-1.3,-16.2,0.7,15.9,16.6,0.8,8.0,5.7,4.1,-1.4,,37.5,33.8,48.7,35.8001,30.6,38.0,57.3,47.8001,39.9,13.0,79.0,,70.3,,
ebit,-18.1,-9.8,-24.6,-8.3,7.0,8.8,-7.0,-3.0,-10.4,-12.1,-17.6,-30.4,20.9,17.6,33.1,20.5,-461.2,22.1,40.9,24.0,13.1,-4.5,61.7,,70.3,,
basic-shares-outstanding,47.7,47.6,47.5,47.2,47.3,47.1,46.9,46.9,46.8,46.7,46.7,46.7,46.7,46.7,46.6,46.6,46.6,46.6,46.5,46.5,46.5,46.5,46.5,,,,
shares-outstanding,47.7,47.6,47.5,47.2,48.6,48.2,46.9,47.7,46.8,46.7,46.7,46.7,47.2,46.9,46.8,46.8,46.6,46.8,46.7,46.5,46.5,46.5,46.5,,,,
eps-basic-net-earnings-per-share,-0.24,-0.17,-0.43,-0.05,0.09,0.75,0.43,0.7,0.35,0.37,0.27,0.21,0.19,0.14,0.3,0.31,-10.1,0.17,0.47,-0.05,-0.16,-0.1,0.89,,,,
eps-earnings-per-share-diluted,-0.24,-0.17,-0.43,-0.03,0.09,0.73,0.43,0.69,0.35,0.37,0.27,0.21,0.19,0.14,0.3,0.31,-10.1,0.17,0.46,-0.05,-0.16,-0.1,0.89,0.0,0.0,0.0,0.0
