,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31
revenue,1177.028,1166.827,1119.006,1145.472,1114.918,1072.53,1057.196,1076.683,822.328,391.135,381.918,406.071,391.791,399.647,413.087,402.885,350.145,337.292,308.917,327.6549,298.624,285.743,266.777,,,,
cost-goods-sold,913.674,917.529,886.802,873.8081,872.214,847.465,840.823,835.5919,635.919,295.058,284.675,298.529,291.875,300.34,316.148,304.9449,251.181,247.926,222.851,247.887,220.418,212.984,202.841,,,,
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
selling-general-administrative-expenses,120.318,118.533,129.775,112.922,115.504,118.25,124.47,122.034,173.195,66.27,44.936,44.854,42.87,43.765,44.04,43.97,40.832,37.522,35.922,46.671,38.185,33.962,34.227,,,,
other-operating-income-expenses,,,,,,,,,-30.0,,,,,,,,,0.0,-3.931,,,-17.245,,,,,
operating-expenses,1107.585,1108.693,1092.19,1066.004,1075.101,1041.808,1047.021,1061.663,911.216,380.885,347.166,362.271,352.395,359.992,380.579,363.192,305.804,301.353,276.53,309.202,275.885,277.871,252.197,,,,
operating-income,69.4429,58.134,26.816,79.4683,39.817,30.7221,10.1751,15.0201,-88.888,10.25,34.752,43.7999,39.396,39.655,32.508,39.693,44.341,35.939,32.387,18.4529,22.739,7.872,14.58,,,,
total-non-operating-income-expense,0.532,-24.557,-46.404,-19.882,-38.228,-1.115,-43.699,-33.692,-32.986,-9.888,-6.445,-0.863,-5.987,-6.304,-8.087,-3.199,-4.04,-12.308,-1.839,-56.398,-7.767,-13.16,-14.523,,,,
pre-tax-income,69.975,33.577,-19.588,59.586,1.589,29.607,-33.524,-18.672,-121.874,0.362,28.307,42.937,33.409,33.351,24.421,36.494,40.301,23.631,30.548,-37.945,14.972,-5.288,0.057,,0.0,,
total-provision-income-taxes,11.055,22.285,10.416,13.916,11.983,16.047,-8.972,-3.625,26.124,-3.027,7.12,5.446,6.078,2.948,7.016,5.838,2.487,0.31,5.292,11.835,2.417,-20.595,1.609,,0.0,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
net-income,58.92,11.292,-30.004,45.67,-10.394,13.56,-24.552,-15.047,-147.998,3.389,21.187,37.491,27.331,30.403,17.405,30.656,37.814,23.321,25.256,-53.155,12.43,15.182,-1.677,,,,
ebitda,129.5799,119.052,87.8471,149.5963,107.851,98.258,78.1621,97.6092,-23.099,25.979,50.581,58.5939,54.406,54.44,47.123,54.018,58.427,50.203,47.072,33.9129,38.044,20.035,31.895,,,,
ebit,69.4429,58.134,26.816,79.468,39.817,30.7221,10.1751,15.02,-88.888,10.25,34.752,43.7999,39.396,39.655,32.508,39.693,44.341,35.939,32.387,18.4529,22.739,7.872,14.58,,,,
basic-shares-outstanding,103.594,103.699,103.365,103.414,103.012,102.899,104.449,74.913,87.152,54.123,54.015,54.031,54.186,54.298,53.955,57.888,56.325,58.231,61.244,53.301,51.905,51.898,51.897,,,,
shares-outstanding,105.021,104.818,103.365,104.701,103.012,104.005,104.449,74.913,87.152,55.307,55.123,55.61,55.567,56.078,55.862,60.146,58.764,60.464,63.103,53.301,52.514,52.185,51.897,,,,
eps-basic-net-earnings-per-share,0.57,0.11,-0.29,0.44,-0.1,0.13,-0.24,-0.6,-1.7,0.06,0.39,0.7,0.5,0.56,0.32,0.54,0.67,0.4,0.41,-1.01,0.24,0.29,-0.03,,,,
eps-earnings-per-share-diluted,0.56,0.11,-0.29,0.44,-0.1,0.13,-0.24,-0.59,-1.7,0.06,0.38,0.69,0.49,0.54,0.31,0.52,0.64,0.39,0.4,-1.01,0.24,0.29,-0.03,0.0,0.0,0.0,0.0
