,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
eps-earnings-per-share-diluted,-0.36,-0.38,-0.37,-0.41,-0.4,-0.45,-0.46,-0.35,-0.38,-0.4,-0.39,-0.38,-0.37,-0.36,-0.36,0.24,-0.57,-0.54,-1.41,0.0,0.0,0.0,0.0
research-development-expenses,12.54,11.44,10.382,12.084,11.661,11.476,11.566,8.119,7.142,5.652,5.513,5.503,5.316,4.936,4.649,5.113,4.635,4.401,3.628,,,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,17.674,15.891,14.951,16.634,15.982,15.276,14.991,10.995,9.499,7.93,7.653,7.478,7.058,6.791,7.04,6.842,6.428,5.907,4.688,,,,
operating-income,-17.674,-15.891,-14.951,-16.634,-15.982,-15.276,-14.991,-10.995,-9.499,-7.93,-7.653,-7.478,-7.058,-6.791,-7.04,-6.842,-6.428,-5.907,-4.688,,,,
total-non-operating-income-expense,1.282,0.948,1.011,0.537,0.975,0.537,0.387,0.247,0.166,0.11,0.12,0.131,0.132,0.13,0.414,0.368,0.338,0.322,0.212,,,,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,
net-income,-16.392,-14.943,-13.94,-16.097,-15.007,-14.739,-14.604,-10.748,-9.333,-7.82,-7.533,-7.347,-6.926,-6.661,-6.626,-6.474,-6.09,-5.585,-4.476,,,,
ebitda,-17.802,-16.21,-15.491,-17.27,-16.577,-15.7,-15.261,-11.175,-9.568,-7.938,-7.626,-7.46,-7.034,-6.746,-6.967,-6.768,-6.354,-5.867,-4.685,,,,
ebit,-17.674,-15.891,-14.951,-16.634,-15.982,-15.276,-14.991,-10.995,-9.499,-7.93,-7.653,-7.478,-7.058,-6.791,-7.04,-6.842,-6.428,-5.907,-4.688,,,,
basic-shares-outstanding,45.241,38.928,38.168,35.191,37.789,32.971,31.829,23.237,24.344,19.789,19.464,18.701,18.85,18.548,18.245,9.933,10.723,10.42,3.184,,,,
shares-outstanding,45.241,38.928,38.168,35.191,37.789,32.971,31.829,23.237,24.344,19.789,19.464,18.701,18.85,18.548,18.245,9.933,10.723,10.42,3.184,,,,
eps-basic-net-earnings-per-share,-0.36,-0.38,-0.37,-0.41,-0.4,-0.45,-0.46,-0.35,-0.38,-0.4,-0.39,-0.38,-0.37,-0.36,-0.36,0.24,-0.57,-0.54,-1.41,,,,
