,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
revenue,14.944,13.536,12.337,10.877,10.591,8.643,7.521,6.589,5.734,5.213,5.338,,
cost-goods-sold,7.911,6.605,6.33,5.669,4.996,4.67,4.349,3.727,3.169,3.032,2.978,,
gross-profit,7.033,6.931,6.007,5.208,5.595,3.973,3.172,2.862,2.565,2.181,2.36,,
research-development-expenses,3.924,4.016,3.852,4.045,4.411,3.705,3.644,3.93,4.224,3.903,4.25,,
selling-general-administrative-expenses,,,,,,,,,,,,,
operating-expenses,25.187,24.05,21.694,20.291,18.253,15.954,14.684,13.725,12.121,11.682,11.394,,
operating-income,-10.243,-10.514,-9.357,-9.414,-7.662,-7.311,-7.163,-7.136,-6.387,-6.469,-6.056,,
total-non-operating-income-expense,0.248,-0.026,-0.026,0.105,0.005,-0.032,-0.039,-0.284,-0.227,-0.163,-0.335,,
pre-tax-income,-9.995,-10.54,-9.383,-9.309,-7.657,-7.343,-7.202,-7.389,-6.614,-6.632,-6.391,,
total-provision-income-taxes,-0.125,0.023,0.022,,,,,0.0,,,,,
income-after-taxes,,,,,,,,0.0,,,,,
income-from-continuous-operations,,,,,,,,0.0,,,,,
net-income,-9.87,-10.563,-9.405,-9.334,-7.657,-7.343,-7.202,-7.382,-7.742,-7.747,-7.497,,
ebitda,-9.008,-9.97,-8.948,-9.082,-7.251,-6.974,-6.891,-6.993,-6.265,-6.358,-5.952,,
ebit,-10.243,-10.514,-9.357,-9.414,-7.662,-7.311,-7.163,-7.136,-6.387,-6.469,-6.056,,
basic-shares-outstanding,26.628,23.214,22.423,21.994,22.071,21.891,21.7886,7.732,2.4752,2.417,2.358,,
shares-outstanding,26.628,23.214,22.423,21.994,22.071,21.891,21.7886,7.732,2.4752,2.417,2.358,,
eps-basic-net-earnings-per-share,-0.37,-0.46,-0.42,-0.41,-0.35,-0.34,-0.33,-1.06,-3.13,-3.21,-3.18,,
eps-earnings-per-share-diluted,-0.37,-0.46,-0.42,-0.41,-0.35,-0.34,-0.33,-1.06,-3.13,-3.21,-3.18,0.0,0.0
