,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2014-12-31,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,279.638,281.098,236.419,284.853,262.946,266.966,233.995,285.7361,257.966,263.386,233.681,,275.854,235.605,207.5679,271.053,267.798,229.35,211.14,242.536,251.754,218.091,237.343,235.261,234.751,200.439,226.506,206.749,205.808,178.316,205.105,192.296,193.523,169.146,185.547,178.742,181.184,157.656,170.79,162.343,160.366,143.85,153.917,151.549,152.855,140.445,149.194,146.393,149.654,133.0
cost-goods-sold,,,,,,,,,,,,,81.822,67.345,,79.401,79.446,67.739,,73.109,72.899,66.697,73.223,69.362,68.514,59.111,68.891,63.373,62.753,53.65,59.511,58.887,58.848,51.049,88.507,53.411,55.275,46.722,76.496,79.962,78.945,72.549,78.275,76.229,75.346,70.215,69.777,74.63,71.738,67.446
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,29.834,29.358,28.282,29.085,28.308,26.523,25.636,33.373,25.356,25.227,25.386,,,,,,,,,,,,,,,,,,,,,,,,70.758,,,,70.797,59.873,59.714,55.157,53.645,54.569,57.751,55.627,58.412,51.606,58.499,50.937
other-operating-income-expenses,-223.028,-219.877,-201.343,-224.0941,-209.764,-210.842,-198.406,-278.1111,-213.438,-211.87,-207.699,,-155.496,-142.031,-335.041,-142.522,-142.198,-129.61,-319.257,-125.345,-134.691,-121.372,-124.155,-126.521,-125.617,-114.367,-125.028,-112.615,-111.262,-104.084,-152.739,-66.976,-106.711,-98.51,-104.349,-100.759,-100.233,-92.554,,,,,,,,,,,,
operating-expenses,262.235,257.995,238.398,262.0821,247.022,246.637,233.372,321.149,248.426,246.922,243.222,,249.451,219.575,193.279,231.147,231.154,206.634,194.8909,207.163,216.028,196.354,204.8049,204.019,201.869,181.146,201.7111,188.434,182.66,164.104,216.303,129.865,169.367,154.015,163.643,158.504,159.797,143.457,151.6,143.778,142.537,131.454,135.513,134.428,136.856,129.53,131.753,129.645,133.675,121.892
operating-income,17.403,23.103,-1.979,22.7709,15.924,20.329,0.623,-35.4129,9.54,16.464,-9.541,,26.403,16.03,14.2889,39.906,36.644,22.716,16.2491,35.373,35.726,21.737,32.5381,31.242,32.882,19.293,24.7949,18.315,23.148,14.212,-11.198,62.431,24.156,15.131,21.904,20.238,21.387,14.199,19.19,18.565,17.829,12.396,18.404,17.121,15.999,10.915,17.441,16.748,15.979,11.108
total-non-operating-income-expense,-9.127,-8.654,-8.711,-9.222,-9.115,-7.493,-29.437,-14.675,-15.281,-14.275,-14.193,,-6.201,-6.098,-9.074,-6.017,-14.353,-7.777,-11.408,-7.751,-7.684,-7.777,-7.855,-7.796,-7.791,-8.379,-23.251,-7.636,-7.506,-7.542,30.87,-46.361,-7.428,-7.607,-8.979,-8.005,-8.045,-8.258,-9.204,-9.318,-9.125,-9.34,-9.378,-10.389,-26.329,-9.5,-9.493,-9.405,-9.4,-8.843
pre-tax-income,8.276,14.449,-10.69,13.549,6.809,12.836,-28.814,-50.088,-5.741,2.189,-23.734,,20.202,9.932,5.215,33.889,22.291,14.939,4.841,27.622,28.042,13.96,24.683,23.446,25.091,10.914,1.544,10.679,15.642,6.67,19.672,16.07,16.728,7.524,12.925,12.233,13.342,5.941,9.986,9.247,8.704,3.056,9.026,6.732,-10.33,1.415,7.948,7.343,6.579,2.265
total-provision-income-taxes,2.585,4.414,-3.739,9.086,2.44,-0.092,-6.196,34.325,-1.58,0.552,-6.0,,7.583,3.935,4.564,12.23,8.212,5.449,-0.052,10.278,10.656,5.324,7.801,8.034,9.66,4.162,1.336,3.755,5.88,2.668,7.772,6.428,6.692,3.009,5.089,4.893,5.337,2.376,3.004,3.838,3.612,1.272,4.155,3.274,-4.606,0.586,-0.331,3.02,2.763,0.93
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,5.691,10.035,-6.951,4.463,4.369,12.928,-22.618,-84.413,-4.161,1.637,-17.734,,12.619,5.997,-4.717,21.659,14.079,9.49,4.658,17.344,17.386,8.636,16.882,15.412,15.431,6.752,0.208,6.924,9.762,4.002,11.9,9.642,10.036,4.515,7.836,7.34,2.751,3.149,6.566,4.993,4.676,1.368,4.455,1.498,-9.301,-0.736,6.752,2.832,2.361,-0.084
ebitda,36.549,41.413,16.33,32.0579,25.141,30.086,11.654,-23.2199,21.646,28.211,2.548,,38.967,26.659,14.9699,49.56,53.563,32.865,24.7081,44.945,45.027,30.885,41.5191,39.969,41.437,27.333,30.8889,23.241,28.064,18.978,-6.855,66.887,28.42,20.042,26.738,25.028,26.132,18.835,23.953,22.964,22.162,16.591,22.441,21.193,20.213,15.065,21.461,20.654,19.936,15.133
ebit,17.403,23.103,-1.979,22.7709,15.924,20.329,0.623,-35.413,9.54,16.464,-9.541,,26.403,16.03,14.289,39.906,36.644,22.716,16.249,35.373,35.726,21.737,32.538,31.242,32.882,19.293,24.795,18.315,23.148,14.212,-11.198,62.431,24.156,15.131,21.904,20.238,21.387,14.199,19.19,18.565,17.829,12.396,18.404,17.121,15.999,10.915,17.441,16.748,15.979,11.108
