,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30
revenue,131.167,102.215,68.73,130.692,65.686,81.106,69.155,94.208,86.825,65.077,52.166,87.459,66.106,54.35,66.042,53.307,39.572,27.744,28.932,38.073,16.918,6.84,14.605,5.031,4.932,9.663,3.255,26.98,96.413,14.604,12.248,32.154,12.218,11.262,10.237,16.772,9.059,9.188,8.838,7.223,15.257,6.61,5.231,,
cost-goods-sold,0.506,11.313,1.043,21.463,4.616,4.065,2.607,8.984,6.08,3.502,0.531,,,,,,,,0.012,-7.151,,10.518,1.924,0.533,2.021,3.418,1.231,,,,,,,,,,,,,,,,,,
gross-profit,130.661,90.902,67.687,109.229,61.07,77.041,66.548,85.224,80.745,61.575,51.635,87.459,66.106,54.35,66.042,53.307,39.572,27.744,28.92,45.224,16.918,-3.678,12.681,4.498,2.911,6.245,2.024,26.98,96.413,14.604,12.248,32.154,12.218,11.262,10.237,16.772,9.059,9.188,8.838,7.223,15.257,6.61,5.231,,
research-development-expenses,27.551,28.758,53.99,77.653,29.158,23.187,36.505,40.117,37.065,37.344,33.702,38.442,37.526,31.682,31.842,27.627,25.83,28.648,26.641,27.482,25.122,22.142,27.144,22.516,23.016,24.093,32.753,28.273,23.453,32.238,29.51,24.224,22.905,19.409,19.555,21.266,18.742,19.897,17.549,19.493,18.603,19.397,18.607,,0.0
selling-general-administrative-expenses,40.919,43.246,64.741,71.483,50.536,59.771,59.501,57.953,61.774,57.792,55.604,55.208,44.987,36.918,36.168,31.507,30.439,32.955,30.346,30.575,28.535,29.299,29.924,28.72,30.264,30.87,33.374,33.274,22.846,20.099,16.319,14.962,10.929,10.805,9.224,8.301,6.482,6.601,5.785,3.112,4.941,5.79,5.194,,
other-operating-income-expenses,3.53,3.169,,0.0,-116.686,-3.798,-0.512,39.087,0.557,-7.029,-1.614,-1.538,-8.667,,,0.0,-9.488,-8.15,,,,,,0.0,-6.182,-11.162,-24.73,-8.368,-2.506,-3.101,-2.055,,,,,,,,,,,,,,
operating-expenses,65.28,80.638,123.102,172.468,212.257,95.783,105.023,71.443,106.259,106.088,91.871,93.759,94.393,69.665,68.01,59.134,65.757,69.753,56.999,71.198,53.657,61.959,58.992,51.769,61.483,69.543,92.088,70.88,48.805,55.438,47.884,39.186,33.834,30.214,28.779,29.567,25.224,26.498,23.334,22.605,23.544,25.187,23.801,,
operating-income,65.887,21.577,-54.372,-41.776,-146.571,-14.677,-35.868,22.765,-19.434,-41.011,-39.705,-6.3,-28.287,-15.315,-1.968,-5.827,-26.185,-42.009,-28.067,-33.125,-36.739,-55.119,-44.387,-46.738,-56.551,-59.88,-88.833,-43.9,47.608,-40.834,-35.636,-7.032,-21.616,-18.952,-18.542,-12.795,-16.165,-17.31,-14.496,-15.382,-8.287,-18.577,-18.57,,
total-non-operating-income-expense,-45.239,-9.294,-4.912,-21.488,-5.252,-9.46,-7.276,-10.68,-12.863,-3.213,-12.796,-7.205,-4.917,-6.387,-11.329,-8.21,-21.205,-6.011,-5.155,-4.522,-5.249,-5.238,-5.239,-5.248,-5.224,-5.269,-5.069,0.045,0.027,0.031,0.035,0.058,0.986,0.108,0.141,1.144,0.107,0.145,0.015,0.736,-0.044,-0.34,0.17,,
pre-tax-income,20.648,12.283,-59.284,-63.264,-151.823,-24.137,-43.144,12.085,-32.297,-44.224,-52.501,-13.505,-33.204,-21.702,-13.297,-14.037,-47.39,-48.02,-33.222,-37.647,-41.988,-60.357,-49.626,-51.986,-61.775,-65.149,-93.902,-43.855,47.635,-40.803,-35.601,-6.974,-20.63,-18.844,-18.401,-11.651,-16.058,-17.165,-14.481,-14.646,-8.331,-18.917,-18.4,,0.0
