,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-01-31
revenue,86.623,87.052,75.777,70.495,71.067,69.904,60.436,56.789,56.879,55.421,46.814,43.358,44.185,44.013,35.886,30.556,30.494,29.85,24.871,21.862,20.891,20.231,,15.248,14.982,
cost-goods-sold,28.183,29.299,31.332,24.678,24.492,25.548,28.79,23.062,21.077,21.68,22.585,17.467,15.631,16.332,17.455,12.88,11.909,11.944,12.358,9.63,9.122,8.772,,6.87,6.639,
gross-profit,58.44,57.753,44.445,45.817,46.575,44.356,31.646,33.727,35.802,33.741,24.229,25.891,28.554,27.681,18.431,17.676,18.585,17.906,12.513,12.232,11.769,11.459,,8.378,8.343,
research-development-expenses,11.645,10.905,10.002,8.678,8.398,7.979,7.48,6.866,6.797,6.242,6.548,6.209,4.993,4.625,4.891,4.419,3.998,3.524,3.202,2.811,2.302,2.186,,1.803,1.659,
selling-general-administrative-expenses,17.653,17.679,16.371,16.663,15.136,14.367,14.189,12.144,11.428,10.489,10.417,9.557,9.74,8.757,8.2,6.544,6.68,5.991,6.881,4.718,3.987,3.376,,2.77,2.662,
other-operating-income-expenses,-2.784,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,61.759,59.374,59.196,51.509,49.504,49.364,52.002,43.227,40.384,39.494,40.633,34.316,31.446,30.763,31.527,24.252,22.996,21.868,22.851,17.568,15.82,14.743,,11.852,11.369,
operating-income,24.864,27.678,16.581,18.986,21.563,20.54,8.434,13.562,16.495,15.927,6.181,9.042,12.739,13.25,4.359,6.304,7.498,7.982,2.02,4.294,5.071,5.488,,3.396,3.613,
total-non-operating-income-expense,-1.128,23.6,-0.221,-1.555,-0.075,-0.001,-1.706,-0.395,-0.038,-0.09,-0.158,-0.256,-0.037,-0.641,-0.063,0.121,-0.542,-0.105,-0.098,-0.145,-0.039,-0.827,,-0.138,-0.04,
pre-tax-income,23.736,51.278,16.36,17.431,21.488,20.539,6.728,13.167,16.457,15.837,6.023,8.786,12.702,12.609,4.296,6.425,6.956,7.877,1.922,4.149,5.032,4.661,,3.258,3.573,
total-provision-income-taxes,4.37,9.456,3.241,1.745,-1.029,-2.038,0.823,2.685,-0.489,1.808,1.961,2.778,4.469,4.536,1.168,2.338,2.535,2.9,0.551,1.1,2.004,1.943,,1.28,1.351,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,19.366,41.822,13.119,15.686,22.517,22.577,5.905,10.482,16.946,14.029,4.062,6.008,8.233,8.073,3.128,4.087,4.421,4.977,3.624,3.02,1.565,3.849,,0.607,0.689,
ebitda,29.813,32.451,20.424,24.412,25.959,25.06,13.147,17.665,20.108,19.45,9.771,12.477,15.935,16.215,7.253,8.369,9.413,9.732,3.723,5.838,6.463,6.739,,4.547,3.613,
ebit,24.864,27.678,16.581,18.986,21.563,20.54,8.434,13.562,16.495,15.927,6.181,9.042,12.739,13.25,4.359,6.304,7.498,7.982,2.02,4.294,5.071,5.488,,3.396,3.613,
basic-shares-outstanding,64.22,62.326,61.836,62.088,61.88,61.17,60.304,60.562,60.173,59.72,58.615,58.938,58.246,57.82,56.719,57.353,56.73,55.063,31.181,53.678,8.135,7.367,,5.582,5.566,
shares-outstanding,65.583,63.901,63.37,63.923,63.397,62.693,61.854,61.868,61.765,61.4,59.894,60.073,59.651,59.399,58.863,59.263,58.932,57.77,51.856,57.553,41.68,43.736,,28.725,37.504,
eps-basic-net-earnings-per-share,0.3,0.67,0.22,0.25,0.36,0.37,0.11,0.17,0.28,0.23,0.07,0.1,0.14,0.14,0.05,0.07,0.08,0.09,-0.38,0.06,0.19,0.52,,0.11,0.12,
eps-earnings-per-share-diluted,0.3,0.65,0.2,0.25,0.36,0.36,0.1,0.17,0.27,0.23,0.06,0.1,0.14,0.14,0.04,0.07,0.08,0.09,0.02,0.05,0.06,0.08,0.0,0.04,0.05,0.0
